rental	Album	0lik
3.50 stars	Adonis - Wiosenna ofensywa nie trwa dłużej niż do letnich wakacji	3.50 stars
4.00 stars	William Basinski - The Disintegration Loops	5.00 stars
3.50 stars	William Basinski - The Disintegration Loops II	4.50 stars
3.50 stars	William Basinski - The Disintegration Loops III	4.50 stars
3.50 stars	William Basinski - The Disintegration Loops IV	4.50 stars
4.00 stars	The Beach Boys - Pet Sounds	5.00 stars
4.00 stars	Bibio - Ambivalence Avenue	3.50 stars
4.00 stars	black midi - Schlagenheim	3.50 stars
3.00 stars	Blank Dogs - Under and Under	3.00 stars
3.50 stars	Boards of Canada - Geogaddi	4.00 stars
3.50 stars	Boris - flood	3.50 stars
3.50 stars	David Bowie - "Heroes"	4.50 stars
4.00 stars	Burial - Street Halo	3.50 stars
4.00 stars	Butthole Surfers - Rembrandt Pussyhorse	3.00 stars
4.00 stars	Chastity Belt - Time to Go Home	3.00 stars
4.00 stars	Chastity Belt - I Used to Spend So Much Time Alone	3.00 stars
3.50 stars	Chuck Person - Chuck Person's Eccojams Vol. 1	3.50 stars
3.00 stars	The Church - Starfish	4.00 stars
4.00 stars	Cloud Nothings - Attack on Memory	3.50 stars
4.00 stars	Cloud Nothings - Life Without Sound	3.00 stars
3.50 stars	Cocteau Twins - Head Over Heels	3.50 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	3.50 stars
4.00 stars	Comus - First Utterance	3.50 stars
3.50 stars	Cool Kids of Death - Cool Kids of Death	4.00 stars
3.50 stars	Crystal Stilts - In Love With Oblivion	3.50 stars
3.50 stars	Death Grips - Government Plates	3.50 stars
3.50 stars	Deerhunter - Rainwater Cassette Exchange	3.50 stars
3.50 stars	Deerhunter - Fading Frontier	4.50 stars
3.50 stars	Destruction Unit - Deep Trip	3.50 stars
3.50 stars	The Drones - Feelin Kinda Free	3.50 stars
4.00 stars	Ducktails - The Flower Lane	3.00 stars
3.50 stars	Flipper - Album: Generic Flipper	4.00 stars
4.00 stars	Gang of Four - Entertainment!	4.00 stars
