rental	Album	Chasedbybees
3.00 stars	The 90 Day Men - To Everybody	2.50 stars
3.50 stars	Abe Vigoda - Reviver	4.00 stars
3.00 stars	American Football - American Football	4.00 stars
4.00 stars	Animal Collective - Fall Be Kind	4.00 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	3.50 stars
3.00 stars	Armand Hammer - Paraffin	4.00 stars
3.50 stars	Bark Psychosis - Hex	4.00 stars
4.00 stars	The Beach Boys - Pet Sounds	5.00 stars
4.00 stars	Beat Happening - You Turn Me On	3.50 stars
4.00 stars	The Beatles - Abbey Road	5.00 stars
3.50 stars	Chuck Berry - The Great Twenty-Eight	4.00 stars
4.00 stars	Bibio - Ambivalence Avenue	3.50 stars
3.50 stars	Pinkish Black - Pinkish Black	3.50 stars
4.00 stars	Black Eyes - Black Eyes	4.00 stars
4.00 stars	Art Blakey and The Jazz Messengers - Art Blakey and The Jazz Messengers [Moanin']	4.00 stars
3.00 stars	Blank Dogs - Under and Under	3.00 stars
3.50 stars	Boards of Canada - Geogaddi	3.50 stars
3.50 stars	Booji Boys - Booji Boys	3.50 stars
4.00 stars	The Books - The Lemon of Pink	4.00 stars
3.50 stars	David Bowie - Station to Station	4.00 stars
3.50 stars	David Bowie - "Heroes"	4.00 stars
3.00 stars	Tyondai Braxton - Central Market	3.50 stars
3.00 stars	Tim Buckley - Goodbye and Hello	4.00 stars
4.00 stars	Tim Buckley - Starsailor	5.00 stars
4.00 stars	Burial - Street Halo	3.00 stars
3.50 stars	Kate Bush - Hounds of Love	4.00 stars
4.00 stars	Butthole Surfers - Rembrandt Pussyhorse	4.00 stars
4.00 stars	Butthole Surfers - Locust Abortion Technician	4.00 stars
3.00 stars	Cabaret Voltaire - Red Mecca	4.00 stars
3.00 stars	Camberwell Now - All's Well	4.00 stars
4.00 stars	Can - Soundtracks	4.00 stars
3.00 stars	Jefre Cantu-Ledesma - On the Echoing Green	3.50 stars
3.00 stars	Nick Cave & The Bad Seeds - Skeleton Tree	3.50 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.00 stars
4.00 stars	Cloud Nothings - Life Without Sound	3.50 stars
3.50 stars	Cocteau Twins - Head Over Heels	4.00 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	4.50 stars
5.00 stars	Ornette Coleman - The Shape of Jazz to Come	4.50 stars
3.50 stars	Ornette Coleman - Change of the Century	4.00 stars
4.00 stars	Comus - First Utterance	4.50 stars
3.50 stars	Converge - The Dusk in Us	3.50 stars
3.50 stars	Crystal Stilts - In Love With Oblivion	3.00 stars
3.50 stars	Cul de Sac - ECIM	4.00 stars
3.50 stars	The Damned - Damned Damned Damned	4.50 stars
3.50 stars	Daughters - Daughters	4.00 stars
4.00 stars	Miles Davis - Get Up With It	4.00 stars
3.50 stars	Death Grips - Government Plates	3.50 stars
3.50 stars	Death Grips - Niggas on the Moon: The Powers That B Disc 1	3.50 stars
3.50 stars	Deerhoof - Breakup Song	4.00 stars
3.50 stars	Deerhunter - Rainwater Cassette Exchange	4.00 stars
3.50 stars	Deerhunter - Fading Frontier	3.50 stars
3.50 stars	Aaron Dilloway - Modern Jester	3.50 stars
3.50 stars	Dirty Three - Ocean Songs	4.00 stars
3.00 stars	Disco Inferno - Technicolour	3.50 stars
3.00 stars	DJ Nigga Fox - Crânio	4.00 stars
3.50 stars	DNA - DNA on DNA	3.50 stars
3.50 stars	The Dodos - Visiter	3.50 stars
3.50 stars	The Doors - The Doors	4.00 stars
3.50 stars	Dope Body - Natural History	4.00 stars
3.50 stars	Nick Drake - Five Leaves Left	4.50 stars
3.00 stars	Dreamdecay - Yú	4.00 stars
3.50 stars	Kevin Drumm - Sheer Hellish Miasma	4.50 stars
4.00 stars	Dum Dum Girls - Only in Dreams	3.00 stars
4.00 stars	Earth - The Bees Made Honey in the Lion's Skull	3.50 stars
4.00 stars	Eddy Current Suppression Ring - Primary Colours	3.50 stars
3.50 stars	The Ex - Starters Alternators	4.00 stars
3.50 stars	John Fahey - Volume 5: The Transfiguration of Blind Joe Death	4.50 stars
3.50 stars	John Fahey - Fare Forward Voyagers (Soldier's Choice)	4.00 stars
3.00 stars	Th Faith Healers - Lido	4.00 stars
3.50 stars	The Fall - Live at the Witch Trials	4.50 stars
4.00 stars	The Fall - Slates	4.50 stars
4.00 stars	The Fall - Perverted by Language	4.00 stars
3.50 stars	feedtime - Feedtime	4.00 stars
3.00 stars	Fire! - (Without Noticing)	3.50 stars
4.00 stars	Fleet Foxes - Crack-Up	4.00 stars
3.50 stars	Flipper - Album: Generic Flipper	4.50 stars
3.50 stars	Freak Heat Waves - Bonnie's State of Mind	4.00 stars
4.00 stars	The Fresh & Onlys - Play It Strange	4.00 stars
3.50 stars	Fuck Buttons - Tarot Sport	3.00 stars
3.50 stars	Fugazi - Repeater	4.50 stars
4.00 stars	Gang of Four - Entertainment!	5.00 stars
2.50 stars	Ghost - Lama Rabi Rabi	3.50 stars
3.50 stars	Daughn Gibson - All Hell	4.00 stars
3.00 stars	Girl Band - Holding Hands With Jamie	4.00 stars
3.00 stars	Gnod - Chapel Perilous	4.00 stars
3.00 stars	Godspeed You Black Emperor! - Slow Riot for New Zerø Kanada E.P.	4.00 stars
3.00 stars	Grimes - Visions	4.00 stars
3.50 stars	Grouper - Dragging a Dead Deer Up a Hill	4.00 stars
4.00 stars	Guided by Voices - Alien Lanes	5.00 stars
4.00 stars	Harvey Milk - Courtesy and Good Will Toward Men	3.50 stars
3.00 stars	Have a Nice Life - The Unnatural World	3.50 stars
4.00 stars	Tim Hecker - Harmony in Ultraviolet	4.50 stars
3.50 stars	Tim Hecker - Virgins	3.50 stars
3.50 stars	Hellier Ulysses - Ulysses Hellier	4.00 stars
4.00 stars	James Holden & the Animal Spirits - The Animal Spirits	4.00 stars
3.50 stars	Jon Hopkins - Immunity	4.00 stars
3.50 stars	Hot Snakes - Jericho Sirens	4.00 stars
3.50 stars	Hüsker Dü - Everything Falls Apart	3.50 stars
4.00 stars	Hüsker Dü - New Day Rising	4.50 stars
3.50 stars	Jackie-O Motherfucker - Fig. 5	4.50 stars
3.50 stars	Antônio Carlos Jobim - Wave	4.00 stars
3.50 stars	Joy Division - Closer	4.00 stars
3.00 stars	LAM - LAM	3.50 stars
4.00 stars	Kendrick Lamar - DAMN.	3.50 stars
3.00 stars	LCD Soundsystem - This Is Happening	4.00 stars
4.00 stars	Les Savy Fav - Inches	4.50 stars
4.00 stars	Love - Forever Changes	4.00 stars
4.50 stars	Lower Dens - Twin-Hand Movement	4.00 stars
3.50 stars	Lower Dens - Nootropics	4.00 stars
2.50 stars	Magma - Mekanïk Destruktïw Kommandöh	3.50 stars
4.00 stars	Makthaverskan - Makthaverskan II	3.50 stars
3.50 stars	Male Bonding - Nothing Hurts	4.00 stars
4.00 stars	John Maus - A Collection of Rarities and Previously Unreleased Material	3.50 stars
4.00 stars	John Maus - Addendum	3.50 stars
3.50 stars	Curtis Mayfield - Superfly	4.50 stars
3.00 stars	Melvins - Eggnog	4.00 stars
3.50 stars	Menomena - Friend and Foe	3.00 stars
4.00 stars	Metallica - Ride the Lightning	4.00 stars
4.00 stars	MGMT - Little Dark Age	4.00 stars
3.50 stars	The Microphones - The Glow Pt. 2	4.50 stars
4.00 stars	Milk Music - Beyond Living	4.00 stars
4.00 stars	Milk Music - Cruise Your Illusion	3.50 stars
3.50 stars	Mobb Deep - The Infamous	3.50 stars
4.00 stars	Modest Mouse - This Is a Long Drive for Someone With Nothing to Think About	3.50 stars
3.50 stars	Janelle Monáe - The ArchAndroid	4.00 stars
3.50 stars	Janelle Monáe - The Electric Lady	3.00 stars
4.50 stars	Moondog - Moondog	4.50 stars
4.00 stars	Morphine - Cure for Pain	4.00 stars
3.00 stars	Mr. Bungle - Mr. Bungle	3.50 stars
3.50 stars	Little Richard - Here's Little Richard	4.50 stars
3.50 stars	Marty Robbins - Gunfighter Ballads and Trail Songs	4.00 stars
3.50 stars	John Coltrane - My Favorite Things	4.50 stars
4.00 stars	The Ornette Coleman Double Quartet - Free Jazz	4.50 stars
4.00 stars	Sandy Bull - Fantasias for Guitar and Banjo	5.00 stars
4.00 stars	Mingus - The Black Saint and the Sinner Lady	5.00 stars
4.00 stars	John Coltrane - A Love Supreme	4.50 stars
3.50 stars	The Sonics - Here Are The Sonics!!!	4.00 stars
3.50 stars	Bob Dylan - Highway 61 Revisited	4.50 stars
3.50 stars	Junior Wells' Chicago Blues Band - Hoodoo Man Blues	4.00 stars
