rental	Album	ColeFirth
3.50 stars	Amen Dunes - Love	3.50 stars
4.00 stars	Animal Collective - Fall Be Kind	4.00 stars
3.00 stars	Baths - Cerulean	3.50 stars
4.00 stars	The Beach Boys - Pet Sounds	4.50 stars
4.00 stars	Beat Happening - You Turn Me On	4.00 stars
4.00 stars	Bibio - Ambivalence Avenue	3.50 stars
3.50 stars	Дин Блант - Каменный остров (Stone Island)	3.00 stars
3.50 stars	Boards of Canada - Geogaddi	3.50 stars
3.50 stars	Boris - flood	4.00 stars
3.50 stars	David Bowie - Station to Station	4.00 stars
4.00 stars	Burial - Street Halo	3.50 stars
3.50 stars	Kate Bush - Hounds of Love	4.00 stars
4.00 stars	Can - Soundtracks	3.50 stars
4.00 stars	Chastity Belt - Time to Go Home	3.50 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.00 stars
3.50 stars	Cocteau Twins - Head Over Heels	4.00 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	4.00 stars
4.00 stars	Crass - Penis Envy	3.50 stars
4.00 stars	Crazy Spirit - Crazy Spirit	3.50 stars
3.00 stars	Cult Ritual - 2nd	3.50 stars
3.00 stars	Cult Ritual - Cult Ritual	4.00 stars
3.50 stars	Death Grips - Government Plates	3.50 stars
3.50 stars	Destruction Unit - Deep Trip	3.00 stars
3.50 stars	Dirty Three - Ocean Songs	3.50 stars
3.50 stars	Disappears - Pre Language	3.50 stars
4.00 stars	DJ Screw - Bigtyme Vol II: All Screwed Up	4.00 stars
3.50 stars	DNA - DNA on DNA	4.00 stars
3.50 stars	The Doors - The Doors	4.50 stars
4.00 stars	Earth - The Bees Made Honey in the Lion's Skull	3.50 stars
4.00 stars	Eddy Current Suppression Ring - Primary Colours	3.00 stars
3.50 stars	Flipper - Album: Generic Flipper	3.00 stars
3.50 stars	Fugazi - Repeater	4.50 stars
3.50 stars	Future - Monster	2.50 stars
4.00 stars	Gang of Four - Entertainment!	4.00 stars
3.50 stars	Girls - Album	3.00 stars
3.00 stars	Grimes - Visions	3.00 stars
3.50 stars	Grouper - Dragging a Dead Deer Up a Hill	4.00 stars
4.00 stars	Guided by Voices - Alien Lanes	4.50 stars
3.00 stars	Have a Nice Life - The Unnatural World	3.50 stars
4.00 stars	Tim Hecker - Harmony in Ultraviolet	4.00 stars
3.50 stars	Tim Hecker - Virgins	3.50 stars
4.00 stars	Holograms - Holograms	3.50 stars
4.00 stars	Hop Along - Bark Your Head Off, Dog	4.00 stars
3.50 stars	Hot Snakes - Jericho Sirens	3.50 stars
3.50 stars	Rowland S. Howard - Teenage Snuff Film	3.50 stars
4.50 stars	Institute - Demo	3.50 stars
3.50 stars	Joy Division - Closer	4.50 stars
3.50 stars	Kuedo - Severant	3.00 stars
3.50 stars	Kylesa - Static Tensions	3.00 stars
