rental	Album	DrCliff
3.00 stars	American Football - American Football	2.50 stars
4.00 stars	Beat Happening - You Turn Me On	3.50 stars
4.00 stars	Belle & Sebastian - Dear Catastrophe Waitress	4.00 stars
3.50 stars	The Beths - Future Me Hates Me	4.50 stars
3.00 stars	Nick Cave & The Bad Seeds - Skeleton Tree	2.50 stars
4.00 stars	Chain and the Gang - Experimental Music	4.50 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.00 stars
3.50 stars	Crystal Stilts - In Love With Oblivion	3.50 stars
3.50 stars	Deerhunter - Fading Frontier	4.00 stars
3.50 stars	Dinosaur Jr. - Beyond	4.50 stars
3.50 stars	The Dodos - Visiter	3.00 stars
4.00 stars	The Fresh & Onlys - Play It Strange	4.00 stars
3.00 stars	Fucked Up - The Chemistry of Common Life	2.50 stars
4.00 stars	Makthaverskan - Makthaverskan II	4.50 stars
3.50 stars	mclusky - The Difference Between Me and You Is That I'm Not on Fire	2.50 stars
2.00 stars	Minus the Bear - Highly Refined Pirates	2.50 stars
3.50 stars	Janelle Monáe - The ArchAndroid	3.00 stars
3.50 stars	John Coltrane - My Favorite Things	3.50 stars
3.50 stars	Leonard Cohen - Songs of Leonard Cohen	4.00 stars
3.00 stars	Crosby, Stills, Nash & Young - Déjà vu	2.00 stars
3.50 stars	Carpenters - The Singles 1969-1973	2.50 stars
3.00 stars	NEU! - NEU! '75	4.00 stars
3.50 stars	Fleetwood Mac - Rumours	3.50 stars
4.00 stars	Devo - Q: Are We Not Men? A: We Are Devo!	4.50 stars
3.50 stars	Fehlfarben - Monarchie und Alltag	3.50 stars
4.00 stars	Television Personalities - ...And Don't the Kids Just Love It	3.00 stars
4.00 stars	Wall of Voodoo - Call of the West	4.00 stars
4.00 stars	The Dream Syndicate - The Days of Wine and Roses	4.00 stars
3.50 stars	Prince and The Revolution - Purple Rain	4.50 stars
3.00 stars	Loop - Heaven's End	2.50 stars
3.50 stars	Hüsker Dü - Warehouse: Songs and Stories	4.00 stars
3.50 stars	Pixies - Surfer Rosa	4.50 stars
4.50 stars	Minor Threat - Complete Discography	4.50 stars
3.00 stars	The Sundays - Reading, Writing and Arithmetic	4.00 stars
3.00 stars	The Chills - Submarine Bells	4.00 stars
3.50 stars	Sonic Youth - Goo	3.00 stars
4.00 stars	Prefab Sprout - Jordan: The Comeback	4.00 stars
2.50 stars	Red Hot Chili Peppers - Blood Sugar Sex Magik	2.00 stars
5.00 stars	Pavement - Slanted and Enchanted	5.00 stars
3.50 stars	London Sinfonietta / David Zinman / Dawn Upshaw - Symphony No. 3	3.50 stars
3.00 stars	Rage Against the Machine - Rage Against the Machine	4.00 stars
3.00 stars	Superchunk - On the Mouth	3.50 stars
3.00 stars	Fugazi - In on the Kill Taker	4.00 stars
3.50 stars	Nas - Illmatic	3.00 stars
3.50 stars	Nick Cave and The Bad Seeds - Let Love In	4.50 stars
3.00 stars	Lush - Split	3.00 stars
3.50 stars	Portishead - Dummy	4.50 stars
4.00 stars	The Embarrassment - Heyday: 1979-1983	3.00 stars
