rental	Album	Duncankennedy3
4.00 stars	Animal Collective - Fall Be Kind	4.00 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	4.50 stars
3.00 stars	Baths - Cerulean	3.50 stars
4.00 stars	The Beach Boys - Pet Sounds	4.50 stars
4.50 stars	Black Baron - Abject Skin	4.00 stars
3.00 stars	Blank Dogs - Under and Under	4.00 stars
4.00 stars	Blotter - Demo Cassette	4.50 stars
4.00 stars	Blotter - Under Armour '77	5.00 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.00 stars
4.00 stars	Crass - Penis Envy	4.00 stars
4.00 stars	Descendents - Milo Goes to College	4.00 stars
3.50 stars	D.L.I.M.C. - October Cassingle	4.50 stars
4.00 stars	D.L.I.M.C. - November Cassingle	4.50 stars
4.00 stars	Gordons - The Gordons	4.00 stars
4.50 stars	Hella - Hold Your Horse Is	4.50 stars
4.00 stars	Hüsker Dü - New Day Rising	4.00 stars
4.50 stars	Institute - Demo	4.50 stars
4.00 stars	Institute - Giddy Boys 7"	4.00 stars
4.50 stars	Institute - Salt EP	4.00 stars
4.00 stars	Ivy - A Cat's Cause, No Dogs Problem	4.50 stars
4.00 stars	Makthaverskan - Makthaverskan	4.00 stars
4.00 stars	Makthaverskan - Makthaverskan II	5.00 stars
3.00 stars	MGMT - MGMT	4.00 stars
4.00 stars	Modest Mouse - This Is a Long Drive for Someone With Nothing to Think About	4.00 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	4.00 stars
3.50 stars	The Stooges - Fun House	4.00 stars
3.50 stars	Faust - Faust	4.00 stars
4.00 stars	Iggy and The Stooges - Raw Power	4.00 stars
4.50 stars	Wire - Pink Flag	4.50 stars
3.50 stars	Brian Eno - Ambient 1: Music for Airports	4.00 stars
4.00 stars	Wire - Chairs Missing	5.00 stars
4.00 stars	Devo - Q: Are We Not Men? A: We Are Devo!	4.50 stars
4.00 stars	Public Image Ltd - Public Image	4.50 stars
3.50 stars	Joy Division - Unknown Pleasures	4.00 stars
4.00 stars	Wire - 154	4.50 stars
4.00 stars	PiL - Metal Box	4.50 stars
3.50 stars	Fehlfarben - Monarchie und Alltag	4.00 stars
4.00 stars	The Cramps - Songs the Lord Taught Us	4.00 stars
4.50 stars	Mission of Burma - Signals, Calls, and Marches	4.50 stars
4.00 stars	This Heat - Deceit	4.00 stars
4.00 stars	Glenn Branca - The Ascension	5.00 stars
3.50 stars	Misfits - Walk Among Us	4.50 stars
4.00 stars	Discharge - Hear Nothing See Nothing Say Nothing	4.00 stars
3.50 stars	The Faith / Void - The Faith / Void	4.50 stars
4.50 stars	Mission of Burma - Vs.	4.50 stars
3.50 stars	Minutemen - What Makes a Man Start Fires?	4.50 stars
3.50 stars	R.E.M. - Murmur	4.50 stars
3.00 stars	New Order - Power, Corruption & Lies	3.00 stars
4.00 stars	The Smiths - The Smiths	4.00 stars
4.00 stars	Black Flag - My War	4.50 stars
4.00 stars	The Replacements - Let It Be	5.00 stars
5.00 stars	Minutemen - Double Nickels on the Dime	4.50 stars
3.50 stars	Tears for Fears - Songs From the Big Chair	4.50 stars
3.50 stars	The Smiths - Meat Is Murder	4.50 stars
