rental	Album	Econojam
3.50 stars	Bark Psychosis - Hex	4.00 stars
4.00 stars	William Basinski - The Disintegration Loops	3.50 stars
4.00 stars	The Beach Boys - Pet Sounds	4.50 stars
4.00 stars	Beat Happening - You Turn Me On	4.00 stars
4.00 stars	black midi - Schlagenheim	4.00 stars
3.00 stars	Blank Banshee - Mega	3.50 stars
3.50 stars	Boards of Canada - Geogaddi	4.00 stars
3.50 stars	Boards of Canada - The Campfire Headphase	3.50 stars
3.50 stars	David Bowie - Station to Station	4.00 stars
3.50 stars	David Bowie - "Heroes"	4.00 stars
4.00 stars	Butthole Surfers - Locust Abortion Technician	4.00 stars
4.00 stars	Can - Soundtracks	4.00 stars
3.50 stars	Chuck Person - Chuck Person's Eccojams Vol. 1	3.00 stars
3.50 stars	The Damned - Damned Damned Damned	3.50 stars
4.00 stars	Richard Dawson - 2020	4.50 stars
3.50 stars	Death Grips - Government Plates	3.00 stars
3.50 stars	Death Grips - Niggas on the Moon: The Powers That B Disc 1	4.00 stars
3.50 stars	Death Grips - Jenny Death: The Powers That B Disc 2	4.00 stars
3.50 stars	Deerhunter - Fading Frontier	3.00 stars
3.50 stars	Dope Body - Natural History	4.00 stars
4.00 stars	Earth - The Bees Made Honey in the Lion's Skull	4.00 stars
3.50 stars	The Fall - Live at the Witch Trials	3.50 stars
4.00 stars	Fleet Foxes - Crack-Up	3.50 stars
3.50 stars	Freak Heat Waves - Bonnie's State of Mind	3.50 stars
3.50 stars	Fuck Buttons - Tarot Sport	4.50 stars
4.00 stars	Gang of Four - Entertainment!	4.50 stars
3.50 stars	Girls - Album	3.00 stars
3.00 stars	Godspeed You Black Emperor! - Slow Riot for New Zerø Kanada E.P.	4.00 stars
3.00 stars	Grimes - Visions	4.00 stars
4.00 stars	Guided by Voices - Alien Lanes	5.00 stars
4.00 stars	Tim Hecker - Harmony in Ultraviolet	4.50 stars
3.50 stars	Tim Hecker - Virgins	3.50 stars
3.50 stars	Jon Hopkins - Immunity	4.00 stars
3.50 stars	Nicolas Jaar - Don't Break My Love	3.50 stars
4.00 stars	Kendrick Lamar - DAMN.	4.00 stars
3.00 stars	LCD Soundsystem - This Is Happening	3.50 stars
4.00 stars	Metallica - Ride the Lightning	4.00 stars
4.00 stars	MGMT - Little Dark Age	4.00 stars
