rental	Album	Fietspomp
3.00 stars	The 90 Day Men - To Everybody	3.50 stars
3.50 stars	Allah-Las - Allah Las	3.50 stars
3.00 stars	American Football - American Football	3.50 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	3.50 stars
3.50 stars	Bark Psychosis - Hex	4.00 stars
3.50 stars	William Basinski - The Disintegration Loops II	3.50 stars
3.50 stars	Bauhaus - In the Flat Field	4.00 stars
4.00 stars	The Beach Boys - Pet Sounds	3.50 stars
4.00 stars	Beat Happening - You Turn Me On	3.50 stars
4.00 stars	The Beatles - Abbey Road	3.50 stars
4.00 stars	Belle & Sebastian - Dear Catastrophe Waitress	3.50 stars
4.00 stars	Black Eyes - Black Eyes	3.50 stars
3.50 stars	Black Eyes - Cough	3.00 stars
3.50 stars	Boards of Canada - Geogaddi	4.00 stars
3.50 stars	Boards of Canada - The Campfire Headphase	3.50 stars
3.00 stars	Boredoms - Super æ	3.50 stars
3.50 stars	David Bowie - Station to Station	4.00 stars
3.50 stars	David Bowie - "Heroes"	3.50 stars
4.00 stars	David Thomas Broughton - The Complete Guide to Insufficiency	4.00 stars
3.00 stars	Tim Buckley - Goodbye and Hello	3.00 stars
4.00 stars	Tim Buckley - Starsailor	3.00 stars
4.00 stars	Burial - Street Halo	3.50 stars
4.00 stars	Butthole Surfers - Rembrandt Pussyhorse	4.00 stars
4.00 stars	Butthole Surfers - Locust Abortion Technician	4.00 stars
3.00 stars	Cabaret Voltaire - Red Mecca	4.00 stars
4.00 stars	Can - Soundtracks	3.50 stars
3.00 stars	Nick Cave & The Bad Seeds - Skeleton Tree	4.00 stars
3.50 stars	A Certain Ratio - To Each...	3.50 stars
2.50 stars	Circle Takes the Square - As the Roots Undo	3.50 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.00 stars
4.00 stars	Cloud Nothings - Life Without Sound	3.50 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	3.50 stars
4.50 stars	Coil - Horse Rotorvator	4.50 stars
4.00 stars	Coil - Musick to Play in the Dark	3.50 stars
4.00 stars	Lloyd Cole and The Commotions - Rattlesnakes	3.50 stars
4.00 stars	Comus - First Utterance	3.50 stars
4.00 stars	Crass - Penis Envy	3.00 stars
3.00 stars	Crocodiles - Sleep Forever	3.50 stars
3.50 stars	The Damned - Damned Damned Damned	3.50 stars
3.50 stars	Daughters - Daughters	4.50 stars
3.50 stars	Deerhunter - Fading Frontier	3.00 stars
4.00 stars	Descendents - Milo Goes to College	3.50 stars
3.50 stars	Destruction Unit - Deep Trip	4.50 stars
3.50 stars	Dinosaur Jr. - Beyond	3.50 stars
3.50 stars	Dirty Three - Ocean Songs	4.00 stars
3.50 stars	Disappears - Pre Language	4.50 stars
3.00 stars	Disco Inferno - Technicolour	3.00 stars
3.50 stars	DNA - DNA on DNA	4.50 stars
3.50 stars	The Doors - The Doors	2.50 stars
3.50 stars	Dope Body - Natural History	3.50 stars
3.50 stars	Nick Drake - Five Leaves Left	4.00 stars
3.50 stars	The Drones - Wait Long by the River and the Bodies of Your Enemies Will Float By	4.50 stars
3.50 stars	The Drones - Feelin Kinda Free	3.50 stars
4.00 stars	The Durutti Column - LC	4.00 stars
3.50 stars	Eagulls - Ullages	3.50 stars
