rental	Album	JoeCooper
3.50 stars	Adolescents - Adolescents	4.00 stars
3.50 stars	Agent Orange - Living in Darkness	3.00 stars
3.00 stars	American Football - American Football	4.00 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	4.50 stars
3.00 stars	Armand Hammer - Paraffin	3.00 stars
3.50 stars	Bark Psychosis - Hex	4.00 stars
4.00 stars	William Basinski - The Disintegration Loops	3.50 stars
3.50 stars	Bauhaus - In the Flat Field	4.00 stars
4.00 stars	The Beach Boys - Pet Sounds	4.00 stars
4.00 stars	Beat Happening - You Turn Me On	4.00 stars
4.00 stars	The Beatles - Abbey Road	4.00 stars
4.00 stars	Art Blakey and The Jazz Messengers - Art Blakey and The Jazz Messengers [Moanin']	3.50 stars
3.00 stars	Blank Banshee - Mega	3.50 stars
3.50 stars	Blank Dogs - On Two Sides	4.00 stars
3.50 stars	Дин Блант - Каменный остров (Stone Island)	3.50 stars
3.50 stars	Booji Boys - Booji Boys	3.50 stars
4.00 stars	The Books - The Lemon of Pink	4.00 stars
3.50 stars	Boris - flood	4.50 stars
3.50 stars	David Bowie - Station to Station	4.50 stars
3.50 stars	David Bowie - "Heroes"	3.00 stars
3.50 stars	Cheveu - Cheveu	4.00 stars
3.50 stars	Chuck Person - Chuck Person's Eccojams Vol. 1	3.50 stars
3.00 stars	Clarence Clarity - Think: Peace	2.50 stars
3.50 stars	C L E A N E R S - Real Raga Shit Vol. 1	4.00 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.50 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	4.50 stars
5.00 stars	Ornette Coleman - The Shape of Jazz to Come	4.50 stars
4.00 stars	Comus - First Utterance	4.00 stars
3.50 stars	Julian Cope - World Shut Your Mouth	2.50 stars
4.00 stars	Country Teasers - Satan Is Real Again or Feeling Good About Bad Thoughts	3.50 stars
4.00 stars	Crazy Spirit - Crazy Spirit	3.50 stars
3.00 stars	Dadawah - Peace and Love	3.50 stars
3.50 stars	The Damned - Damned Damned Damned	3.50 stars
3.50 stars	Death Grips - Government Plates	4.50 stars
4.00 stars	Descendents - Milo Goes to College	5.00 stars
4.00 stars	The Dicks - The Dicks Hate the Police / Lifetime Problems / All Night Fever	5.00 stars
3.00 stars	Disco Inferno - Technicolour	4.00 stars
3.50 stars	The Dodos - Visiter	3.50 stars
3.50 stars	D/P/I - MN.ROY	3.50 stars
3.50 stars	The Drones - Wait Long by the River and the Bodies of Your Enemies Will Float By	3.00 stars
4.00 stars	The Durutti Column - LC	4.50 stars
3.50 stars	Delroy Edwards - Rio Grande	4.00 stars
2.50 stars	Matt Elliott - Drinking Songs	3.00 stars
3.50 stars	The Fall - Live at the Witch Trials	4.00 stars
4.00 stars	The Fall - Slates	5.00 stars
4.00 stars	The Fall - Perverted by Language	4.50 stars
3.50 stars	The Fall - The Real New Fall LP: Formerly Country on the Click	4.00 stars
3.00 stars	James Ferraro - Troll	3.50 stars
3.50 stars	James Ferraro - Four Pieces for Mirai	3.50 stars
3.50 stars	The Field Mice - Snowball	2.50 stars
3.00 stars	Fucked Up - The Chemistry of Common Life	4.00 stars
3.50 stars	Fugazi - Repeater	4.50 stars
4.00 stars	Gang of Four - Entertainment!	4.50 stars
3.00 stars	Gentleman Jesse and His Men - Leaving Atlanta	3.00 stars
3.50 stars	Daughn Gibson - All Hell	4.00 stars
3.00 stars	Daughn Gibson - Me Moan	4.00 stars
3.50 stars	Girls - Album	3.00 stars
4.50 stars	The Go-Betweens - 16 Lovers Lane	4.00 stars
3.50 stars	Grouper - Dragging a Dead Deer Up a Hill	4.00 stars
4.00 stars	Guided by Voices - Alien Lanes	4.00 stars
3.00 stars	Have a Nice Life - The Unnatural World	3.50 stars
4.00 stars	Tim Hecker - Harmony in Ultraviolet	4.00 stars
3.50 stars	Tim Hecker - Virgins	4.50 stars
3.00 stars	Henry Cow - In Praise of Learning	2.00 stars
4.00 stars	James Holden & the Animal Spirits - The Animal Spirits	4.50 stars
3.00 stars	Hoodoo Gurus - Stoneage Romeos	3.00 stars
3.50 stars	Jon Hopkins - Immunity	4.00 stars
4.00 stars	Hüsker Dü - New Day Rising	4.00 stars
4.00 stars	Institute - Giddy Boys 7"	4.50 stars
3.00 stars	Jesu - Jesu	2.50 stars
3.50 stars	Joy Division - Closer	3.50 stars
3.00 stars	Leo Kottke - 6 & 12 String Guitar	3.50 stars
3.50 stars	KWJAZ - KWJAZ	4.00 stars
4.00 stars	Les Savy Fav - Inches	4.50 stars
3.00 stars	Lolina - The Smoke	3.50 stars
4.50 stars	Lower Dens - Twin-Hand Movement	3.50 stars
3.50 stars	Male Bonding - Nothing Hurts	4.00 stars
3.50 stars	Curtis Mayfield - Superfly	4.50 stars
3.50 stars	mclusky - The Difference Between Me and You Is That I'm Not on Fire	4.00 stars
3.50 stars	Meat Wave - The Incessant	4.50 stars
4.00 stars	MGMT - Little Dark Age	3.50 stars
3.50 stars	The Microphones - The Glow Pt. 2	4.50 stars
4.00 stars	Milk Music - Beyond Living	3.00 stars
2.00 stars	Minus the Bear - Highly Refined Pirates	1.50 stars
3.50 stars	Janelle Monáe - The ArchAndroid	3.50 stars
3.50 stars	Little Richard - Here's Little Richard	3.50 stars
3.50 stars	Bo Diddley - Bo Diddley	4.50 stars
3.50 stars	Miles Davis - Kind of Blue	3.00 stars
4.00 stars	Mingus - The Black Saint and the Sinner Lady	4.50 stars
3.50 stars	Albert Ayler Trio - Spiritual Unity	4.00 stars
4.00 stars	John Coltrane - A Love Supreme	4.50 stars
3.50 stars	The Sonics - Here Are The Sonics!!!	4.00 stars
3.50 stars	Bob Dylan - Bringing It All Back Home	3.50 stars
3.50 stars	Bob Dylan - Highway 61 Revisited	4.00 stars
3.50 stars	Nina Simone - Pastel Blues	4.50 stars
4.50 stars	Jackson C. Frank - Jackson C. Frank	4.00 stars
3.50 stars	Bob Dylan - Blonde on Blonde	4.00 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	5.00 stars
3.50 stars	The Beatles - Sgt. Pepper's Lonely Hearts Club Band	3.50 stars
3.00 stars	Captain Beefheart and His Magic Band - Safe as Milk	3.50 stars
3.50 stars	Leonard Cohen - Songs of Leonard Cohen	4.00 stars
3.00 stars	The Peter Brötzmann Octet - Machine Gun	4.00 stars
3.50 stars	Os Mutantes - Os Mutantes	3.00 stars
4.00 stars	The Kinks - The Kinks Are the Village Green Preservation Society	4.00 stars
4.00 stars	The Velvet Underground - The Velvet Underground	4.00 stars
3.50 stars	Pharoah Sanders - Karma	4.00 stars
4.00 stars	Captain Beefheart & His Magic Band - Trout Mask Replica	3.00 stars
3.50 stars	Miles Davis - In a Silent Way	4.50 stars
3.00 stars	The Stooges - The Stooges	4.00 stars
4.00 stars	Townes Van Zandt - Townes Van Zandt	4.00 stars
