rental	Album	Marioman42
3.50 stars	Agent Orange - Living in Darkness	3.50 stars
3.00 stars	American Football - American Football	4.00 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	4.50 stars
3.50 stars	Bark Psychosis - Hex	4.00 stars
4.00 stars	William Basinski - The Disintegration Loops	3.00 stars
3.50 stars	William Basinski - The Disintegration Loops II	3.50 stars
3.50 stars	William Basinski - The Disintegration Loops III	3.50 stars
3.50 stars	William Basinski - The Disintegration Loops IV	3.50 stars
4.00 stars	The Beach Boys - Pet Sounds	4.50 stars
4.00 stars	Beat Happening - You Turn Me On	3.50 stars
4.00 stars	Black Eyes - Black Eyes	4.00 stars
3.50 stars	Black Eyes - Cough	4.00 stars
3.50 stars	Boards of Canada - Geogaddi	3.50 stars
3.50 stars	Boards of Canada - The Campfire Headphase	4.00 stars
4.00 stars	The Books - The Lemon of Pink	3.50 stars
3.00 stars	Boredoms - Super æ	4.00 stars
3.50 stars	Boris - flood	4.00 stars
3.50 stars	David Bowie - Station to Station	3.50 stars
3.50 stars	David Bowie - "Heroes"	4.00 stars
4.00 stars	Tim Buckley - Starsailor	4.00 stars
3.50 stars	Kate Bush - Hounds of Love	3.50 stars
4.00 stars	Butthole Surfers - Rembrandt Pussyhorse	3.00 stars
4.00 stars	Butthole Surfers - Locust Abortion Technician	3.50 stars
4.00 stars	Can - Soundtracks	4.00 stars
3.50 stars	Chuck Person - Chuck Person's Eccojams Vol. 1	4.00 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	3.00 stars
4.50 stars	Coil - Horse Rotorvator	4.00 stars
4.00 stars	Coil - Musick to Play in the Dark	4.00 stars
5.00 stars	Ornette Coleman - The Shape of Jazz to Come	4.00 stars
4.00 stars	Comus - First Utterance	4.00 stars
4.00 stars	Crass - Penis Envy	3.50 stars
3.50 stars	The Damned - Damned Damned Damned	4.00 stars
3.50 stars	Daughters - Daughters	4.00 stars
3.50 stars	Death Grips - Government Plates	3.00 stars
4.00 stars	Descendents - Milo Goes to College	3.00 stars
4.00 stars	The Dicks - The Dicks Hate the Police / Lifetime Problems / All Night Fever	4.00 stars
3.50 stars	Dirty Three - Ocean Songs	3.00 stars
3.50 stars	Distorted Pony - Punishment Room	4.00 stars
4.00 stars	DJ Screw - Bigtyme Vol II: All Screwed Up	3.50 stars
3.50 stars	DNA - DNA on DNA	3.00 stars
3.50 stars	The Doors - The Doors	3.00 stars
4.00 stars	The Durutti Column - LC	3.50 stars
4.00 stars	Earth - The Bees Made Honey in the Lion's Skull	3.50 stars
2.50 stars	Matt Elliott - Drinking Songs	3.50 stars
3.50 stars	John Fahey - Fare Forward Voyagers (Soldier's Choice)	3.50 stars
3.00 stars	Th Faith Healers - Lido	4.00 stars
3.50 stars	The Field Mice - Snowball	3.50 stars
3.00 stars	Fishmans - 98.12.28 男達の別れ (98.12.28 Otokotachi no Wakare)	4.00 stars
3.50 stars	Flipper - Album: Generic Flipper	3.50 stars
3.50 stars	Fuck Buttons - Tarot Sport	3.50 stars
3.50 stars	Fugazi - Repeater	4.00 stars
4.00 stars	Gang of Four - Entertainment!	5.00 stars
3.50 stars	The Gerogerigegege - 燃えない灰 (Moenai Hai)	3.50 stars
4.00 stars	Philip Glass - Glassworks	4.00 stars
3.00 stars	Godspeed You Black Emperor! - Slow Riot for New Zerø Kanada E.P.	4.00 stars
4.00 stars	Gordons - The Gordons	4.00 stars
3.00 stars	Grimes - Visions	3.00 stars
4.00 stars	Harvey Milk - Courtesy and Good Will Toward Men	3.00 stars
3.50 stars	Anna von Hausswolff - Dead Magic	4.00 stars
4.00 stars	Tim Hecker - Harmony in Ultraviolet	4.00 stars
3.50 stars	Tim Hecker - Virgins	4.00 stars
3.00 stars	Henry Cow - In Praise of Learning	3.50 stars
3.00 stars	Hoodoo Gurus - Stoneage Romeos	3.50 stars
3.50 stars	Jon Hopkins - Immunity	3.50 stars
4.00 stars	Hüsker Dü - New Day Rising	4.00 stars
3.50 stars	Jackie-O Motherfucker - Fig. 5	3.00 stars
3.00 stars	Jesu - Jesu	3.50 stars
3.50 stars	The Lounge Lizards - The Lounge Lizards	3.00 stars
4.00 stars	Machinedrum - Room(s)	3.50 stars
2.50 stars	Magma - Mekanïk Destruktïw Kommandöh	3.50 stars
4.00 stars	Metallica - Ride the Lightning	3.50 stars
3.50 stars	Minutemen - Buzz or Howl Under the Influence of Heat	4.00 stars
3.50 stars	Mobb Deep - The Infamous	4.00 stars
3.50 stars	Janelle Monáe - The ArchAndroid	4.00 stars
4.50 stars	Moondog - Moondog	4.00 stars
3.00 stars	Mr. Bungle - Mr. Bungle	3.50 stars
3.50 stars	Little Richard - Here's Little Richard	3.50 stars
3.50 stars	Miles Davis - Kind of Blue	3.50 stars
4.00 stars	Sandy Bull - Fantasias for Guitar and Banjo	3.50 stars
4.00 stars	Mingus - The Black Saint and the Sinner Lady	4.00 stars
3.50 stars	Albert Ayler Trio - Spiritual Unity	3.50 stars
4.00 stars	John Coltrane - A Love Supreme	4.00 stars
3.50 stars	The Sonics - Here Are The Sonics!!!	3.50 stars
3.50 stars	Bob Dylan - Highway 61 Revisited	3.50 stars
3.50 stars	Nina Simone - Pastel Blues	4.00 stars
3.50 stars	Junior Wells' Chicago Blues Band - Hoodoo Man Blues	4.00 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	4.50 stars
3.00 stars	The Jimi Hendrix Experience - Are You Experienced	3.50 stars
3.50 stars	The Beatles - Sgt. Pepper's Lonely Hearts Club Band	3.00 stars
3.00 stars	Captain Beefheart and His Magic Band - Safe as Milk	3.50 stars
3.00 stars	The Peter Brötzmann Octet - Machine Gun	4.00 stars
4.00 stars	Dr. John, The Night Tripper - Gris-Gris	3.00 stars
4.00 stars	The Zombies - Odessey and Oracle	4.00 stars
3.50 stars	Os Mutantes - Os Mutantes	3.50 stars
3.50 stars	Van Morrison - Astral Weeks	3.50 stars
3.50 stars	Technical Space Composer's Crew - Canaxis 5	3.50 stars
4.00 stars	The Velvet Underground - The Velvet Underground	3.50 stars
3.50 stars	Tim Buckley - Happy Sad	3.50 stars
3.50 stars	Pharoah Sanders - Karma	4.00 stars
4.00 stars	Captain Beefheart & His Magic Band - Trout Mask Replica	4.00 stars
4.00 stars	The Can - Monster Movie	3.50 stars
3.00 stars	The Stooges - The Stooges	3.50 stars
4.50 stars	Scott Engel - Scott 4	3.50 stars
4.00 stars	Exuma - Exuma	4.00 stars
3.50 stars	Miles Davis - Bitches Brew	4.00 stars
4.00 stars	Creedence Clearwater Revival - Cosmo's Factory	4.00 stars
3.50 stars	Tim Buckley - Lorca	3.50 stars
3.50 stars	The Stooges - Fun House	4.50 stars
3.00 stars	Amon Düül II - Yeti	4.00 stars
3.50 stars	Chico Buarque - Construção	3.00 stars
3.50 stars	Faust - Faust	4.50 stars
4.00 stars	Serge Gainsbourg - Histoire de Melody Nelson	4.00 stars
3.00 stars	Marvin Gaye - What's Going On	4.00 stars
3.00 stars	Black Sabbath - Master of Reality	3.50 stars
3.50 stars	T. Rex - Electric Warrior	3.00 stars
4.00 stars	Can - Tago Mago	4.50 stars
4.00 stars	David Bowie - Hunky Dory	4.00 stars
3.50 stars	Popol Vuh - Hosianna Mantra	4.00 stars
4.00 stars	Nick Drake - Pink Moon	4.00 stars
4.00 stars	Milton Nascimento & Lô Borges - Clube da Esquina	4.00 stars
4.00 stars	David Bowie - The Rise and Fall of Ziggy Stardust and the Spiders From Mars	3.50 stars
4.50 stars	Can - Ege Bamyasi	4.00 stars
4.00 stars	Novos Baianos - Acabou chorare	4.00 stars
3.50 stars	Lou Reed - Transformer	3.50 stars
4.00 stars	Iggy and The Stooges - Raw Power	4.00 stars
3.50 stars	Stevie Wonder - Innervisions	3.50 stars
3.50 stars	Can - Future Days	4.50 stars
3.50 stars	Eno - Here Come the Warm Jets	3.50 stars
3.50 stars	Sparks - Kimono My House	4.00 stars
3.50 stars	Velvet Underground - 1969 Velvet Underground Live With Lou Reed	3.50 stars
3.00 stars	NEU! - NEU! '75	3.50 stars
3.50 stars	Bob Dylan - Blood on the Tracks	3.00 stars
3.50 stars	Eno - Another Green World	3.50 stars
3.00 stars	Patti Smith - Horses	3.50 stars
