rental	Album	MilkyJoe
4.00 stars	Animal Collective - Fall Be Kind	4.00 stars
3.00 stars	Armand Hammer - Paraffin	3.50 stars
3.50 stars	Bauhaus - In the Flat Field	4.00 stars
4.00 stars	The Beach Boys - Pet Sounds	4.50 stars
4.00 stars	The Beatles - Abbey Road	4.00 stars
4.00 stars	black midi - Schlagenheim	3.00 stars
3.00 stars	The Cars - The Cars	3.50 stars
3.00 stars	Nick Cave & The Bad Seeds - Skeleton Tree	4.00 stars
3.50 stars	Crystal Stilts - In Love With Oblivion	4.50 stars
3.50 stars	The Damned - Damned Damned Damned	3.50 stars
3.50 stars	Death Grips - Government Plates	4.00 stars
3.50 stars	Death Grips - Niggas on the Moon: The Powers That B Disc 1	4.50 stars
3.50 stars	Deerhunter - Rainwater Cassette Exchange	4.00 stars
3.50 stars	Deerhunter - Fading Frontier	4.00 stars
3.50 stars	The Doors - The Doors	3.50 stars
3.50 stars	Nick Drake - Five Leaves Left	4.00 stars
4.00 stars	Ducktails - The Flower Lane	3.50 stars
3.50 stars	Ducktails - Jersey Devil	3.00 stars
3.50 stars	Eagulls - Ullages	3.50 stars
3.50 stars	The Fall - Live at the Witch Trials	3.50 stars
4.00 stars	The Fall - Slates	3.50 stars
4.00 stars	The Fall - Perverted by Language	4.50 stars
4.00 stars	Fontaines D.C. - Dogrel	3.00 stars
4.00 stars	Alex G - Beach Music	3.50 stars
4.00 stars	Gang of Four - Entertainment!	4.50 stars
3.00 stars	Girl Band - Holding Hands With Jamie	3.50 stars
3.50 stars	The Go-Betweens - Spring Hill Fair	3.50 stars
3.00 stars	Grimes - Visions	4.00 stars
3.50 stars	Grouper - Dragging a Dead Deer Up a Hill	4.00 stars
3.00 stars	The Hecks - The Hecks	3.00 stars
4.00 stars	Holograms - Holograms	4.00 stars
3.00 stars	HOMESHAKE - In the Shower	3.50 stars
4.50 stars	Institute - Demo	3.50 stars
4.50 stars	Institute - Salt EP	3.50 stars
3.50 stars	Joy Division - Closer	4.50 stars
3.00 stars	Kero Kero Bonito - Bonito Generation	4.00 stars
3.50 stars	Steve Lacy - Steve Lacy's Demo	3.50 stars
4.00 stars	Kendrick Lamar - DAMN.	3.50 stars
4.00 stars	Love - Forever Changes	4.00 stars
4.50 stars	Metronomy - Nights Out	3.50 stars
3.00 stars	MGMT - MGMT	3.00 stars
4.00 stars	MGMT - Little Dark Age	4.00 stars
3.50 stars	The Microphones - The Glow Pt. 2	3.00 stars
3.50 stars	Miles Davis - Kind of Blue	3.50 stars
4.00 stars	John Coltrane - A Love Supreme	3.00 stars
3.50 stars	Bob Dylan - Bringing It All Back Home	4.00 stars
4.50 stars	Jackson C. Frank - Jackson C. Frank	4.00 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	5.00 stars
3.00 stars	The Jimi Hendrix Experience - Are You Experienced	4.00 stars
3.50 stars	The Beatles - Sgt. Pepper's Lonely Hearts Club Band	4.00 stars
3.50 stars	The Kinks - Something Else by The Kinks	4.50 stars
3.50 stars	Leonard Cohen - Songs of Leonard Cohen	4.50 stars
4.00 stars	The Zombies - Odessey and Oracle	4.00 stars
4.00 stars	The Kinks - The Kinks Are the Village Green Preservation Society	5.00 stars
3.50 stars	Van Morrison - Astral Weeks	4.00 stars
4.00 stars	The Velvet Underground - The Velvet Underground	4.50 stars
3.00 stars	The Stooges - The Stooges	3.00 stars
4.50 stars	Scott Engel - Scott 4	3.50 stars
3.50 stars	The Kinks - Arthur or the Decline and Fall of the British Empire	4.00 stars
3.50 stars	Syd Barrett - The Madcap Laughs	3.00 stars
3.50 stars	Miles Davis - Bitches Brew	4.00 stars
3.50 stars	The Stooges - Fun House	3.50 stars
