rental	Album	PapaJohnMisty
3.00 stars	American Football - American Football	2.50 stars
4.00 stars	Animal Collective - Fall Be Kind	4.50 stars
4.00 stars	William Basinski - The Disintegration Loops	4.00 stars
4.00 stars	The Beach Boys - Pet Sounds	4.50 stars
3.50 stars	Boris - flood	4.00 stars
3.50 stars	David Bowie - Station to Station	4.00 stars
3.50 stars	David Bowie - "Heroes"	4.00 stars
3.50 stars	Kate Bush - Hounds of Love	4.50 stars
3.50 stars	Chuck Person - Chuck Person's Eccojams Vol. 1	3.50 stars
3.00 stars	The Church - Starfish	4.00 stars
4.00 stars	Cloud Nothings - Attack on Memory	3.50 stars
3.50 stars	Cocteau Twins - Head Over Heels	4.00 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	4.50 stars
3.50 stars	Julian Cope - World Shut Your Mouth	3.50 stars
3.50 stars	The Damned - Damned Damned Damned	3.00 stars
3.50 stars	Death Grips - Government Plates	3.50 stars
3.50 stars	Destruction Unit - Deep Trip	3.00 stars
3.50 stars	Fugazi - Repeater	3.50 stars
4.00 stars	Alex G - Beach Music	3.50 stars
4.00 stars	Gang of Four - Entertainment!	4.00 stars
3.00 stars	Girl Band - Holding Hands With Jamie	3.50 stars
3.50 stars	Girlpool - Before the World Was Big	3.50 stars
3.00 stars	Godspeed You Black Emperor! - Slow Riot for New Zerø Kanada E.P.	4.00 stars
3.00 stars	Have a Nice Life - The Unnatural World	4.00 stars
3.50 stars	Heat Dust - Heat Dust	3.50 stars
4.00 stars	Holograms - Holograms	4.00 stars
3.50 stars	Rowland S. Howard - Teenage Snuff Film	4.00 stars
3.00 stars	LCD Soundsystem - This Is Happening	4.00 stars
4.00 stars	Les Savy Fav - Inches	3.50 stars
3.50 stars	Low - Things We Lost in the Fire	4.00 stars
4.00 stars	Makthaverskan - Makthaverskan II	3.50 stars
3.50 stars	The Microphones - The Glow Pt. 2	4.50 stars
3.50 stars	Moro - San Benito	3.00 stars
4.00 stars	The Velvet Underground - The Velvet Underground	4.00 stars
4.50 stars	Scott Engel - Scott 4	4.50 stars
3.50 stars	The Stooges - Fun House	4.00 stars
4.00 stars	David Bowie - Hunky Dory	4.00 stars
3.50 stars	Eno - Another Green World	4.00 stars
4.00 stars	David Bowie - Low	4.50 stars
3.50 stars	Fleetwood Mac - Rumours	3.00 stars
4.00 stars	Talking Heads - Talking Heads: 77	3.50 stars
4.50 stars	Wire - Pink Flag	4.00 stars
4.00 stars	Talking Heads - More Songs About Buildings and Food	4.00 stars
4.00 stars	Devo - Q: Are We Not Men? A: We Are Devo!	4.00 stars
4.00 stars	Public Image Ltd - Public Image	3.50 stars
3.50 stars	Contortions - Buy	4.00 stars
3.50 stars	Joy Division - Unknown Pleasures	4.50 stars
3.50 stars	Talking Heads - Fear of Music	4.00 stars
3.50 stars	Buzzcocks - Singles Going Steady	3.50 stars
4.00 stars	PiL - Metal Box	4.00 stars
4.00 stars	The Cramps - Songs the Lord Taught Us	3.50 stars
4.00 stars	Tuxedomoon - Desire	3.00 stars
3.50 stars	Gang of Four - Solid Gold	4.00 stars
4.50 stars	Mission of Burma - Signals, Calls, and Marches	4.00 stars
4.00 stars	The Gun Club - Fire of Love	4.00 stars
4.00 stars	Glenn Branca - The Ascension	4.00 stars
3.00 stars	Orchestral Manœuvres in the Dark - Architecture & Morality	4.00 stars
3.50 stars	Soft Cell - Non-Stop Erotic Cabaret	4.00 stars
4.00 stars	The Gun Club - Miami	4.00 stars
4.50 stars	Mission of Burma - Vs.	4.00 stars
2.50 stars	U2 - War	3.50 stars
3.50 stars	R.E.M. - Murmur	4.00 stars
3.00 stars	New Order - Power, Corruption & Lies	4.00 stars
3.50 stars	The Chameleons - Script of the Bridge	4.00 stars
4.00 stars	The Smiths - The Smiths	4.00 stars
4.50 stars	Meat Puppets - Meat Puppets II	4.00 stars
4.00 stars	Cocteau Twins - Treasure	4.50 stars
3.50 stars	Tears for Fears - Songs From the Big Chair	3.00 stars
3.50 stars	The Smiths - Meat Is Murder	3.50 stars
3.50 stars	Sonic-Youth - Bad Moon Rising	3.50 stars
3.50 stars	Killing Joke - Night Time	4.50 stars
4.00 stars	Big Black - Atomizer	4.00 stars
3.00 stars	Talk Talk - The Colour of Spring	4.00 stars
3.50 stars	XTC - Skylarking	4.00 stars
3.50 stars	Death in June - Brown Book	3.50 stars
3.50 stars	Big Black - Songs About Fucking	3.50 stars
3.50 stars	Red Temple Spirits - Dancing to Restore an Eclipsed Moon	4.00 stars
4.00 stars	Galaxie 500 - Today	3.50 stars
3.50 stars	Pixies - Surfer Rosa	4.00 stars
3.50 stars	Cocteau Twins - Blue Bell Knoll	4.50 stars
4.00 stars	Sonic Youth - Daydream Nation	4.50 stars
3.50 stars	My Bloody Valentine - Isn't Anything	4.00 stars
4.50 stars	Pixies - Doolittle	4.00 stars
3.00 stars	Nick Cave & The Bad Seeds - The Good Son	3.50 stars
3.50 stars	Sonic Youth - Goo	3.50 stars
3.00 stars	Slowdive - Just for a Day	3.50 stars
3.50 stars	Red House Painters - Down Colorful Hill	4.00 stars
3.50 stars	Slowdive - Souvlaki	4.50 stars
4.00 stars	Unwound - Fake Train	4.00 stars
3.00 stars	Tindersticks - Tindersticks	3.00 stars
4.00 stars	Low - I Could Live in Hope	4.00 stars
3.50 stars	Unwound - New Plastic Ideas	3.50 stars
3.50 stars	Nick Cave and The Bad Seeds - Let Love In	4.00 stars
3.00 stars	Burzum - Filosofem	3.00 stars
3.50 stars	Unwound - Repetition	3.50 stars
3.50 stars	Swans - Soundtracks for the Blind	4.50 stars
3.50 stars	Built to Spill - Perfect From Now On	4.00 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	4.00 stars
3.50 stars	Modest Mouse - The Lonesome Crowded West	4.00 stars
3.00 stars	Swans - Swans Are Dead	4.00 stars
3.50 stars	Yo La Tengo - And Then Nothing Turned Itself Inside-Out	4.00 stars
4.00 stars	Modest Mouse - The Moon & Antarctica	4.50 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	4.50 stars
4.50 stars	Joy Division - Les Bains Douches 18 December 1979	4.50 stars
4.00 stars	Unwound - Leaves Turn Inside You	4.00 stars
4.00 stars	Converge - Jane Doe	4.50 stars
3.50 stars	Liars - They Threw Us All in a Trench and Stuck a Monument on Top	3.50 stars
4.50 stars	Xiu Xiu - Knife Play	5.00 stars
4.50 stars	Wilco - Yankee Hotel Foxtrot	4.00 stars
3.00 stars	Sonic Youth - Murray Street	3.50 stars
3.00 stars	Carissa's Wierd - Songs About Leaving	4.00 stars
4.00 stars	Interpol - Turn On the Bright Lights	4.50 stars
3.50 stars	Xiu Xiu - Chapel of the Chimes	4.50 stars
4.00 stars	Broken Social Scene - You Forgot It in People	4.00 stars
3.50 stars	The Microphones - Mount Eerie	4.00 stars
4.50 stars	Xiu Xiu - A Promise	5.00 stars
3.50 stars	Lightning Bolt - Wonderful Rainbow	3.50 stars
3.50 stars	Yeah Yeah Yeahs - Fever to Tell	3.50 stars
3.00 stars	Sweet Trip - Velocity : Design : Comfort	3.50 stars
4.00 stars	Madvillain - Madvillainy	4.00 stars
3.50 stars	Animal Collective - Sung Tongs	4.00 stars
4.00 stars	Reigning Sound - Too Much Guitar	3.50 stars
3.50 stars	Junior Boys - Last Exit	3.00 stars
3.00 stars	Akron/Family - Akron/Family	3.50 stars
4.00 stars	Sufjan Stevens - Illinois	4.00 stars
4.00 stars	Animal Collective - Feels	5.00 stars
4.50 stars	Coil - The Ape of Naples	4.00 stars
3.00 stars	Grizzly Bear - Yellow House	4.00 stars
3.50 stars	Xiu Xiu - The Air Force	4.00 stars
3.50 stars	Stars of the Lid - And Their Refinement of the Decline	3.50 stars
3.50 stars	The National - Boxer	4.00 stars
4.00 stars	Have a Nice Life - Deathconsciousness	5.00 stars
4.50 stars	Deerhunter - Microcastle / Weird Era Continued	3.50 stars
4.00 stars	Animal Collective - Merriweather Post Pavilion	5.00 stars
2.50 stars	The Antlers - Hospice	3.50 stars
3.50 stars	HEALTH - Get Color	3.50 stars
3.50 stars	A Place to Bury Strangers - Exploding Head	3.50 stars
3.00 stars	Converge - Axe to Fall	3.50 stars
3.00 stars	Vampire Weekend - Contra	3.00 stars
3.50 stars	Titus Andronicus - The Monitor	4.50 stars
3.00 stars	OPN - Returnal	3.50 stars
3.00 stars	Nails - Unsilent Death	3.50 stars
4.50 stars	Deerhunter - Halcyon Digest	4.00 stars
5.00 stars	Women - Public Strain	4.50 stars
3.50 stars	Games - That We Can Play	3.50 stars
3.50 stars	Twin Shadow - Forget	4.00 stars
4.00 stars	The Soft Moon - The Soft Moon	3.00 stars
4.00 stars	Death Grips - Exmilitary	3.50 stars
3.00 stars	Giles Corey - Giles Corey	4.00 stars
4.00 stars	The Men - Leave Home	3.50 stars
3.00 stars	Shabazz Palaces - Black Up	3.50 stars
3.50 stars	Real Estate - Days	4.00 stars
3.50 stars	James Ferraro - Far Side Virtual	3.00 stars
3.50 stars	Car Seat Headrest - Twin Fantasy	3.50 stars
3.50 stars	Lower - Walk on Heads	4.00 stars
4.00 stars	Merchandise - Children of Desire	3.50 stars
3.50 stars	Death Grips - The Money Store	4.00 stars
4.00 stars	Beach House - Bloom	3.00 stars
3.00 stars	Wild Nothing - Nocturne	3.50 stars
3.00 stars	Cult of Youth - Love Will Prevail	4.00 stars
4.00 stars	Grizzly Bear - Shields	4.00 stars
4.00 stars	Death Grips - NO LOVE DEEP WEB	4.00 stars
4.00 stars	Tame Impala - Lonerism	3.00 stars
3.50 stars	METZ - METZ	3.00 stars
3.50 stars	Converge - All We Love We Leave Behind	4.00 stars
4.00 stars	Mac DeMarco - 2	3.00 stars
4.00 stars	Iceage - You're Nothing	4.00 stars
3.50 stars	Merchandise - Totale Nite	3.50 stars
3.00 stars	James Blake - Overgrown	3.50 stars
3.00 stars	Pharmakon - Abandon	3.50 stars
3.50 stars	Dirty Beaches - Drifters / Love Is the Devil	4.00 stars
3.50 stars	Deafheaven - Sunbather	4.00 stars
3.00 stars	Kanye West - Yeezus	4.00 stars
3.50 stars	Chelsea Wolfe - Pain Is Beauty	4.00 stars
4.00 stars	Huerco S. - Colonial Patterns	3.50 stars
4.00 stars	Freddie Gibbs & Madlib - Piñata	3.50 stars
3.00 stars	The Body - I Shall Die Here	3.50 stars
3.50 stars	HTRK - Psychic 9-5 Club	3.50 stars
3.50 stars	Cloud Nothings - Here and Nowhere Else	4.00 stars
4.00 stars	Mac DeMarco - Salad Days	3.50 stars
4.00 stars	Sleaford Mods - Divide and Exit	3.50 stars
