rental	Album	Pelengator
3.50 stars	Amen Dunes - Love	4.00 stars
4.00 stars	Animal Collective - Fall Be Kind	5.00 stars
4.00 stars	The Beach Boys - Pet Sounds	4.00 stars
4.00 stars	black midi - Schlagenheim	5.00 stars
3.00 stars	James Blake - Assume Form	4.00 stars
4.00 stars	Art Blakey and The Jazz Messengers - Art Blakey and The Jazz Messengers [Moanin']	4.00 stars
4.00 stars	Burial - Street Halo	4.00 stars
3.50 stars	Kate Bush - Hounds of Love	4.00 stars
3.00 stars	Clarence Clarity - Think: Peace	2.50 stars
4.00 stars	Cloud Nothings - Attack on Memory	5.00 stars
4.00 stars	Cloud Nothings - Life Without Sound	3.50 stars
3.50 stars	Cocteau Twins - Head Over Heels	4.00 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	4.00 stars
4.50 stars	Coil - Horse Rotorvator	3.50 stars
5.00 stars	Ornette Coleman - The Shape of Jazz to Come	4.00 stars
4.00 stars	Comus - First Utterance	5.00 stars
3.50 stars	Cul de Sac - ECIM	4.00 stars
3.50 stars	Daughters - Daughters	4.00 stars
4.00 stars	Miles Davis - Get Up With It	3.00 stars
4.00 stars	Richard Dawson - 2020	4.50 stars
3.50 stars	Deerhunter - Fading Frontier	3.50 stars
4.00 stars	Lana Del Rey - Norman Fucking Rockwell!	4.00 stars
3.50 stars	Dinosaur Jr. - Beyond	4.50 stars
3.50 stars	The Drones - Wait Long by the River and the Bodies of Your Enemies Will Float By	4.50 stars
3.50 stars	The Drones - Feelin Kinda Free	4.50 stars
2.50 stars	Matt Elliott - Drinking Songs	2.50 stars
3.00 stars	Fire! - (Without Noticing)	4.00 stars
4.00 stars	Fleet Foxes - Crack-Up	4.00 stars
4.00 stars	Fontaines D.C. - Dogrel	4.50 stars
3.50 stars	Ben Frost - By the Throat	4.00 stars
3.50 stars	Fugazi - Repeater	4.00 stars
3.00 stars	Godspeed You Black Emperor! - Slow Riot for New Zerø Kanada E.P.	4.00 stars
3.00 stars	Grimes - Visions	2.00 stars
3.00 stars	Jon Hassell - Fourth World Volume Two: Dream Theory in Malaya	3.00 stars
3.00 stars	Have a Nice Life - The Unnatural World	3.00 stars
4.00 stars	Tim Hecker - Harmony in Ultraviolet	4.00 stars
