rental	Album	Shiftie
3.50 stars	Adolescents - Adolescents	4.00 stars
4.00 stars	Animal Collective - Fall Be Kind	3.50 stars
3.50 stars	Ausmuteants - Order of Operation	4.50 stars
3.50 stars	Bauhaus - In the Flat Field	4.50 stars
4.00 stars	The Beach Boys - Pet Sounds	4.50 stars
4.00 stars	Beat Happening - You Turn Me On	4.00 stars
4.00 stars	Belle & Sebastian - Dear Catastrophe Waitress	3.50 stars
4.00 stars	Bib - Pop	4.00 stars
4.00 stars	Black Eyes - Black Eyes	4.50 stars
3.50 stars	Black Eyes - Cough	3.50 stars
3.50 stars	Blank Dogs - Diana (The Herald)	3.50 stars
4.00 stars	Blotter - Demo Cassette	3.50 stars
4.00 stars	Blotter - Under Armour '77	4.50 stars
3.50 stars	Bongwater - Double Bummer	3.50 stars
4.00 stars	Butthole Surfers - Rembrandt Pussyhorse	3.50 stars
4.00 stars	Butthole Surfers - Locust Abortion Technician	4.50 stars
4.00 stars	Can - Soundtracks	4.00 stars
3.50 stars	Cemetery - Demo	3.50 stars
3.50 stars	Chain and the Gang - Best of Crime Rock	3.50 stars
3.50 stars	Cheveu - Cheveu	4.50 stars
3.00 stars	The Church - Starfish	4.00 stars
4.00 stars	Clockcleaner - Babylon Rules	3.00 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.00 stars
4.00 stars	Comus - First Utterance	3.50 stars
4.00 stars	Crazy Spirit - Crazy Spirit	4.00 stars
3.50 stars	Cuntz - Aloha	3.50 stars
4.50 stars	Cuntz - Force the Zone	3.50 stars
3.50 stars	The Damned - Damned Damned Damned	4.50 stars
3.50 stars	Daughters - Daughters	4.00 stars
3.50 stars	Death Grips - Government Plates	3.50 stars
3.50 stars	Death Grips - Niggas on the Moon: The Powers That B Disc 1	3.00 stars
3.50 stars	Death Grips - Jenny Death: The Powers That B Disc 2	4.00 stars
4.00 stars	Descendents - Milo Goes to College	4.00 stars
4.00 stars	The Dicks - The Dicks Hate the Police / Lifetime Problems / All Night Fever	4.50 stars
3.50 stars	DNA - DNA on DNA	4.00 stars
3.50 stars	The Doors - The Doors	4.00 stars
3.50 stars	Nick Drake - Five Leaves Left	4.00 stars
3.50 stars	Dum Dum Girls - I Will Be	3.00 stars
4.00 stars	Dum Dum Girls - Only in Dreams	4.00 stars
3.50 stars	Econochrist - Trained to Serve	3.50 stars
2.50 stars	Matt Elliott - Drinking Songs	3.50 stars
3.50 stars	The Fall - Live at the Witch Trials	4.50 stars
4.00 stars	The Fall - Slates	4.50 stars
4.00 stars	The Fall - Perverted by Language	5.00 stars
3.50 stars	feedtime - Feedtime	3.50 stars
3.50 stars	Flipper - Album: Generic Flipper	3.50 stars
3.50 stars	Fugazi - Repeater	4.00 stars
4.00 stars	Gang of Four - Entertainment!	3.50 stars
4.00 stars	Guerilla Toss - Flood Dosed	4.00 stars
4.00 stars	Guided by Voices - Alien Lanes	3.50 stars
4.50 stars	Hella - Hold Your Horse Is	3.50 stars
3.00 stars	Henry Cow - In Praise of Learning	2.50 stars
3.00 stars	Hoodoo Gurus - Stoneage Romeos	4.00 stars
3.50 stars	Hüsker Dü - Everything Falls Apart	3.50 stars
4.00 stars	Hüsker Dü - New Day Rising	4.00 stars
4.50 stars	Institute - Subordination	4.00 stars
4.50 stars	Institute - Readjusting the Locks	4.50 stars
4.00 stars	Ivy - A Cat's Cause, No Dogs Problem	4.00 stars
3.00 stars	Leo Kottke - 6 & 12 String Guitar	4.00 stars
4.00 stars	Kendrick Lamar - DAMN.	3.00 stars
3.00 stars	LCD Soundsystem - This Is Happening	3.50 stars
3.50 stars	Leather Jacuzzi - Monsters, Narcs and Idiots	4.00 stars
3.50 stars	Little Nemo - Sounds in the Attic	3.50 stars
3.50 stars	The Lounge Lizards - The Lounge Lizards	3.00 stars
4.00 stars	Love - Forever Changes	3.00 stars
3.50 stars	Low - Things We Lost in the Fire	4.00 stars
4.50 stars	Low Life - Dogging	4.00 stars
3.00 stars	Lumpy and The Dumpers - Those Pickled Fuckers	4.00 stars
4.00 stars	Male Gaze - Gale Maze	3.00 stars
4.00 stars	Manateees - Sit N Spin	3.50 stars
3.50 stars	mclusky - The Difference Between Me and You Is That I'm Not on Fire	4.00 stars
3.50 stars	The Microphones - The Glow Pt. 2	4.00 stars
3.50 stars	Minutemen - Buzz or Howl Under the Influence of Heat	4.00 stars
4.00 stars	Morphine - Cure for Pain	4.00 stars
3.50 stars	The Sonics - Here Are The Sonics!!!	4.00 stars
3.50 stars	Bob Dylan - Bringing It All Back Home	4.00 stars
3.50 stars	Bob Dylan - Highway 61 Revisited	4.00 stars
3.50 stars	Nina Simone - Pastel Blues	3.50 stars
3.50 stars	Bob Dylan - Blonde on Blonde	4.00 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	4.50 stars
3.00 stars	The Jimi Hendrix Experience - Are You Experienced	4.00 stars
3.50 stars	The Kinks - Something Else by The Kinks	4.00 stars
4.00 stars	The Zombies - Odessey and Oracle	3.00 stars
3.50 stars	Os Mutantes - Os Mutantes	4.00 stars
3.50 stars	The Millennium - Begin	3.50 stars
3.50 stars	Big Brother & The Holding Company - Cheap Thrills	4.00 stars
4.00 stars	The Kinks - The Kinks Are the Village Green Preservation Society	4.00 stars
3.50 stars	The Pretty Things - S.F. Sorrow	4.50 stars
4.00 stars	The Velvet Underground - The Velvet Underground	4.00 stars
3.50 stars	Pharoah Sanders - Karma	2.50 stars
4.00 stars	Captain Beefheart & His Magic Band - Trout Mask Replica	4.00 stars
3.50 stars	Miles Davis - In a Silent Way	4.00 stars
4.00 stars	The Can - Monster Movie	4.50 stars
3.00 stars	The Stooges - The Stooges	4.00 stars
4.50 stars	Scott Engel - Scott 4	4.50 stars
3.00 stars	Frank Zappa - Hot Rats	4.00 stars
3.50 stars	The Kinks - Arthur or the Decline and Fall of the British Empire	3.50 stars
3.50 stars	Lee Hazlewood - Cowboy in Sweden	4.00 stars
4.00 stars	Exuma - Exuma	4.00 stars
3.50 stars	Syd Barrett - The Madcap Laughs	4.00 stars
3.50 stars	The Stooges - Fun House	4.00 stars
3.00 stars	Amon Düül II - Yeti	3.00 stars
3.50 stars	Faust - Faust	4.00 stars
