rental	Album	Shumway
3.50 stars	Yapoos - ヤプーズ計画 (Yapoos Keikaku)	4.00 stars
3.00 stars	90 Day Men - To Everybody	4.00 stars
3.50 stars	Allah-Las - Allah Las	4.00 stars
3.00 stars	Amen Dunes - Love	3.50 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	4.50 stars
3.00 stars	A.R. Kane - "i"	3.50 stars
3.00 stars	The Band - The Band	4.00 stars
3.00 stars	Bare Wires - Seeking Love	3.50 stars
3.50 stars	Bark Psychosis - Hex	4.00 stars
3.00 stars	Bassholes - When My Blue Moon Turns Red Again	3.50 stars
4.00 stars	The Beach Boys - Pet Sounds	5.00 stars
4.00 stars	Beat Happening - Jamboree	4.00 stars
4.00 stars	Beat Happening - You Turn Me On	4.00 stars
3.50 stars	The Beatles - Abbey Road	4.50 stars
4.00 stars	Belle & Sebastian - Dear Catastrophe Waitress	4.00 stars
3.50 stars	The Beths - Future Me Hates Me	4.00 stars
4.00 stars	Bibio - Ambivalence Avenue	3.50 stars
3.50 stars	Boards of Canada - Geogaddi	4.50 stars
3.50 stars	Boards of Canada - The Campfire Headphase	4.00 stars
3.00 stars	Boredoms - Super æ	4.00 stars
3.50 stars	David Bowie - Station to Station	4.50 stars
3.50 stars	David Bowie - "Heroes"	4.50 stars
3.00 stars	Tim Buckley - Goodbye and Hello	4.00 stars
4.00 stars	Tim Buckley - Starsailor	4.00 stars
3.50 stars	Butthole Surfers - Locust Abortion Technician	4.00 stars
3.00 stars	Cabbage - Nihilistic Glamour Shots	3.50 stars
4.00 stars	Can - Soundtracks	4.00 stars
3.00 stars	The Cars - The Cars	4.00 stars
3.50 stars	A Certain Ratio - To Each...	4.50 stars
4.00 stars	Chastity Belt - I Used to Spend So Much Time Alone	3.50 stars
3.50 stars	Chastity Belt - Chastity Belt	3.50 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.00 stars
4.00 stars	Cloud Nothings - Life Without Sound	3.50 stars
3.50 stars	Cocteau Twins - Head Over Heels	4.00 stars
3.50 stars	Cocteau Twins - Heaven or Las Vegas	4.00 stars
3.50 stars	Coil - Musick to Play in the Dark	4.00 stars
4.00 stars	Lloyd Cole and The Commotions - Rattlesnakes	4.50 stars
3.50 stars	Julian Cope - World Shut Your Mouth	4.00 stars
3.50 stars	Crystal Stilts - In Love With Oblivion	3.50 stars
4.00 stars	Cul de Sac - ECIM	3.50 stars
3.00 stars	The Damned - Damned Damned Damned	4.00 stars
3.50 stars	Dead Kennedys - Fresh Fruit for Rotting Vegetables	4.00 stars
3.50 stars	The Dead Texan - The Dead Texan	3.50 stars
3.50 stars	Deerhoof - Breakup Song	4.00 stars
4.00 stars	Deerhunter - Fluorescent Grey	4.00 stars
4.00 stars	Deerhunter - Cryptograms	4.50 stars
3.50 stars	Deerhunter - Fading Frontier	4.00 stars
4.00 stars	Destruction Unit - Deep Trip	3.00 stars
3.50 stars	Dinosaur Jr. - Beyond	4.00 stars
3.50 stars	Dirty Three - Ocean Songs	4.00 stars
3.50 stars	Disappears - Pre Language	4.00 stars
3.00 stars	Disco Inferno - Technicolour	4.00 stars
3.50 stars	DNA - DNA on DNA	3.50 stars
3.50 stars	The Dodos - Visiter	4.00 stars
3.50 stars	Nick Drake - Five Leaves Left	4.50 stars
4.00 stars	Ducktails - The Flower Lane	3.50 stars
3.50 stars	Ducktails - Jersey Devil	3.50 stars
