rental	Album	ThatFergusite
4.00 stars	The Beatles - Abbey Road	3.50 stars
4.00 stars	black midi - Schlagenheim	3.50 stars
3.50 stars	Boards of Canada - Geogaddi	4.50 stars
3.50 stars	Boards of Canada - The Campfire Headphase	4.00 stars
4.00 stars	The Books - The Lemon of Pink	4.00 stars
3.50 stars	Kate Bush - Hounds of Love	4.00 stars
3.50 stars	Crystal Stilts - In Love With Oblivion	3.50 stars
3.50 stars	Deerhoof - Breakup Song	4.00 stars
4.00 stars	Descendents - Milo Goes to College	4.00 stars
3.50 stars	Destruction Unit - Deep Trip	3.00 stars
3.50 stars	D.L.I.M.C. - October Cassingle	4.00 stars
4.00 stars	D.L.I.M.C. - November Cassingle	4.50 stars
4.00 stars	The Fall - Slates	4.50 stars
4.00 stars	The Fall - Perverted by Language	5.00 stars
4.00 stars	The Gooch Palms - Introverted Extroverts	3.50 stars
3.50 stars	Grouper - Dragging a Dead Deer Up a Hill	3.50 stars
4.00 stars	Guided by Voices - Alien Lanes	5.00 stars
3.00 stars	The Hecks - The Hecks	4.00 stars
3.50 stars	Hot Snakes - Jericho Sirens	3.50 stars
3.50 stars	Steve Lacy - Steve Lacy's Demo	3.00 stars
4.00 stars	Graham Lambkin - Salmon Run	3.50 stars
3.00 stars	LCD Soundsystem - This Is Happening	4.00 stars
3.50 stars	Liquids - Hot Liqs	3.00 stars
3.50 stars	The Lounge Lizards - The Lounge Lizards	3.50 stars
3.00 stars	MGMT - MGMT	3.00 stars
4.00 stars	MGMT - Little Dark Age	4.00 stars
3.50 stars	The Microphones - The Glow Pt. 2	3.50 stars
3.50 stars	Minutemen - Buzz or Howl Under the Influence of Heat	3.50 stars
4.00 stars	Modest Mouse - This Is a Long Drive for Someone With Nothing to Think About	3.50 stars
4.00 stars	Mingus - The Black Saint and the Sinner Lady	4.50 stars
3.00 stars	Captain Beefheart and His Magic Band - Safe as Milk	3.50 stars
3.50 stars	Van Morrison - Astral Weeks	4.50 stars
4.00 stars	Captain Beefheart & His Magic Band - Trout Mask Replica	4.00 stars
3.50 stars	Captain Beefheart & The Magic Band - Lick My Decals Off, Baby	3.50 stars
3.50 stars	T. Rex - Electric Warrior	3.50 stars
4.00 stars	Can - Tago Mago	4.50 stars
3.50 stars	Popol Vuh - Hosianna Mantra	4.50 stars
3.50 stars	Chrome - Alien Soundtracks	4.00 stars
3.50 stars	Fleetwood Mac - Rumours	4.00 stars
4.50 stars	Wire - Pink Flag	5.00 stars
4.00 stars	Chrome - Half Machine Lip Moves	4.50 stars
3.50 stars	Stiff Little Fingers - Inflammable Material	4.00 stars
3.50 stars	Contortions - Buy	3.50 stars
4.00 stars	PiL - Metal Box	4.50 stars
3.50 stars	Germs - (GI)	3.00 stars
3.50 stars	Fehlfarben - Monarchie und Alltag	4.00 stars
3.50 stars	Young Marble Giants - Colossal Youth	4.00 stars
