rental	Album	abetco
3.50 stars	Yapoos - ヤプーズ計画 (Yapoos Keikaku)	3.00 stars
3.00 stars	American Football - American Football	3.50 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	3.50 stars
3.00 stars	Armand Hammer - Paraffin	3.00 stars
3.50 stars	Ausmuteants - Order of Operation	2.50 stars
3.50 stars	Bark Psychosis - Hex	3.50 stars
4.00 stars	William Basinski - The Disintegration Loops	3.50 stars
3.00 stars	Baths - Cerulean	3.00 stars
3.50 stars	Bauhaus - In the Flat Field	3.50 stars
4.00 stars	The Beach Boys - Pet Sounds	3.50 stars
4.50 stars	Black Baron - Divine Chains	3.50 stars
4.50 stars	Black Baron - Abject Skin	4.00 stars
4.00 stars	black midi - Schlagenheim	3.50 stars
3.50 stars	Дин Блант - Каменный остров (Stone Island)	3.50 stars
3.50 stars	Boards of Canada - Geogaddi	3.00 stars
3.50 stars	Boris - flood	3.50 stars
3.50 stars	David Bowie - Station to Station	3.50 stars
3.50 stars	David Bowie - "Heroes"	4.00 stars
4.00 stars	David Thomas Broughton - The Complete Guide to Insufficiency	4.00 stars
4.00 stars	Tim Buckley - Starsailor	3.00 stars
3.50 stars	Chuck Person - Chuck Person's Eccojams Vol. 1	3.50 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	4.00 stars
4.00 stars	Coil - Musick to Play in the Dark	3.50 stars
5.00 stars	Ornette Coleman - The Shape of Jazz to Come	4.00 stars
4.00 stars	Comus - First Utterance	3.00 stars
3.50 stars	Daughters - Daughters	3.50 stars
3.50 stars	Death Grips - Government Plates	3.00 stars
3.50 stars	Deerhunter - Rainwater Cassette Exchange	3.00 stars
3.50 stars	Deerhunter - Fading Frontier	3.00 stars
4.00 stars	Lana Del Rey - Norman Fucking Rockwell!	3.50 stars
3.50 stars	Aaron Dilloway - Modern Jester	3.50 stars
4.00 stars	DJ Screw - Bigtyme Vol II: All Screwed Up	4.00 stars
4.00 stars	The Durutti Column - LC	4.00 stars
3.00 stars	Delroy Edwards - 4 Club Use Only	3.50 stars
3.50 stars	Delroy Edwards - Rio Grande	3.00 stars
3.50 stars	Eldritch Anisette - Eldritch Anisette	2.50 stars
3.00 stars	??? - Niezapominajka (Very Raw Demo)	3.00 stars
3.00 stars	Fad Gadget - Fireside Favourites	2.00 stars
3.50 stars	James Ferraro - Four Pieces for Mirai	3.50 stars
3.50 stars	The Field Mice - Snowball	2.50 stars
2.50 stars	Foals - Total Life Forever	2.00 stars
4.00 stars	Alex G - Beach Music	4.00 stars
3.50 stars	Girls - Album	3.00 stars
3.00 stars	Grimes - Visions	3.00 stars
3.50 stars	Grouper - Dragging a Dead Deer Up a Hill	4.00 stars
4.00 stars	Guided by Voices - Alien Lanes	3.00 stars
3.00 stars	Harlem - Hippies	2.50 stars
3.00 stars	Have a Nice Life - The Unnatural World	3.00 stars
4.00 stars	Tim Hecker - Harmony in Ultraviolet	3.00 stars
3.50 stars	Tim Hecker - Virgins	3.50 stars
3.50 stars	Hercegovina - Esprit de corps	4.00 stars
3.00 stars	HOMESHAKE - In the Shower	3.00 stars
