rental	Album	antifriend
3.00 stars	American Football - American Football	3.00 stars
4.00 stars	William Basinski - The Disintegration Loops	3.00 stars
3.50 stars	Bauhaus - In the Flat Field	2.50 stars
4.00 stars	Beat Happening - You Turn Me On	3.50 stars
3.50 stars	Black Eyes - Cough	2.50 stars
3.50 stars	David Bowie - "Heroes"	3.00 stars
4.00 stars	Tim Buckley - Starsailor	3.50 stars
3.50 stars	Kate Bush - Hounds of Love	4.00 stars
3.00 stars	Cabaret Voltaire - Red Mecca	3.50 stars
3.00 stars	Camberwell Now - All's Well	3.50 stars
3.00 stars	The Cars - The Cars	2.50 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	3.00 stars
4.00 stars	Comus - First Utterance	3.00 stars
3.00 stars	The Consumers - All My Friends Are Dead	2.50 stars
4.00 stars	Country Teasers - Satan Is Real Again or Feeling Good About Bad Thoughts	3.00 stars
4.00 stars	Miles Davis - Get Up With It	4.00 stars
3.50 stars	Death Grips - Niggas on the Moon: The Powers That B Disc 1	4.00 stars
3.50 stars	The Doors - The Doors	2.50 stars
3.50 stars	Duds - Of a Nature or Degree	3.00 stars
3.00 stars	Ekkehard Ehlers - Plays	2.50 stars
3.50 stars	Essential Logic - Beat Rhythm News	2.50 stars
3.00 stars	Fad Gadget - Fireside Favourites	2.00 stars
3.50 stars	John Fahey - Fare Forward Voyagers (Soldier's Choice)	3.50 stars
3.50 stars	The Fall - Live at the Witch Trials	3.00 stars
3.50 stars	James Ferraro - Clear	3.00 stars
3.50 stars	The Field Mice - Snowball	2.50 stars
3.50 stars	Flipper - Album: Generic Flipper	3.00 stars
3.50 stars	Fugazi - Repeater	3.00 stars
4.00 stars	Gang of Four - Entertainment!	3.50 stars
3.00 stars	Girl Band - Holding Hands With Jamie	2.50 stars
4.00 stars	Philip Glass - Koyaanisqatsi	3.50 stars
4.00 stars	Guided by Voices - Alien Lanes	3.00 stars
3.50 stars	Anna von Hausswolff - Dead Magic	3.00 stars
3.00 stars	Have a Nice Life - The Unnatural World	2.50 stars
3.50 stars	Tim Hecker - Virgins	3.00 stars
3.00 stars	Henry Cow - In Praise of Learning	2.50 stars
3.50 stars	The High Confessions - Turning Lead Into Gold With the High Confessions	2.50 stars
3.50 stars	Hüsker Dü - Everything Falls Apart	3.00 stars
4.00 stars	Hüsker Dü - New Day Rising	3.00 stars
3.50 stars	Index - The Index [aka "The Black Album"]	3.00 stars
3.00 stars	Jesu - Jesu	3.50 stars
3.50 stars	Antônio Carlos Jobim - Wave	2.50 stars
3.50 stars	Joy Division - Closer	3.00 stars
3.50 stars	Liquids - Hot Liqs	2.50 stars
3.50 stars	The Lounge Lizards - The Lounge Lizards	4.00 stars
3.50 stars	Lowlife - Permanent Sleep	3.00 stars
2.50 stars	Magma - Mekanïk Destruktïw Kommandöh	3.00 stars
4.00 stars	John Maus - A Collection of Rarities and Previously Unreleased Material	3.50 stars
3.50 stars	The Mekons - The Quality of Mercy Is Not Strnen	2.50 stars
3.50 stars	The Microphones - The Glow Pt. 2	3.00 stars
3.00 stars	Joni Mitchell - Blue	3.00 stars
3.00 stars	Buddy Holly - Buddy Holly	3.00 stars
3.50 stars	Miles Davis - Kind of Blue	2.50 stars
4.00 stars	The Ornette Coleman Double Quartet - Free Jazz	3.00 stars
4.00 stars	Sandy Bull - Fantasias for Guitar and Banjo	3.00 stars
4.00 stars	Mingus - The Black Saint and the Sinner Lady	3.50 stars
3.50 stars	Albert Ayler Trio - Spiritual Unity	3.50 stars
4.00 stars	John Coltrane - A Love Supreme	3.50 stars
3.50 stars	The Sonics - Here Are The Sonics!!!	2.50 stars
3.50 stars	Nina Simone - Pastel Blues	4.00 stars
3.50 stars	Junior Wells' Chicago Blues Band - Hoodoo Man Blues	3.00 stars
4.00 stars	The Shangri-Las - Shangri-Las-65!	3.00 stars
3.00 stars	Love - Da Capo	3.00 stars
3.50 stars	Albert King - Born Under a Bad Sign	2.50 stars
3.00 stars	Captain Beefheart and His Magic Band - Safe as Milk	3.00 stars
3.00 stars	The Peter Brötzmann Octet - Machine Gun	4.00 stars
3.50 stars	Os Mutantes - Os Mutantes	3.50 stars
3.50 stars	Pharoah Sanders - Karma	3.50 stars
3.50 stars	Miles Davis - In a Silent Way	3.00 stars
4.00 stars	The Can - Monster Movie	4.00 stars
3.00 stars	The Stooges - The Stooges	2.50 stars
4.00 stars	Townes Van Zandt - Townes Van Zandt	4.00 stars
4.50 stars	Scott Engel - Scott 4	4.50 stars
3.00 stars	Frank Zappa - Hot Rats	3.50 stars
3.50 stars	Lee Hazlewood - Cowboy in Sweden	3.00 stars
4.00 stars	Exuma - Exuma	3.00 stars
3.50 stars	Miles Davis - Bitches Brew	3.00 stars
3.50 stars	The Stooges - Fun House	3.50 stars
3.00 stars	Amon Düül II - Yeti	3.00 stars
3.50 stars	Captain Beefheart & The Magic Band - Lick My Decals Off, Baby	3.50 stars
4.00 stars	Serge Gainsbourg - Histoire de Melody Nelson	3.00 stars
3.00 stars	Black Sabbath - Master of Reality	3.00 stars
3.50 stars	T. Rex - Electric Warrior	3.50 stars
4.00 stars	Can - Tago Mago	3.50 stars
4.00 stars	David Bowie - Hunky Dory	3.00 stars
3.00 stars	T. Rex - The Slider	3.00 stars
4.50 stars	Can - Ege Bamyasi	3.50 stars
4.00 stars	Iggy and The Stooges - Raw Power	3.50 stars
4.00 stars	Todd Rundgren - A Wizard, A True Star	4.00 stars
3.50 stars	Can - Future Days	3.00 stars
3.50 stars	Eno - Here Come the Warm Jets	4.50 stars
3.50 stars	Eno - Taking Tiger Mountain (By Strategy)	3.00 stars
3.00 stars	NEU! - NEU! '75	3.00 stars
3.50 stars	Eno - Another Green World	3.50 stars
3.00 stars	Patti Smith - Horses	3.00 stars
3.00 stars	Gary Wilson - You Think You Really Know Me	2.50 stars
3.50 stars	Fela Anikulapo Kuti and Afrika 70 - Zombie	3.00 stars
3.50 stars	Chrome - Alien Soundtracks	3.50 stars
4.00 stars	David Bowie - Low	3.00 stars
3.50 stars	Kraftwerk - Trans Europa Express	3.00 stars
3.50 stars	Iggy Pop - The Idiot	2.50 stars
4.00 stars	Suicide - Suicide	4.00 stars
4.50 stars	Wire - Pink Flag	3.50 stars
3.50 stars	Rosa Yemen - Rosa Yemen	3.00 stars
4.00 stars	Robbie Basho - Visions of the Country	4.00 stars
3.50 stars	Brian Eno - Ambient 1: Music for Airports	2.50 stars
3.50 stars	Kraftwerk - Die Mensch-Maschine	2.50 stars
4.00 stars	Talking Heads - More Songs About Buildings and Food	3.00 stars
4.00 stars	Wire - Chairs Missing	3.50 stars
4.00 stars	Devo - Q: Are We Not Men? A: We Are Devo!	4.00 stars
3.50 stars	Pere Ubu - Dub Housing	4.50 stars
4.00 stars	Public Image Ltd - Public Image	3.50 stars
3.50 stars	Lizzy Mercier Descloux - Press Color	3.00 stars
4.00 stars	Chrome - Half Machine Lip Moves	5.00 stars
3.50 stars	Contortions - Buy	4.00 stars
4.00 stars	The Pop Group - Y	4.50 stars
3.50 stars	Joy Division - Unknown Pleasures	3.00 stars
4.00 stars	Chic - Risqué	3.00 stars
3.50 stars	Talking Heads - Fear of Music	3.50 stars
4.50 stars	The Slits - Cut	3.50 stars
4.00 stars	Wire - 154	4.00 stars
3.50 stars	Yellow Magic Orchestra - Solid State Survivor	2.50 stars
4.00 stars	PiL - Metal Box	5.00 stars
3.50 stars	Germs - (GI)	2.50 stars
3.00 stars	Polyrock - Polyrock	4.00 stars
4.00 stars	Suicide - Alan Vega · Martin Rev	4.50 stars
3.50 stars	The Feelies - Crazy Rhythms	3.50 stars
3.50 stars	Tuxedomoon - Half-Mute	4.00 stars
3.50 stars	The Pop Group - For How Much Longer Do We Tolerate Mass Murder?	4.00 stars
4.00 stars	The Soft Boys - Underwater Moonlight	3.00 stars
3.50 stars	Dead Kennedys - Fresh Fruit for Rotting Vegetables	3.00 stars
3.50 stars	The Jam - Sound Affects	3.00 stars
4.00 stars	Tuxedomoon - Desire	4.50 stars
3.50 stars	Gang of Four - Solid Gold	2.50 stars
3.50 stars	The Cure - Faith	3.00 stars
3.50 stars	Au Pairs - Playing With a Different Sex	2.50 stars
4.00 stars	The Gun Club - Fire of Love	3.00 stars
4.00 stars	This Heat - Deceit	4.50 stars
4.00 stars	Glenn Branca - The Ascension	4.00 stars
3.00 stars	Orchestral Manœuvres in the Dark - Architecture & Morality	3.00 stars
3.50 stars	Soft Cell - Non-Stop Erotic Cabaret	4.00 stars
3.50 stars	Andie Oppenheimer - New Mexico	3.50 stars
3.50 stars	Solid Space - Space Museum	4.00 stars
