rental	Album	aokiji
3.50 stars	Agent Orange - Living in Darkness	4.00 stars
3.50 stars	Amen Dunes - Love	3.00 stars
3.50 stars	Amyl and The Sniffers - Amyl and The Sniffers	3.50 stars
4.00 stars	Animal Collective - Fall Be Kind	3.50 stars
3.50 stars	Ausmuteants - Amusements	4.00 stars
3.50 stars	Ausmuteants - Order of Operation	4.50 stars
3.50 stars	Bad Sports - Constant Stimulation	4.00 stars
4.00 stars	Banque Allemande - Eins, Zwei	4.50 stars
4.50 stars	Banque Allemande - Willst du Chinese sein musst du die ekligen Sachen essen	4.00 stars
3.50 stars	Bare Wires - Seeking Love	4.00 stars
4.00 stars	The Beach Boys - Pet Sounds	5.00 stars
4.00 stars	Beat Happening - You Turn Me On	3.50 stars
4.00 stars	The Beatles - Abbey Road	4.00 stars
4.00 stars	Belle & Sebastian - Dear Catastrophe Waitress	4.00 stars
3.50 stars	Blank Dogs - On Two Sides	4.00 stars
3.50 stars	David Bowie - "Heroes"	4.50 stars
4.00 stars	Butthole Surfers - Rembrandt Pussyhorse	4.00 stars
4.00 stars	Butthole Surfers - Locust Abortion Technician	4.50 stars
3.50 stars	Carbonas - Carbonas	4.00 stars
3.00 stars	The Cars - The Cars	4.00 stars
4.00 stars	Cheater Slicks - Reality Is a Grape	4.00 stars
3.50 stars	Cheveu - Cheveu	4.50 stars
4.00 stars	Civic - New Vietnam	4.50 stars
3.50 stars	Civic - Those Who No	4.50 stars
4.00 stars	Clockcleaner - Babylon Rules	3.50 stars
3.50 stars	Coffin Pricks - Group Home Haircut	4.00 stars
3.50 stars	Constant Mongrel - Everything Goes Wrong	4.00 stars
3.50 stars	Constant Mongrel - Living in Excellence	3.50 stars
4.00 stars	Country Teasers - Satan Is Real Again or Feeling Good About Bad Thoughts	5.00 stars
3.50 stars	Cuntz - Aloha	4.50 stars
4.50 stars	Cuntz - Force the Zone	4.00 stars
3.50 stars	Deaf Wish - Mercy	4.00 stars
3.50 stars	Deaf Wish - Pain	3.50 stars
3.50 stars	Deaf Wish - Lithium Zion	4.00 stars
3.50 stars	Death Grips - Niggas on the Moon: The Powers That B Disc 1	2.50 stars
3.50 stars	Aaron Dilloway - Modern Jester	2.50 stars
3.50 stars	Dinosaur Jr. - Beyond	4.50 stars
3.50 stars	The Dodos - Visiter	3.50 stars
3.50 stars	Nick Drake - Five Leaves Left	3.50 stars
3.50 stars	The Drones - Wait Long by the River and the Bodies of Your Enemies Will Float By	4.50 stars
3.50 stars	Drunkdriver - Drunkdriver	3.50 stars
4.00 stars	Earth - The Bees Made Honey in the Lion's Skull	3.50 stars
4.00 stars	Eddy Current Suppression Ring - Primary Colours	4.50 stars
4.50 stars	EXEK - Ahead of Two Thoughts	3.50 stars
3.50 stars	EXEK - Some Beautiful Species Left	4.00 stars
3.50 stars	The Fall - Live at the Witch Trials	4.00 stars
4.00 stars	The Fall - Slates	4.50 stars
4.00 stars	The Fall - Perverted by Language	4.50 stars
3.50 stars	Flight - Flight	4.00 stars
5.00 stars	Flight - Lead Riders	4.00 stars
4.00 stars	The Fresh & Onlys - Play It Strange	3.50 stars
4.00 stars	Fried Egg - Square One	4.00 stars
3.00 stars	Fucked Up - The Chemistry of Common Life	3.00 stars
