rental	Album	atypicalamateur
4.00 stars	The Beach Boys - Pet Sounds	4.50 stars
4.00 stars	The Beatles - Abbey Road	4.50 stars
3.50 stars	David Bowie - "Heroes"	4.50 stars
4.00 stars	Can - Soundtracks	4.50 stars
4.00 stars	Crass - Penis Envy	4.00 stars
3.50 stars	Cul de Sac - Crashes to Light, Minutes to Its Fall	4.50 stars
3.50 stars	Dirty Three - Ocean Songs	4.50 stars
3.50 stars	The Fall - Live at the Witch Trials	4.50 stars
3.50 stars	The Fall - The Real New Fall LP: Formerly Country on the Click	4.00 stars
4.00 stars	Gang of Four - Entertainment!	4.50 stars
4.00 stars	Philip Glass - Glassworks	4.50 stars
4.00 stars	Philip Glass - Koyaanisqatsi	4.50 stars
4.00 stars	Guided by Voices - Alien Lanes	4.50 stars
3.50 stars	Anna von Hausswolff - Dead Magic	4.00 stars
4.00 stars	Love - Forever Changes	4.50 stars
4.00 stars	Metallica - Ride the Lightning	4.50 stars
3.50 stars	The Microphones - The Glow Pt. 2	4.00 stars
4.00 stars	Modest Mouse - This Is a Long Drive for Someone With Nothing to Think About	4.00 stars
4.00 stars	Mingus - The Black Saint and the Sinner Lady	4.50 stars
4.00 stars	John Coltrane - A Love Supreme	4.50 stars
4.00 stars	The Shangri-Las - Shangri-Las-65!	4.00 stars
3.50 stars	The Beatles - Sgt. Pepper's Lonely Hearts Club Band	4.50 stars
3.50 stars	The Kinks - Something Else by The Kinks	4.50 stars
4.00 stars	The Kinks - The Kinks Are the Village Green Preservation Society	4.50 stars
3.50 stars	The Pretty Things - S.F. Sorrow	4.50 stars
3.50 stars	Pharoah Sanders - Karma	4.00 stars
4.00 stars	The Can - Monster Movie	4.50 stars
3.50 stars	The Kinks - Arthur or the Decline and Fall of the British Empire	4.50 stars
3.50 stars	Lee Hazlewood - Cowboy in Sweden	4.50 stars
3.50 stars	Syd Barrett - The Madcap Laughs	4.50 stars
3.50 stars	The Stooges - Fun House	4.50 stars
4.50 stars	Michael Hurley - Armchair Boogie	4.00 stars
3.00 stars	Black Sabbath - Master of Reality	4.00 stars
3.50 stars	Pharoah Sanders - Black Unity	4.50 stars
4.00 stars	David Bowie - The Rise and Fall of Ziggy Stardust and the Spiders From Mars	4.50 stars
4.00 stars	Iggy and The Stooges - Raw Power	4.50 stars
3.50 stars	Can - Future Days	4.50 stars
3.50 stars	Neil Young - On the Beach	4.50 stars
3.50 stars	Eno - Taking Tiger Mountain (By Strategy)	4.50 stars
3.50 stars	Eno - Another Green World	4.50 stars
3.50 stars	Thin Lizzy - Jailbreak	4.50 stars
4.00 stars	David Bowie - Low	4.50 stars
4.00 stars	Ramones - Rocket to Russia	4.50 stars
4.50 stars	Wire - Pink Flag	4.00 stars
4.00 stars	Devo - Q: Are We Not Men? A: We Are Devo!	4.50 stars
3.50 stars	Joy Division - Unknown Pleasures	4.50 stars
4.00 stars	Crass - Stations of the Crass	4.00 stars
4.00 stars	Suicide - Alan Vega · Martin Rev	4.50 stars
3.00 stars	Circle Jerks - Group Sex	4.00 stars
4.00 stars	Discharge - Hear Nothing See Nothing Say Nothing	4.00 stars
3.50 stars	Sonic-Youth - Confusion Is Sex	4.50 stars
4.00 stars	The Replacements - Let It Be	4.50 stars
3.50 stars	Sonic-Youth - Bad Moon Rising	4.50 stars
4.00 stars	Metallica - Master of Puppets	4.00 stars
3.50 stars	Sonic Youth - EVOL	4.50 stars
4.00 stars	Sonic Youth - Daydream Nation	4.50 stars
4.00 stars	Kronos Quartet / Pat Metheny - Different Trains; Electric Counterpoint	4.50 stars
3.50 stars	Sonic Youth - Goo	4.50 stars
4.00 stars	Devo - Hardcore Devo, Vol. 1: 74-77	4.00 stars
3.50 stars	Nirvana - Nevermind	4.50 stars
5.00 stars	Pavement - Slanted and Enchanted	4.50 stars
3.50 stars	Slowdive - Souvlaki	4.50 stars
3.00 stars	Eric's Trip - Love Tara	4.00 stars
4.50 stars	Pavement - Crooked Rain, Crooked Rain	4.50 stars
3.50 stars	Weezer - Weezer [Blue Album]	4.50 stars
5.00 stars	Guided by Voices - Bee Thousand	4.50 stars
3.50 stars	Portishead - Dummy	4.00 stars
3.50 stars	Pavement - Wowee Zowee	4.50 stars
3.50 stars	Fugazi - Red Medicine	4.50 stars
3.50 stars	Sonic Youth - Washing Machine	4.50 stars
3.50 stars	Autechre - Tri repetae	4.50 stars
4.00 stars	Tortoise - Millions Now Living Will Never Die	4.50 stars
3.50 stars	Guided by Voices - Under the Bushes Under the Stars	4.50 stars
4.00 stars	Weezer - Pinkerton	4.00 stars
4.00 stars	Aphex Twin - Richard D. James Album	4.50 stars
3.50 stars	Pavement - Brighten the Corners	4.50 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	4.50 stars
3.50 stars	Tortoise - TNT	4.50 stars
3.50 stars	Boards of Canada - Music Has the Right to Children	4.50 stars
4.50 stars	Royal Trux - Accelerator	4.50 stars
4.00 stars	Blur - 13	4.50 stars
3.00 stars	The Black Heart Procession - 2	4.00 stars
3.50 stars	Pavement - Terror Twilight	4.50 stars
3.50 stars	The Dismemberment Plan - Emergency & I	4.00 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	4.50 stars
3.50 stars	The Clientele - Suburban Light	4.50 stars
4.00 stars	Unwound - Leaves Turn Inside You	4.50 stars
3.50 stars	Liars - They Threw Us All in a Trench and Stuck a Monument on Top	4.50 stars
3.50 stars	Hood - Cold House	4.00 stars
3.50 stars	Jim O'Rourke - Insignificance	4.50 stars
3.50 stars	...And You Will Know Us by the Trail of Dead - Source Tags & Codes	4.50 stars
3.00 stars	Sonic Youth - Murray Street	4.00 stars
3.50 stars	Spoon - Kill the Moonlight	4.50 stars
4.00 stars	Interpol - Turn On the Bright Lights	4.50 stars
4.00 stars	Magnolia Electric Co. - The Magnolia Electric Co.	4.50 stars
4.00 stars	Deerhoof - Apple O'	4.50 stars
4.00 stars	Four Tet - Rounds	4.50 stars
3.50 stars	Devendra Banhart - Rejoicing in the Hands	4.50 stars
3.50 stars	Animal Collective - Sung Tongs	4.00 stars
3.50 stars	Black Dice - Creature Comforts	4.50 stars
3.50 stars	Deerhoof - Friend Opportunity	4.50 stars
4.00 stars	Blonde Redhead - 23	4.00 stars
4.00 stars	Thee Oh Sees - Help	4.50 stars
4.00 stars	Ariel Pink's Haunted Graffiti - Before Today	4.50 stars
4.00 stars	Zach Hill - Face Tat	4.50 stars
4.00 stars	Androgynous Mind - Nightstalker	3.50 stars
3.50 stars	Tim Hecker & Daniel Lopatin - Instrumental Tourist	4.50 stars
4.50 stars	Cindy Lee - Tatlashea	4.00 stars
3.00 stars	Kanye West - Yeezus	3.50 stars
3.00 stars	Useless Eaters - Bleeding Moon	4.00 stars
3.50 stars	Jack Name - Weird Moons	4.00 stars
3.50 stars	VEXX - Give and Take	4.00 stars
4.00 stars	Kid Cudi - Speedin' Bullet 2 Heaven	4.50 stars
4.00 stars	David Bowie - ★ [Blackstar]	4.00 stars
3.50 stars	Tim Hecker - Love Streams	4.50 stars
3.50 stars	VEXX - Wild Hunt	4.00 stars
3.50 stars	Iceage - Beyondless	4.00 stars
4.50 stars	Parquet Courts - Wide Awaaaaake!	4.00 stars
3.00 stars	Kids See Ghosts - Kids See Ghosts	4.00 stars
3.50 stars	The Caretaker - Everywhere at the End of Time - Stage 6	4.00 stars
4.00 stars	The Comet Is Coming - Trust in the Lifeforce of the Deep Mystery	4.00 stars
3.50 stars	Tim Hecker - Anoyo	4.00 stars
5.00 stars	Naomi Punk - The Feeling	4.00 stars
4.00 stars	Neutral Milk Hotel - In the Aeroplane Over the Sea	4.50 stars
4.00 stars	OutKast - ATLiens	4.50 stars
3.50 stars	Owen Pallett - Heartland	4.50 stars
3.50 stars	Pavement - Watery, Domestic	4.50 stars
4.00 stars	Pere Ubu - The Modern Dance	4.50 stars
4.00 stars	Pink Floyd - The Piper at the Gates of Dawn	4.50 stars
3.50 stars	Pink Floyd - The Dark Side of the Moon	3.50 stars
4.00 stars	Radiohead - OK Computer	4.50 stars
4.00 stars	Radiohead - Kid A	4.50 stars
4.00 stars	Ramones - Ramones	5.00 stars
4.50 stars	Sex Church - 6 Songs by Sex Church	4.50 stars
3.50 stars	The Sonic Youth - Sister	4.50 stars
3.50 stars	Sonic Youth - Dirty	4.50 stars
4.00 stars	Thinking Fellers Union Local 282 - Strangers From the Universe	4.50 stars
3.50 stars	Throbbing Gristle - 20 Jazz Funk Greats	4.00 stars
4.00 stars	Tyvek - Nothing Fits	3.50 stars
4.00 stars	Wand - Golem	4.50 stars
3.50 stars	White Lung - It's the Evil	4.00 stars
4.00 stars	Wipers - Is This Real?	4.50 stars
4.00 stars	Wipers - Youth of America	4.00 stars
rental and atypicalamateur disagree: (14)
rental	Album	atypicalamateur
3.00 stars	Tyondai Braxton - Central Market	4.50 stars
3.00 stars	The Byrds - Younger Than Yesterday	4.50 stars
3.00 stars	The Stooges - The Stooges	4.50 stars
3.00 stars	NEU! - NEU! '75	4.50 stars
3.00 stars	Prince - Dirty Mind	4.50 stars
3.00 stars	Michael Jackson - Thriller	4.50 stars
3.00 stars	Robyn Hitchcock - I Often Dream of Trains	4.50 stars
3.00 stars	Fugazi - In on the Kill Taker	4.50 stars
3.00 stars	Beck - Odelay	4.50 stars
3.00 stars	Built to Spill - Keep It Like a Secret	4.50 stars
3.00 stars	Spoon - Ga Ga Ga Ga Ga	4.50 stars
3.50 stars	METZ - METZ	1.00 stars
2.00 stars	Pink Floyd - Wish You Were Here	4.50 stars
3.00 stars	Catherine Ribeiro + Alpes - Paix	4.50 stars
