rental	Album	blender715
3.50 stars	Adolescents - Adolescents	4.00 stars
4.00 stars	The Beatles - Abbey Road	4.00 stars
3.00 stars	Better Person - It's Only You	3.50 stars
4.00 stars	black midi - Schlagenheim	4.00 stars
3.00 stars	James Blake - Assume Form	3.50 stars
3.00 stars	The Cars - The Cars	4.00 stars
3.00 stars	Nick Cave & The Bad Seeds - Skeleton Tree	4.00 stars
3.00 stars	Clarence Clarity - Think: Peace	3.50 stars
4.00 stars	Cloud Nothings - Life Without Sound	3.00 stars
3.50 stars	Converge - The Dusk in Us	4.50 stars
3.50 stars	Death Grips - Government Plates	4.00 stars
3.50 stars	Deerhunter - Fading Frontier	3.00 stars
3.50 stars	Eagulls - Ullages	3.00 stars
4.00 stars	Fleet Foxes - Crack-Up	3.00 stars
2.50 stars	Foals - Total Life Forever	3.50 stars
3.00 stars	Girl Band - Holding Hands With Jamie	4.00 stars
3.00 stars	Grimes - Visions	4.00 stars
3.50 stars	Anna von Hausswolff - Dead Magic	3.50 stars
3.00 stars	Heavy Lungs - Straight to CD	3.00 stars
4.00 stars	Hop Along - Bark Your Head Off, Dog	4.00 stars
3.50 stars	Jon Hopkins - Immunity	4.00 stars
3.50 stars	Kylesa - Static Tensions	3.50 stars
4.00 stars	Kendrick Lamar - DAMN.	4.00 stars
3.00 stars	LCD Soundsystem - This Is Happening	3.50 stars
3.50 stars	Lower Dens - The Competition	3.50 stars
4.00 stars	Makthaverskan - Makthaverskan	3.50 stars
4.00 stars	Makthaverskan - Makthaverskan II	4.50 stars
4.00 stars	John Maus - Addendum	3.50 stars
3.50 stars	Meat Wave - The Incessant	3.00 stars
4.00 stars	MGMT - Little Dark Age	3.50 stars
3.50 stars	Janelle Monáe - The ArchAndroid	3.00 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	4.50 stars
4.00 stars	The Zombies - Odessey and Oracle	5.00 stars
4.00 stars	David Bowie - The Rise and Fall of Ziggy Stardust and the Spiders From Mars	5.00 stars
3.50 stars	Fleetwood Mac - Rumours	4.50 stars
4.00 stars	Television - Marquee Moon	5.00 stars
4.00 stars	Devo - Q: Are We Not Men? A: We Are Devo!	3.50 stars
4.00 stars	Black Flag - Nervous Breakdown	4.50 stars
3.50 stars	Germs - (GI)	4.50 stars
3.50 stars	Dead Kennedys - Fresh Fruit for Rotting Vegetables	4.50 stars
3.50 stars	Andie Oppenheimer - New Mexico	4.00 stars
3.50 stars	Dead Kennedys - Plastic Surgery Disasters	4.00 stars
4.00 stars	The Replacements - Let It Be	3.50 stars
3.50 stars	The Smiths - Meat Is Murder	4.50 stars
3.50 stars	The Jesus and Mary Chain - Psychocandy	4.50 stars
3.50 stars	Slowdive - Souvlaki	4.50 stars
4.00 stars	Wu-Tang Clan - Enter the Wu-Tang (36 Chambers)	3.00 stars
3.50 stars	Nas - Illmatic	3.50 stars
5.00 stars	Life Without Buildings - Any Other City	4.00 stars
3.00 stars	pageninetynine - Document #8	4.00 stars
4.00 stars	Converge - Jane Doe	5.00 stars
3.50 stars	Liars - They Threw Us All in a Trench and Stuck a Monument on Top	3.00 stars
4.00 stars	Interpol - Turn On the Bright Lights	3.50 stars
3.00 stars	The Dillinger Escape Plan with Mike Patton - Irony Is a Dead Scene	4.00 stars
3.00 stars	Sleep - Dopesmoker	2.00 stars
4.00 stars	Sufjan Stevens - Illinois	4.00 stars
4.00 stars	John Maus - Love Is Real	4.50 stars
3.50 stars	Japandroids - Post-Nothing	4.00 stars
3.50 stars	The Horrors - Primary Colours	4.50 stars
4.00 stars	The Flaming Lips - Embryonic	3.00 stars
3.00 stars	Vampire Weekend - Contra	3.00 stars
3.00 stars	Four Tet - There Is Love in You	3.50 stars
3.50 stars	Titus Andronicus - The Monitor	2.50 stars
3.50 stars	Flying Lotus - Cosmogramma	4.00 stars
3.50 stars	Ceremony - Rohnert Park	4.50 stars
3.00 stars	Nails - Unsilent Death	3.50 stars
4.50 stars	Deerhunter - Halcyon Digest	4.50 stars
3.50 stars	Kanye West - My Beautiful Dark Twisted Fantasy	4.50 stars
4.00 stars	Iceage - New Brigade	4.00 stars
4.00 stars	Death Grips - Exmilitary	4.50 stars
4.50 stars	John Maus - We Must Become the Pitiless Censors of Ourselves	4.50 stars
4.00 stars	Part Time - What Would You Say?	4.50 stars
4.50 stars	The Men - Open Your Heart	4.00 stars
3.00 stars	Cult of Youth - Love Will Prevail	3.50 stars
4.00 stars	Kendrick Lamar - good kid, m.A.A.d city	4.50 stars
4.00 stars	Iceage - You're Nothing	4.00 stars
3.50 stars	The Men - New Moon	3.50 stars
3.50 stars	Merchandise - Totale Nite	3.50 stars
3.00 stars	James Blake - Overgrown	4.00 stars
4.00 stars	Deerhunter - Monomania	3.00 stars
2.50 stars	Drenge - Drenge	2.50 stars
3.50 stars	Forest Swords - Engravings	3.50 stars
4.00 stars	The Men - Tomorrow's Hits	3.50 stars
3.50 stars	HTRK - Psychic 9-5 Club	3.00 stars
3.00 stars	Todd Terje - It's Album Time	4.00 stars
4.00 stars	Ought - More Than Any Other Day	3.50 stars
3.00 stars	Ben Frost - A U R O R A	3.00 stars
3.50 stars	Sharon Van Etten - Are We There	4.00 stars
3.50 stars	Parquet Courts - Sunbathing Animal	3.00 stars
4.50 stars	Total Control - Typical System	3.50 stars
4.00 stars	Naomi Punk - Television Man	3.50 stars
3.50 stars	Corners - Maxed Out on Distractions	4.00 stars
4.00 stars	Iceage - Plowing Into the Field of Love	4.00 stars
3.50 stars	Clarence Clarity - NO NOW	3.50 stars
3.50 stars	Lightning Bolt - Fantasy Empire	3.50 stars
3.50 stars	Dawn of Humans - Slurping at the Cosmos Spine	3.50 stars
4.00 stars	Lower Dens - Escape From Evil	3.50 stars
3.50 stars	Hop Along - Painted Shut	4.00 stars
3.00 stars	Ceremony - The L-Shaped Man	3.00 stars
3.50 stars	Carly Rae Jepsen - E·MO·TION	4.00 stars
3.50 stars	Chelsea Wolfe - Abyss	4.50 stars
3.00 stars	Deafheaven - New Bermuda	4.00 stars
3.50 stars	Julien Baker - Sprained Ankle	4.00 stars
3.50 stars	SOPHIE - Product	4.50 stars
4.00 stars	David Bowie - ★ [Blackstar]	4.50 stars
3.00 stars	Triángulo de Amor Bizarro - Salve discordia	3.50 stars
3.50 stars	Not Waving - Animals	3.50 stars
3.50 stars	Wacław Zimpel - Lines	3.50 stars
3.50 stars	Mothers - When You Walk a Long Distance You Are Tired	3.50 stars
3.50 stars	Kendrick Lamar - untitled unmastered.	4.00 stars
4.00 stars	Anna Meredith - Varmints	3.00 stars
3.50 stars	Leon Vynehall - Rojus (Designed to Dance)	3.00 stars
3.50 stars	Tim Hecker - Love Streams	3.50 stars
3.50 stars	Xiu Xiu - Plays the Music of Twin Peaks	3.50 stars
4.00 stars	King Gizzard and the Lizard Wizard - Nonagon Infinity	3.50 stars
3.50 stars	Death Grips - Bottomless Pit	4.00 stars
3.00 stars	Jessy Lanza - Oh No	3.50 stars
3.50 stars	Car Seat Headrest - Teens of Denial	4.00 stars
3.00 stars	Blood Orange - Freetown Sound	4.00 stars
4.00 stars	Angel Olsen - MY WOMAN	3.50 stars
3.50 stars	Preoccupations - Preoccupations	4.00 stars
3.50 stars	The Caretaker - Everywhere at the End of Time - Stage 1	3.50 stars
4.00 stars	Danny Brown - Atrocity Exhibition	4.50 stars
3.50 stars	Carla dal Forno - You Know What It's Like	3.00 stars
4.00 stars	A Tribe Called Quest - We got it from Here... Thank You 4 Your service	3.50 stars
3.50 stars	Suiyoubi no Campanella - Superman	3.50 stars
3.00 stars	King Gizzard and the Lizard Wizard - Flying Microtonal Banana	3.50 stars
3.50 stars	Schwefelgelb - Dahinter das Gesicht	3.50 stars
3.50 stars	Blanck Mass - World Eater	4.00 stars
4.00 stars	IDLES - Brutalism	4.00 stars
3.00 stars	Mount Eerie - A Crow Looked at Me	3.50 stars
3.50 stars	Forest Swords - Compassion	3.50 stars
3.50 stars	Algiers - The Underside of Power	3.50 stars
5.00 stars	Brockhampton - Saturation II	4.00 stars
3.50 stars	Yves Tumor - Experiencing the Deposit of Faith	3.00 stars
4.00 stars	Protomartyr - Relatives in Descent	3.50 stars
4.00 stars	Iglooghost - Neō Wax Bloom	3.50 stars
4.00 stars	King Krule - The Ooz	4.00 stars
3.50 stars	Makthaverskan - Ill	4.50 stars
3.50 stars	John Maus - Screen Memories	3.50 stars
3.00 stars	Shame - Songs of Praise	3.50 stars
4.00 stars	JPEGMAFIA - Veteran	3.00 stars
3.00 stars	Natalia Lafourcade - Musas Vol. 2	3.50 stars
3.00 stars	Against All Logic - 2012 - 2017	4.00 stars
3.50 stars	Park Jiha - Communion	3.00 stars
3.50 stars	Preoccupations - New Material	3.50 stars
3.00 stars	The Voidz - Virtue	3.50 stars
4.00 stars	The Garden - Mirror Might Steal Your Charm	3.50 stars
3.00 stars	Haru Nemuri - 春と修羅 (Haru to Shura)	4.00 stars
3.50 stars	Iceage - Beyondless	4.00 stars
4.00 stars	Beach House - 7	3.50 stars
4.00 stars	Pusha T - DAYTONA	4.00 stars
3.50 stars	Oneohtrix Point Never - Age Of	3.00 stars
3.00 stars	Kids See Ghosts - Kids See Ghosts	3.50 stars
3.50 stars	Death Grips - Year of the Snitch	4.00 stars
