rental	Album	bruteface
3.50 stars	Abe Vigoda - Reviver	4.00 stars
4.00 stars	The Beach Boys - Pet Sounds	4.50 stars
3.50 stars	Black Panties - Dead and Gone	4.00 stars
3.00 stars	Blank Dogs - Under and Under	4.00 stars
3.50 stars	Boards of Canada - The Campfire Headphase	4.00 stars
3.50 stars	David Bowie - "Heroes"	4.50 stars
3.50 stars	Kate Bush - Hounds of Love	4.50 stars
3.00 stars	The Church - Starfish	4.00 stars
3.50 stars	Cocteau Twins - Head Over Heels	4.00 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	4.00 stars
4.00 stars	Descendents - Milo Goes to College	5.00 stars
3.00 stars	Dreamdecay - Yú	4.00 stars
3.50 stars	John Fahey - Volume 5: The Transfiguration of Blind Joe Death	4.00 stars
3.50 stars	Fried Egg - Delirium	3.50 stars
4.00 stars	Fried Egg - Back and Forth	4.50 stars
4.00 stars	Fried Egg - Square One	4.00 stars
4.00 stars	Hüsker Dü - New Day Rising	4.00 stars
4.00 stars	Love - Forever Changes	5.00 stars
3.50 stars	Curtis Mayfield - Superfly	4.50 stars
3.50 stars	Lizzy Mercier Descloux - Mambo Nassau	3.50 stars
4.00 stars	Milk Music - Cruise Your Illusion	4.00 stars
3.50 stars	Minutemen - Buzz or Howl Under the Influence of Heat	4.00 stars
3.50 stars	Mobb Deep - The Infamous	4.00 stars
3.50 stars	Janelle Monáe - The Electric Lady	3.50 stars
3.50 stars	Nina Simone - Pastel Blues	4.00 stars
3.50 stars	Leonard Cohen - Songs of Leonard Cohen	4.00 stars
3.50 stars	Os Mutantes - Os Mutantes	4.00 stars
3.50 stars	Pearls Before Swine - Balaklava	4.00 stars
3.50 stars	The Pretty Things - S.F. Sorrow	4.00 stars
3.00 stars	The Stooges - The Stooges	4.00 stars
4.00 stars	Exuma - Exuma	5.00 stars
3.50 stars	The Stooges - Fun House	4.00 stars
3.50 stars	Nick Drake - Bryter Layter	4.00 stars
3.50 stars	Captain Beefheart & The Magic Band - Lick My Decals Off, Baby	4.00 stars
4.00 stars	Serge Gainsbourg - Histoire de Melody Nelson	4.00 stars
3.50 stars	T. Rex - Electric Warrior	4.00 stars
4.00 stars	David Bowie - Hunky Dory	4.00 stars
3.50 stars	Pharoah Sanders - Black Unity	4.50 stars
4.00 stars	Nick Drake - Pink Moon	4.50 stars
4.00 stars	David Bowie - The Rise and Fall of Ziggy Stardust and the Spiders From Mars	4.00 stars
4.00 stars	Iggy and The Stooges - Raw Power	5.00 stars
3.50 stars	David Bowie - Aladdin Sane	4.00 stars
3.50 stars	Eno - Here Come the Warm Jets	4.50 stars
3.50 stars	Sparks - Kimono My House	4.50 stars
3.50 stars	Neil Young - On the Beach	4.00 stars
3.50 stars	Eno - Taking Tiger Mountain (By Strategy)	4.50 stars
3.50 stars	Eno - Another Green World	4.50 stars
3.50 stars	Thin Lizzy - Jailbreak	4.00 stars
4.00 stars	Stevie Wonder - Songs in the Key of Life	4.00 stars
4.00 stars	David Bowie - Low	5.00 stars
4.00 stars	Television - Marquee Moon	4.00 stars
3.50 stars	Kraftwerk - Trans Europa Express	4.00 stars
4.00 stars	Suicide - Suicide	4.00 stars
4.50 stars	Wire - Pink Flag	4.00 stars
3.50 stars	Kraftwerk - Die Mensch-Maschine	4.00 stars
4.00 stars	Devo - Q: Are We Not Men? A: We Are Devo!	5.00 stars
3.50 stars	Pere Ubu - Dub Housing	4.00 stars
3.50 stars	Contortions - Buy	4.50 stars
4.50 stars	The Slits - Cut	5.00 stars
3.50 stars	Buzzcocks - Singles Going Steady	4.50 stars
3.50 stars	The Pop Group - For How Much Longer Do We Tolerate Mass Murder?	4.00 stars
4.00 stars	X - Los Angeles	4.00 stars
4.00 stars	The Cramps - Songs the Lord Taught Us	4.00 stars
4.00 stars	The Soft Boys - Underwater Moonlight	5.00 stars
3.50 stars	The Jam - Sound Affects	4.00 stars
3.00 stars	Kraftwerk - Computerwelt	4.00 stars
3.50 stars	Misfits - Walk Among Us	4.00 stars
4.00 stars	Discharge - Hear Nothing See Nothing Say Nothing	4.00 stars
4.50 stars	Mission of Burma - Vs.	4.00 stars
5.00 stars	Wipers - Over the Edge	4.50 stars
3.50 stars	Violent Femmes - Violent Femmes	3.50 stars
3.50 stars	Sonic-Youth - Confusion Is Sex	4.00 stars
3.00 stars	New Order - Power, Corruption & Lies	4.00 stars
3.50 stars	The Gun Club - The Las Vegas Story	4.00 stars
3.50 stars	Prince and The Revolution - Purple Rain	4.00 stars
4.00 stars	Hüsker Dü - Zen Arcade	4.00 stars
4.00 stars	The Replacements - Let It Be	4.00 stars
5.00 stars	Minutemen - Double Nickels on the Dime	4.00 stars
3.50 stars	Sonic-Youth - Bad Moon Rising	4.00 stars
4.00 stars	Meat Puppets - Up on the Sun	5.00 stars
3.50 stars	Hüsker Dü - Flip Your Wig	4.00 stars
4.00 stars	The Fall - This Nation's Saving Grace	4.00 stars
3.50 stars	The Jesus and Mary Chain - Psychocandy	4.00 stars
3.50 stars	Sonic Youth - EVOL	4.00 stars
4.00 stars	The Chameleons - Strange Times	4.00 stars
3.50 stars	Slayer - Reign in Blood	4.50 stars
3.50 stars	Hüsker Dü - Warehouse: Songs and Stories	4.00 stars
3.00 stars	Prince - Sign "☮" the Times	4.00 stars
4.00 stars	Sonic Youth - Daydream Nation	4.00 stars
3.50 stars	Dinosaur Jr - Bug	4.00 stars
3.50 stars	Beastie Boys - Paul's Boutique	4.00 stars
3.00 stars	The Chills - Submarine Bells	3.00 stars
3.00 stars	The Sundays - Reading, Writing and Arithmetic	4.00 stars
3.50 stars	Sonic Youth - Goo	4.00 stars
3.00 stars	Slowdive - Just for a Day	4.00 stars
3.50 stars	A Tribe Called Quest - The Low End Theory	4.00 stars
3.00 stars	Superchunk - No Pocky for Kitty	4.00 stars
4.00 stars	Talk Talk - Laughing Stock	4.00 stars
3.00 stars	The Pharcyde - Bizarre Ride II the Pharcyde	4.00 stars
3.50 stars	Slowdive - Souvlaki	4.50 stars
3.00 stars	Eric's Trip - Love Tara	4.00 stars
3.50 stars	Bedhead - WhatFunLifeWas	3.50 stars
3.50 stars	Nick Cave and The Bad Seeds - Let Love In	4.00 stars
3.50 stars	Nas - Illmatic	4.50 stars
4.00 stars	Sebadoh - Bakesale	4.00 stars
4.00 stars	Flying Saucer Attack - Further	4.00 stars
3.50 stars	Fugazi - Red Medicine	4.00 stars
3.00 stars	Björk - Homogenic	4.00 stars
3.00 stars	AIR - Moon Safari	3.00 stars
3.50 stars	The Dismemberment Plan - Emergency & I	4.00 stars
4.00 stars	Jim O'Rourke - Halfway to a Threeway	4.00 stars
3.00 stars	On the Might of Princes - Where You Are and Where You Want to Be	4.00 stars
4.00 stars	múm - Yesterday Was Dramatic - Today Is OK	4.00 stars
3.00 stars	Sparklehorse - It's a Wonderful Life	4.00 stars
3.50 stars	Hood - Cold House	4.00 stars
3.50 stars	Jim O'Rourke - Insignificance	4.50 stars
3.00 stars	Carissa's Wierd - Songs About Leaving	4.00 stars
4.00 stars	Four Tet - Rounds	4.00 stars
4.00 stars	WHY? - Elephant Eyelash	5.00 stars
5.00 stars	J Dilla - Donuts	4.00 stars
4.00 stars	Blonde Redhead - 23	4.00 stars
3.50 stars	Mount Eerie with Julie Doiron & Fred Squire - Lost Wisdom	4.00 stars
4.00 stars	Death - ...For the Whole World to See	4.50 stars
3.50 stars	Merchandise - (Strange Songs) In the Dark	4.00 stars
4.00 stars	Danny Brown - XXX	4.00 stars
3.50 stars	Micachu and the Shapes - Never	4.00 stars
4.00 stars	Freddie Gibbs & Madlib - Piñata	4.00 stars
4.50 stars	Diät - Positive Energy	4.00 stars
3.50 stars	U.S. Girls - Half Free	4.50 stars
3.50 stars	Honey - Love is Hard	3.50 stars
