rental	Album	buttguts
3.50 stars	Adolescents - Adolescents	4.00 stars
3.50 stars	Agent Orange - Living in Darkness	4.00 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	4.00 stars
3.50 stars	Avengers - Avengers	4.00 stars
3.50 stars	Bark Psychosis - Hex	4.00 stars
4.00 stars	William Basinski - The Disintegration Loops	3.00 stars
3.50 stars	William Basinski - The Disintegration Loops III	3.50 stars
3.50 stars	Bauhaus - In the Flat Field	4.50 stars
4.00 stars	Beat Happening - You Turn Me On	4.00 stars
4.00 stars	Bib - Moshpit	3.00 stars
3.50 stars	Big Zit - Electric Zit Vol. 1	4.00 stars
4.50 stars	Black Baron - Abject Skin	4.00 stars
3.50 stars	Black Eyes - Cough	3.00 stars
4.00 stars	Blotter - Under Armour '77	4.50 stars
3.50 stars	Boards of Canada - Geogaddi	2.50 stars
3.00 stars	Boredoms - Super æ	3.50 stars
3.50 stars	Boris - flood	3.50 stars
3.50 stars	David Bowie - "Heroes"	3.00 stars
4.00 stars	Butthole Surfers - Rembrandt Pussyhorse	4.00 stars
4.00 stars	Butthole Surfers - Locust Abortion Technician	4.50 stars
3.00 stars	By the End of Tonight - A Tribute to Tigers	3.00 stars
3.00 stars	Cabaret Voltaire - Red Mecca	4.00 stars
3.00 stars	Camberwell Now - All's Well	3.50 stars
4.00 stars	Can - Soundtracks	4.00 stars
3.00 stars	The Church - Starfish	3.50 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	5.00 stars
4.50 stars	Coil - Horse Rotorvator	4.00 stars
5.00 stars	Ornette Coleman - The Shape of Jazz to Come	4.00 stars
3.50 stars	Ornette Coleman - Change of the Century	4.00 stars
4.00 stars	Comus - First Utterance	5.00 stars
3.00 stars	The Consumers - All My Friends Are Dead	4.00 stars
3.00 stars	Crawling Chaos - The Gas Chair	4.00 stars
3.00 stars	Cult Ritual - Cult Ritual	3.00 stars
3.50 stars	Death Grips - Niggas on the Moon: The Powers That B Disc 1	3.50 stars
3.50 stars	Death Grips - Jenny Death: The Powers That B Disc 2	4.00 stars
4.00 stars	Descendents - Milo Goes to College	4.00 stars
4.00 stars	The Dicks - The Dicks Hate the Police / Lifetime Problems / All Night Fever	5.00 stars
3.50 stars	Aaron Dilloway - Modern Jester	4.50 stars
3.50 stars	Dinosaur Jr. - Beyond	3.50 stars
3.50 stars	Dirty Three - Ocean Songs	3.50 stars
3.50 stars	DNA - DNA on DNA	4.00 stars
3.50 stars	The Doors - The Doors	4.00 stars
3.50 stars	Nick Drake - Five Leaves Left	2.50 stars
3.50 stars	Kevin Drumm - Sheer Hellish Miasma	4.00 stars
3.50 stars	Drunkdriver - Drunkdriver	3.50 stars
4.00 stars	Earth - The Bees Made Honey in the Lion's Skull	3.50 stars
3.50 stars	Eldritch Anisette - Eldritch Anisette	3.50 stars
3.50 stars	Essential Logic - Beat Rhythm News	3.50 stars
3.50 stars	John Fahey - Volume 5: The Transfiguration of Blind Joe Death	3.00 stars
4.00 stars	The Fall - Slates	4.00 stars
3.50 stars	feedtime - Feedtime	4.50 stars
3.50 stars	The Field Mice - Snowball	3.00 stars
3.50 stars	Flipper - Album: Generic Flipper	4.00 stars
3.00 stars	Fucked Up - The Chemistry of Common Life	3.00 stars
3.50 stars	Fugazi - Repeater	3.50 stars
3.50 stars	Future - Monster	4.00 stars
4.00 stars	Gang of Four - Entertainment!	3.50 stars
3.50 stars	The Gerogerigegege - 燃えない灰 (Moenai Hai)	4.50 stars
4.00 stars	Gordons - The Gordons	3.50 stars
3.00 stars	Grimes - Visions	2.50 stars
4.00 stars	Guided by Voices - Alien Lanes	4.00 stars
3.50 stars	The Hair & Skin Trading Company - Over Valence	4.50 stars
3.50 stars	Hala Strana - Fielding	2.50 stars
4.00 stars	Harvey Milk - Courtesy and Good Will Toward Men	4.00 stars
3.00 stars	Jon Hassell - Fourth World Volume Two: Dream Theory in Malaya	3.00 stars
3.00 stars	Have a Nice Life - The Unnatural World	3.50 stars
4.50 stars	Hella - Hold Your Horse Is	3.50 stars
3.00 stars	Hoodoo Gurus - Stoneage Romeos	3.00 stars
3.50 stars	Rowland S. Howard - Teenage Snuff Film	3.50 stars
3.50 stars	Hüsker Dü - Everything Falls Apart	3.50 stars
4.00 stars	Hüsker Dü - New Day Rising	4.50 stars
3.50 stars	Index - The Index [aka "The Black Album"]	4.50 stars
3.50 stars	Infidel - Orgy	3.50 stars
4.50 stars	Institute - Salt EP	3.50 stars
4.50 stars	Institute - Subordination	4.00 stars
3.00 stars	Jesu - Jesu	3.50 stars
3.50 stars	Joy Division - Closer	4.50 stars
4.00 stars	KARP - Self Titled LP	4.50 stars
4.00 stars	Kendrick Lamar - DAMN.	4.00 stars
4.00 stars	Graham Lambkin - Salmon Run	4.00 stars
4.00 stars	LiveFastDie - Bandana Thrash Record	4.50 stars
4.00 stars	Love - Forever Changes	3.00 stars
3.50 stars	Macha - See It Another Way	4.00 stars
4.00 stars	Machinedrum - Room(s)	3.00 stars
3.00 stars	Dan Melchior - Assemblage Blues	3.00 stars
3.00 stars	Melvins - Eggnog	4.00 stars
4.00 stars	Metallica - Ride the Lightning	3.00 stars
3.00 stars	Joni Mitchell - Blue	2.00 stars
4.50 stars	Moondog - Moondog	3.50 stars
4.00 stars	Morphine - Cure for Pain	4.00 stars
3.50 stars	The Crickets - The "Chirping" Crickets	3.00 stars
3.50 stars	Bo Diddley - Bo Diddley	3.50 stars
3.00 stars	Buddy Holly - Buddy Holly	2.00 stars
3.50 stars	Miles Davis - Kind of Blue	3.00 stars
