rental	Album	carls_jr
4.00 stars	Banque Allemande - Eins, Zwei	4.00 stars
4.50 stars	Banque Allemande - Willst du Chinese sein musst du die ekligen Sachen essen	3.50 stars
3.50 stars	Bark Psychosis - Hex	3.00 stars
3.00 stars	Bassholes - When My Blue Moon Turns Red Again	4.00 stars
4.00 stars	Beat Happening - You Turn Me On	4.50 stars
4.00 stars	Black Eyes - Black Eyes	3.00 stars
4.00 stars	David Thomas Broughton - The Complete Guide to Insufficiency	4.00 stars
3.50 stars	The Caretaker - A Stairway to the Stars	3.50 stars
3.50 stars	The Caretaker - Persistent Repetition of Phrases	3.00 stars
3.50 stars	Frantz Casseus - Haitian Dances	3.50 stars
3.50 stars	Cheater Slicks - Walk Into the Sea	4.50 stars
4.00 stars	Cheater Slicks - Reality Is a Grape	3.00 stars
3.50 stars	C L E A N E R S - Real Raga Shit Vol. 1	3.00 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	4.00 stars
3.50 stars	Constant Mongrel - Living in Excellence	3.50 stars
3.00 stars	Eric Copeland - Waco Taco Combo	3.50 stars
4.00 stars	Country Teasers - Satan Is Real Again or Feeling Good About Bad Thoughts	4.00 stars
4.00 stars	Richard Dawson - The Magic Bridge	3.50 stars
3.50 stars	Aaron Dilloway - Modern Jester	3.50 stars
3.00 stars	Disco Inferno - Technicolour	3.50 stars
3.50 stars	Kevin Drumm - Sheer Hellish Miasma	4.50 stars
3.50 stars	Drunkdriver - Drunkdriver	4.00 stars
3.50 stars	Delroy Edwards - Rio Grande	3.50 stars
3.50 stars	Eldritch Anisette - Eldritch Anisette	4.50 stars
3.50 stars	The Ex - Dizzy Spells	3.00 stars
3.50 stars	EXEK - Some Beautiful Species Left	3.50 stars
3.50 stars	John Fahey - Volume 5: The Transfiguration of Blind Joe Death	3.50 stars
3.50 stars	John Fahey - Fare Forward Voyagers (Soldier's Choice)	4.50 stars
4.00 stars	The Fall - Slates	4.00 stars
3.50 stars	The Fall - The Real New Fall LP: Formerly Country on the Click	3.50 stars
3.00 stars	Fishmans - 98.12.28 男達の別れ (98.12.28 Otokotachi no Wakare)	4.00 stars
4.00 stars	Gordons - The Gordons	3.50 stars
3.00 stars	Grimes - Visions	3.00 stars
4.00 stars	Guided by Voices - Alien Lanes	5.00 stars
4.00 stars	Harvey Milk - Courtesy and Good Will Toward Men	4.50 stars
3.00 stars	Helena Hauff - Discreet Desires	3.00 stars
4.00 stars	Hüsker Dü - New Day Rising	3.50 stars
3.50 stars	Hype Williams - Find Out What Happens When People Stop Being Polite, and Start Gettin' Reel	4.00 stars
3.50 stars	Jackie-O Motherfucker - Fig. 5	4.00 stars
4.00 stars	KARP - Self Titled LP	3.50 stars
3.00 stars	Kero Kero Bonito - Bonito Generation	3.00 stars
3.00 stars	Killdozer - Twelve Point Buck	4.00 stars
3.50 stars	KWJAZ - KWJAZ	4.00 stars
4.00 stars	Graham Lambkin - Salmon Run	4.50 stars
4.50 stars	Low Life - Dogging	3.50 stars
3.50 stars	Macha - See It Another Way	3.00 stars
3.00 stars	Mayyors - Deads EP	3.00 stars
3.50 stars	mclusky - The Difference Between Me and You Is That I'm Not on Fire	3.00 stars
3.50 stars	Lizzy Mercier Descloux - Mambo Nassau	4.00 stars
4.00 stars	Milk Music - Beyond Living	4.00 stars
4.50 stars	Milk Music - Mystic 100's	3.50 stars
3.50 stars	Jürgen Müller - Science of the Sea	4.00 stars
3.50 stars	Albert Ayler Trio - Spiritual Unity	3.50 stars
4.50 stars	Jackson C. Frank - Jackson C. Frank	4.00 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	4.50 stars
3.50 stars	Leonard Cohen - Songs of Leonard Cohen	4.00 stars
4.00 stars	Dr. John, The Night Tripper - Gris-Gris	3.50 stars
4.00 stars	The Velvet Underground - The Velvet Underground	4.00 stars
3.50 stars	Tim Buckley - Happy Sad	4.00 stars
3.50 stars	Pharoah Sanders - Karma	4.50 stars
4.00 stars	Mayo Thompson - Corky's Debt to His Father	4.50 stars
3.50 stars	Tim Buckley - Lorca	4.00 stars
4.00 stars	Can - Tago Mago	3.50 stars
3.00 stars	Big Star - #1 Record	3.50 stars
4.50 stars	Can - Ege Bamyasi	3.50 stars
3.50 stars	Lou Reed - Transformer	4.00 stars
3.50 stars	Can - Future Days	4.00 stars
3.50 stars	Brigitte Fontaine & Areski Belkacem - L'incendie	3.00 stars
3.50 stars	Neil Young - On the Beach	4.00 stars
4.00 stars	Television - Marquee Moon	4.50 stars
4.50 stars	Wire - Pink Flag	5.00 stars
4.00 stars	Talking Heads - More Songs About Buildings and Food	4.00 stars
4.00 stars	Wire - Chairs Missing	4.50 stars
3.50 stars	Lizzy Mercier Descloux - Press Color	3.50 stars
4.00 stars	Chrome - Half Machine Lip Moves	4.00 stars
4.00 stars	Wire - 154	5.00 stars
4.00 stars	The Damned - Machine Gun Etiquette	3.50 stars
3.00 stars	Tronics - Love Backed by Force	3.50 stars
3.50 stars	The Feelies - Crazy Rhythms	4.00 stars
4.00 stars	The Soft Boys - Underwater Moonlight	4.50 stars
3.50 stars	Yōran - Montparnasse	4.00 stars
4.00 stars	This Heat - Deceit	4.00 stars
