rental	Album	crunchytunes
3.50 stars	Allah-Las - Allah Las	3.00 stars
3.50 stars	Amen Dunes - Love	3.50 stars
4.00 stars	Animal Collective - Fall Be Kind	4.00 stars
4.00 stars	Antena - Camino del sol	4.00 stars
3.50 stars	Ausmuteants - Amusements	4.00 stars
3.50 stars	Ausmuteants - Order of Operation	4.00 stars
4.00 stars	The Beatles - Abbey Road	3.50 stars
4.00 stars	Bibio - Ambivalence Avenue	3.50 stars
3.50 stars	David Bowie - "Heroes"	3.50 stars
3.00 stars	The Church - Starfish	2.50 stars
3.00 stars	Clearance - "Rapid Rewards"	3.00 stars
4.00 stars	Comus - First Utterance	3.50 stars
3.50 stars	Julian Cope - World Shut Your Mouth	3.50 stars
3.50 stars	Crystal Stilts - In Love With Oblivion	3.50 stars
3.50 stars	Deerhunter - Rainwater Cassette Exchange	4.00 stars
3.50 stars	The Doors - The Doors	3.00 stars
3.50 stars	Nick Drake - Five Leaves Left	3.50 stars
4.00 stars	Ducktails - The Flower Lane	3.50 stars
4.00 stars	Eddy Current Suppression Ring - Primary Colours	3.50 stars
4.00 stars	The Fresh & Onlys - Play It Strange	3.50 stars
4.00 stars	Alex G - Beach Music	3.50 stars
3.50 stars	Girls Names - The New Life	3.50 stars
4.00 stars	Love - Forever Changes	3.00 stars
4.00 stars	The Mantles - The Mantles	4.00 stars
3.50 stars	The Mantles - Long Enough to Leave	4.50 stars
4.50 stars	Milk Music - Mystic 100's	4.00 stars
3.00 stars	Joni Mitchell - Blue	3.50 stars
4.00 stars	John Coltrane - A Love Supreme	5.00 stars
3.00 stars	Love - Da Capo	3.00 stars
3.00 stars	The Byrds - Younger Than Yesterday	4.00 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	4.50 stars
3.00 stars	The Jimi Hendrix Experience - Are You Experienced	3.50 stars
3.50 stars	The Beatles - Sgt. Pepper's Lonely Hearts Club Band	2.50 stars
3.00 stars	Captain Beefheart and His Magic Band - Safe as Milk	3.00 stars
4.00 stars	Dr. John, The Night Tripper - Gris-Gris	3.50 stars
4.00 stars	The Zombies - Odessey and Oracle	4.50 stars
3.50 stars	Os Mutantes - Os Mutantes	3.50 stars
3.50 stars	The Millennium - Begin	4.00 stars
3.50 stars	Big Brother & The Holding Company - Cheap Thrills	3.50 stars
4.00 stars	The Kinks - The Kinks Are the Village Green Preservation Society	3.00 stars
3.50 stars	The Pretty Things - S.F. Sorrow	4.00 stars
4.00 stars	The Velvet Underground - The Velvet Underground	4.50 stars
3.50 stars	Pharoah Sanders - Karma	4.00 stars
3.00 stars	Frank Zappa - Hot Rats	3.50 stars
3.50 stars	Lee Hazlewood - Cowboy in Sweden	3.50 stars
4.00 stars	Exuma - Exuma	3.50 stars
3.50 stars	Syd Barrett - The Madcap Laughs	2.50 stars
3.00 stars	Crosby, Stills, Nash & Young - Déjà vu	4.00 stars
3.00 stars	Amon Düül II - Yeti	3.00 stars
3.50 stars	Nick Drake - Bryter Layter	3.50 stars
3.50 stars	The Who - Who's Next	4.50 stars
3.50 stars	T. Rex - Electric Warrior	3.00 stars
4.00 stars	David Bowie - Hunky Dory	3.50 stars
4.00 stars	Nick Drake - Pink Moon	3.50 stars
4.00 stars	Milton Nascimento & Lô Borges - Clube da Esquina	3.50 stars
4.00 stars	David Bowie - The Rise and Fall of Ziggy Stardust and the Spiders From Mars	4.50 stars
3.50 stars	Steely Dan - Can't Buy a Thrill	4.50 stars
3.50 stars	Lou Reed - Transformer	3.50 stars
4.00 stars	Todd Rundgren - A Wizard, A True Star	5.00 stars
3.50 stars	David Bowie - Aladdin Sane	3.50 stars
4.00 stars	Steely Dan - Countdown to Ecstasy	4.50 stars
3.50 stars	Can - Future Days	3.50 stars
3.50 stars	Eno - Here Come the Warm Jets	3.50 stars
3.50 stars	Neil Young - On the Beach	4.00 stars
3.50 stars	Eno - Taking Tiger Mountain (By Strategy)	3.00 stars
4.00 stars	Michael Hurley, The Unholy Modal Rounders, Jeffrey Fredericks & The Clamtones - Have Moicy!	5.00 stars
4.00 stars	R. Stevie Moore - Phonography	3.50 stars
3.50 stars	Fleetwood Mac - Rumours	4.00 stars
4.00 stars	Television - Marquee Moon	4.50 stars
4.00 stars	Talking Heads - Talking Heads: 77	4.00 stars
3.00 stars	Elvis Costello - This Year's Model	4.00 stars
4.00 stars	Talking Heads - More Songs About Buildings and Food	4.00 stars
3.50 stars	Talking Heads - Fear of Music	4.00 stars
4.00 stars	Slapp Happy - Slapp Happy or Slapp Happy	4.00 stars
3.50 stars	The Feelies - Crazy Rhythms	3.50 stars
4.00 stars	The Soft Boys - Underwater Moonlight	4.50 stars
4.00 stars	Television Personalities - ...And Don't the Kids Just Love It	4.00 stars
4.00 stars	The Dream Syndicate - The Days of Wine and Roses	3.50 stars
3.50 stars	Cleaners From Venus - Midnight Cleaners	4.00 stars
4.50 stars	Meat Puppets - Meat Puppets II	4.50 stars
3.00 stars	Robyn Hitchcock - I Often Dream of Trains	3.00 stars
3.50 stars	Felt - The Strange Idols Pattern and Other Short Stories	4.00 stars
3.00 stars	Camper Van Beethoven - Telephone Free Landslide Victory	3.50 stars
4.00 stars	Meat Puppets - Up on the Sun	4.50 stars
4.00 stars	Prefab Sprout - Steve McQueen	3.50 stars
3.50 stars	The Jesus and Mary Chain - Psychocandy	2.50 stars
3.50 stars	XTC - Skylarking	3.50 stars
3.00 stars	Close Lobsters - Foxheads Stalk This Land	3.50 stars
4.00 stars	The Bats - Daddy's Highway	4.00 stars
3.50 stars	The Feelies - Only Life	3.50 stars
4.00 stars	Galaxie 500 - Today	4.00 stars
2.50 stars	The Stone Roses - The Stone Roses	3.00 stars
3.00 stars	The Chills - Submarine Bells	3.50 stars
4.50 stars	Yo La Tengo - Painful	3.50 stars
4.00 stars	Tortoise - Millions Now Living Will Never Die	4.00 stars
3.50 stars	Stereolab - Emperor Tomato Ketchup	4.00 stars
3.00 stars	Fishmans - Long Season	3.00 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	3.50 stars
3.50 stars	Duster - Stratosphere	3.50 stars
3.50 stars	The Flaming Lips - The Soft Bulletin	2.50 stars
4.00 stars	Jim O'Rourke - Halfway to a Threeway	4.50 stars
3.50 stars	Yo La Tengo - And Then Nothing Turned Itself Inside-Out	3.50 stars
3.50 stars	Avey Tare and Panda Bear - Spirit They're Gone Spirit They've Vanished	4.50 stars
3.50 stars	The Clientele - Suburban Light	4.00 stars
3.50 stars	Jim O'Rourke - Insignificance	4.50 stars
4.50 stars	Wilco - Yankee Hotel Foxtrot	5.00 stars
4.00 stars	Broken Social Scene - You Forgot It in People	3.50 stars
4.00 stars	Ariel Pink's Haunted Graffiti - Worn Copy	3.50 stars
4.00 stars	Magnolia Electric Co. - The Magnolia Electric Co.	3.50 stars
3.00 stars	Manitoba - Up in Flames	4.00 stars
3.50 stars	Broadcast - Haha Sound	3.00 stars
4.50 stars	Ariel Pink's Haunted Graffiti - The Doldrums	3.50 stars
3.00 stars	Akron/Family - Akron/Family	3.00 stars
4.00 stars	Animal Collective - Feels	4.00 stars
4.00 stars	Animal Collective - Strawberry Jam	5.00 stars
3.50 stars	Helvetia - The Acrobats	4.00 stars
4.50 stars	Fleet Foxes - Fleet Foxes	3.50 stars
4.00 stars	Helvetia - Headless Machine of the Heart	4.00 stars
4.50 stars	Deerhunter - Microcastle / Weird Era Continued	4.50 stars
4.00 stars	Animal Collective - Merriweather Post Pavilion	4.50 stars
3.50 stars	Dan Deacon - Bromst	4.00 stars
3.00 stars	Emeralds - Does It Look Like I'm Here?	3.50 stars
4.00 stars	Ariel Pink's Haunted Graffiti - Before Today	4.50 stars
4.50 stars	Deerhunter - Halcyon Digest	4.00 stars
5.00 stars	Women - Public Strain	4.50 stars
5.00 stars	Connan Mockasin - Forever Dolphin Love	4.00 stars
3.00 stars	Woods - Sun and Shade	3.50 stars
4.50 stars	Unknown Mortal Orchestra - Unknown Mortal Orchestra	4.50 stars
3.00 stars	Amen Dunes - Through Donkey Jaw	2.50 stars
3.50 stars	Real Estate - Days	4.50 stars
5.00 stars	Parquet Courts - Light Up Gold	4.00 stars
4.00 stars	Grizzly Bear - Shields	3.00 stars
