rental	Album	cumshot_feminist
3.50 stars	Abe Vigoda - Reviver	2.50 stars
3.50 stars	Adolescents - Adolescents	4.00 stars
3.50 stars	Agent Orange - Living in Darkness	4.00 stars
3.50 stars	Ausmuteants - Order of Operation	4.00 stars
3.50 stars	Bad Sports - Constant Stimulation	4.00 stars
4.00 stars	Banque Allemande - Eins, Zwei	4.50 stars
4.00 stars	Banque Allemande - Willst du Chinese sein musst du die ekligen Sachen essen	4.00 stars
3.50 stars	Bauhaus - In the Flat Field	4.00 stars
3.50 stars	The Beatles - Abbey Road	4.00 stars
3.50 stars	Blank Dogs - Diana (The Herald)	3.50 stars
3.00 stars	Blank Dogs - On Two Sides	3.50 stars
3.00 stars	Blank Dogs - Under and Under	3.00 stars
3.50 stars	Butthole Surfers - Locust Abortion Technician	3.00 stars
3.50 stars	Carbonas - Carbonas	3.00 stars
3.00 stars	The Cars - The Cars	3.50 stars
4.00 stars	Cheater Slicks - Reality Is a Grape	4.50 stars
4.50 stars	Civic - New Vietnam	4.50 stars
3.50 stars	Civic - Those Who No	4.00 stars
4.00 stars	Clockcleaner - Babylon Rules	4.00 stars
3.50 stars	Coffin Pricks - Group Home Haircut	4.00 stars
4.50 stars	The Coneheads - Selected Ringtones Tape 3	3.50 stars
3.50 stars	The Cool Greenhouse - Crap Cardboard Pet	3.00 stars
4.00 stars	Crass - Penis Envy	4.00 stars
4.00 stars	Crazy Spirit - Crazy Spirit	3.50 stars
3.50 stars	Cuntz - Aloha	3.50 stars
3.50 stars	Dead Kennedys - Fresh Fruit for Rotting Vegetables	4.50 stars
3.50 stars	Dinosaur Jr. - Beyond	3.50 stars
4.00 stars	Eddy Current Suppression Ring - Primary Colours	4.00 stars
3.50 stars	The Fall - Live at the Witch Trials	4.00 stars
3.50 stars	The Fall - Slates	4.00 stars
3.50 stars	The Fall - The Real New Fall LP: Formerly Country on the Click	4.50 stars
3.50 stars	feedtime - Feedtime	3.50 stars
3.50 stars	Flipper - Album: Generic Flipper	3.50 stars
3.00 stars	The Fresh & Onlys - Bomb Wombs	4.00 stars
3.50 stars	The Fresh & Onlys - Play It Strange	3.50 stars
3.50 stars	Fugazi - Repeater	3.50 stars
4.00 stars	Gang of Four - Entertainment!	4.00 stars
3.00 stars	Gentleman Jesse and His Men - Leaving Atlanta	4.00 stars
