rental	Album	davin
3.50 stars	Adolescents - Adolescents	4.00 stars
3.50 stars	Agent Orange - Living in Darkness	4.00 stars
3.00 stars	Anasazi - Nuke York	4.00 stars
4.00 stars	Anasazi - Nasty Witch Rock	3.50 stars
3.50 stars	Ausmuteants - Order of Operation	3.50 stars
3.50 stars	Bark Psychosis - Hex	4.00 stars
3.50 stars	William Basinski - The Disintegration Loops II	4.50 stars
3.50 stars	Bauhaus - In the Flat Field	4.50 stars
4.00 stars	Beat Happening - Jamboree	3.50 stars
4.00 stars	Beat Happening - You Turn Me On	4.00 stars
3.50 stars	Bielizna - Taniec lekkich goryli	3.50 stars
3.00 stars	Bitch Prefect - Big Time	3.50 stars
3.50 stars	Pinkish Black - Pinkish Black	3.50 stars
4.50 stars	Black Baron - Divine Chains	3.50 stars
4.50 stars	Black Baron - Abject Skin	4.00 stars
3.50 stars	Blank Dogs - Diana (The Herald)	4.00 stars
3.00 stars	Blank Dogs - On Two Sides	4.00 stars
3.00 stars	Blank Dogs - Under and Under	4.00 stars
3.50 stars	David Bowie - Station to Station	4.00 stars
3.50 stars	David Bowie - "Heroes"	4.50 stars
3.00 stars	Brothers - Brothers	3.50 stars
4.00 stars	Tim Buckley - Starsailor	3.50 stars
3.50 stars	Kate Bush - Hounds of Love	3.50 stars
3.00 stars	Cabaret Voltaire - Red Mecca	3.50 stars
3.00 stars	Cabbage - Nihilistic Glamour Shots	3.50 stars
4.00 stars	The Cannanes - The African Man's Tomato	4.00 stars
4.50 stars	The Cannanes - A Love Affair With Nature	4.00 stars
3.50 stars	The Cannanes - Caveat Emptor	3.50 stars
3.50 stars	The Caretaker - A Stairway to the Stars	4.50 stars
3.00 stars	The Cars - The Cars	4.00 stars
3.50 stars	Cemetery - Demo	4.00 stars
3.50 stars	A Certain Ratio - To Each...	4.00 stars
3.50 stars	Chain Cult - Chain Cult Demo 2018	3.50 stars
3.50 stars	Chain Cult - Isolated	4.00 stars
4.00 stars	Chastity Belt - No Regerts	3.50 stars
4.00 stars	Chastity Belt - Time to Go Home	3.50 stars
4.00 stars	Chastity Belt - I Used to Spend So Much Time Alone	3.50 stars
3.50 stars	Cocteau Twins - Head Over Heels	4.00 stars
3.50 stars	Cocteau Twins - Heaven or Las Vegas	4.50 stars
3.50 stars	Coil - Musick to Play in the Dark	4.00 stars
4.00 stars	Lloyd Cole and The Commotions - Rattlesnakes	4.00 stars
4.00 stars	Comus - First Utterance	5.00 stars
4.50 stars	The Coneheads - Selected Ringtones Tape 3	3.50 stars
3.50 stars	The Cool Greenhouse - Crap Cardboard Pet	3.50 stars
4.00 stars	Crass - Penis Envy	4.00 stars
3.00 stars	Crawling Chaos - The Gas Chair	4.00 stars
3.00 stars	Crocodiles - Sleep Forever	3.50 stars
3.50 stars	Crystal Stilts - In Love With Oblivion	3.50 stars
3.50 stars	Dead Luke - The Black Plague in Mono No. 3	3.50 stars
3.50 stars	The Dead Texan - The Dead Texan	4.00 stars
3.50 stars	Diät - Everyday	3.50 stars
3.50 stars	Dinosaur Jr. - Beyond	4.00 stars
3.50 stars	Disappears - Pre Language	3.50 stars
3.50 stars	DNA - DNA on DNA	4.00 stars
3.50 stars	The Doors - The Doors	4.50 stars
3.50 stars	Duds - Of a Nature or Degree	3.50 stars
3.00 stars	Dum Dum Girls - I Will Be	3.50 stars
4.00 stars	The Durutti Column - LC	4.50 stars
3.00 stars	Eagulls - Ullages	4.00 stars
3.50 stars	EXEK - Biased Advice	3.50 stars
3.00 stars	Fad Gadget - Fireside Favourites	4.00 stars
4.00 stars	Fake Palms - Fake Palms	3.50 stars
3.50 stars	The Fall - Slates	4.00 stars
4.00 stars	The Fall - Perverted by Language	4.00 stars
3.50 stars	The Fall - The Real New Fall LP: Formerly Country on the Click	4.00 stars
3.00 stars	The Field Mice - Snowball	4.00 stars
3.50 stars	Flipper - Album: Generic Flipper	4.00 stars
4.00 stars	FLOWERTRUCK - Mostly Sunny	3.50 stars
3.00 stars	Funeral Parade - Funeral Parade	3.50 stars
3.00 stars	Girl Band - Holding Hands With Jamie	3.50 stars
3.50 stars	Girls - Album	3.50 stars
3.50 stars	Girls Names - The New Life	4.00 stars
3.50 stars	The Go-Betweens - Spring Hill Fair	3.50 stars
4.50 stars	The Go-Betweens - Liberty Belle and the Black Diamond Express	4.00 stars
4.50 stars	The Go-Betweens - 16 Lovers Lane	4.00 stars
3.50 stars	Gołębie - Dachy	3.50 stars
3.50 stars	Gołębie - Jest mi tak dobrze, że lepiej poczułbym się tylko martwy	3.50 stars
4.00 stars	Gordons - The Gordons	4.00 stars
3.00 stars	The Hair & Skin Trading Company - Over Valence	4.00 stars
3.00 stars	Hanging Coffins - Hanging Coffins	3.50 stars
3.00 stars	Helena Hauff - Discreet Desires	3.50 stars
3.00 stars	Anna von Hausswolff - The Miraculous	4.00 stars
3.00 stars	Anna von Hausswolff - Dead Magic	4.00 stars
3.00 stars	Have a Nice Life - The Unnatural World	4.00 stars
3.50 stars	Have a Nice Life - Sea of Worry	4.00 stars
3.50 stars	Heat Dust - Heat Dust	3.50 stars
3.00 stars	The Hecks - The Hecks	3.50 stars
3.50 stars	Hercegovina - Esprit de corps	3.50 stars
3.50 stars	The High Confessions - Turning Lead Into Gold With the High Confessions	4.00 stars
4.00 stars	Holograms - Holograms	4.00 stars
3.50 stars	Holograms - Surrender	3.50 stars
3.50 stars	Holy Toy - Warszawa	3.50 stars
3.00 stars	HOMESHAKE - In the Shower	3.50 stars
