rental	Album	docilewinds
3.50 stars	Boards of Canada - Geogaddi	3.50 stars
3.00 stars	Boredoms - Super æ	3.50 stars
3.50 stars	Kate Bush - Hounds of Love	2.50 stars
4.00 stars	Clockcleaner - Babylon Rules	4.00 stars
4.50 stars	Coil - Horse Rotorvator	3.50 stars
4.00 stars	Comus - First Utterance	4.00 stars
4.00 stars	Country Teasers - Satan Is Real Again or Feeling Good About Bad Thoughts	4.50 stars
4.00 stars	Crazy Spirit - Crazy Spirit	4.00 stars
4.00 stars	Miles Davis - Get Up With It	4.00 stars
3.50 stars	Destruction Unit - Deep Trip	3.00 stars
3.50 stars	Drunkdriver - Drunkdriver	3.50 stars
3.50 stars	The Ex - Starters Alternators	3.50 stars
3.50 stars	John Fahey - Volume 5: The Transfiguration of Blind Joe Death	3.50 stars
3.50 stars	Flipper - Album: Generic Flipper	4.00 stars
3.50 stars	Ben Frost - By the Throat	3.50 stars
3.50 stars	Daughn Gibson - All Hell	4.00 stars
3.00 stars	Daughn Gibson - Me Moan	2.50 stars
4.00 stars	Guided by Voices - Alien Lanes	4.00 stars
4.00 stars	Tim Hecker - Harmony in Ultraviolet	3.50 stars
3.50 stars	Tim Hecker - Virgins	4.00 stars
2.50 stars	Household - Items	3.50 stars
3.00 stars	HTRK - Nostalgia	4.00 stars
3.50 stars	Hype Williams - Find Out What Happens When People Stop Being Polite, and Start Gettin' Reel	4.00 stars
4.50 stars	Institute - Demo	4.00 stars
4.00 stars	Institute - Giddy Boys 7"	4.00 stars
4.50 stars	Institute - Salt EP	4.00 stars
3.50 stars	Joy Division - Closer	3.50 stars
3.50 stars	Mary Lattimore - Mary Lattimore	4.50 stars
4.00 stars	Love - Forever Changes	4.00 stars
4.00 stars	Machinedrum - Room(s)	3.50 stars
3.00 stars	Dan Melchior - Assemblage Blues	4.00 stars
4.00 stars	Metallica - Ride the Lightning	4.00 stars
4.00 stars	Milk Music - Beyond Living	4.00 stars
4.00 stars	Milk Music - Cruise Your Illusion	4.00 stars
4.00 stars	Mingus - The Black Saint and the Sinner Lady	4.50 stars
4.00 stars	John Coltrane - A Love Supreme	4.00 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	4.50 stars
3.50 stars	Leonard Cohen - Songs of Leonard Cohen	4.50 stars
3.50 stars	The Pretty Things - S.F. Sorrow	4.00 stars
3.50 stars	Pharoah Sanders - Karma	4.50 stars
3.50 stars	Miles Davis - In a Silent Way	3.50 stars
4.00 stars	The Can - Monster Movie	4.50 stars
4.50 stars	Scott Engel - Scott 4	4.00 stars
4.00 stars	Creedence Clearwater Revival - Cosmo's Factory	3.50 stars
3.50 stars	The Stooges - Fun House	4.50 stars
4.00 stars	Can - Tago Mago	4.00 stars
4.00 stars	Nick Drake - Pink Moon	4.00 stars
3.00 stars	Big Star - #1 Record	3.50 stars
4.50 stars	Can - Ege Bamyasi	4.00 stars
4.00 stars	Iggy and The Stooges - Raw Power	4.50 stars
3.50 stars	Can - Future Days	4.00 stars
