rental	Album	eccojam
4.00 stars	Animal Collective - Fall Be Kind	4.00 stars
4.00 stars	William Basinski - The Disintegration Loops	4.50 stars
3.50 stars	William Basinski - The Disintegration Loops II	3.50 stars
3.50 stars	William Basinski - The Disintegration Loops III	3.50 stars
3.50 stars	William Basinski - The Disintegration Loops IV	4.50 stars
3.50 stars	Bauhaus - In the Flat Field	3.50 stars
3.00 stars	Better Person - It's Only You	2.50 stars
4.00 stars	black midi - Schlagenheim	3.50 stars
3.00 stars	James Blake - Assume Form	3.00 stars
3.50 stars	Дин Блант - Каменный остров (Stone Island)	3.50 stars
3.50 stars	Boards of Canada - Geogaddi	3.50 stars
4.00 stars	Burial - Street Halo	3.50 stars
3.50 stars	Kate Bush - Hounds of Love	4.00 stars
3.00 stars	Cabaret Voltaire - Red Mecca	3.50 stars
3.00 stars	Jefre Cantu-Ledesma - On the Echoing Green	3.00 stars
3.00 stars	Nick Cave & The Bad Seeds - Skeleton Tree	3.50 stars
3.00 stars	Clarence Clarity - Think: Peace	3.50 stars
4.00 stars	Cloud Nothings - Attack on Memory	3.50 stars
4.50 stars	Coil - Horse Rotorvator	3.50 stars
4.00 stars	Coil - Musick to Play in the Dark	4.00 stars
3.50 stars	Converge - The Dusk in Us	3.50 stars
4.00 stars	Denzel Curry - Zuu	3.50 stars
3.50 stars	Daughters - Daughters	4.00 stars
2.50 stars	D A V I C I I - W sercu pozostaje tylko to, co wypalone ogniem	3.00 stars
3.50 stars	Death Grips - Government Plates	3.50 stars
3.50 stars	Death Grips - Niggas on the Moon: The Powers That B Disc 1	4.00 stars
3.50 stars	Death Grips - Jenny Death: The Powers That B Disc 2	4.00 stars
3.50 stars	Deerhunter - Rainwater Cassette Exchange	3.00 stars
3.50 stars	Deerhunter - Fading Frontier	3.00 stars
4.00 stars	Lana Del Rey - Norman Fucking Rockwell!	3.00 stars
3.50 stars	Aaron Dilloway - Modern Jester	3.50 stars
3.00 stars	DJ Nigga Fox - Crânio	3.50 stars
3.50 stars	Dope Body - Natural History	3.00 stars
3.50 stars	D/P/I - Composer	3.50 stars
3.50 stars	The Drones - Feelin Kinda Free	3.50 stars
3.50 stars	Kevin Drumm - Sheer Hellish Miasma	3.50 stars
4.00 stars	Earth - The Bees Made Honey in the Lion's Skull	3.00 stars
3.00 stars	Delroy Edwards - 4 Club Use Only	3.00 stars
3.50 stars	Delroy Edwards - Rio Grande	3.00 stars
4.00 stars	Fantomowa Erekcja - Z Nietzsche na betonie	3.50 stars
3.00 stars	James Ferraro - Troll	3.00 stars
3.50 stars	James Ferraro - Four Pieces for Mirai	3.50 stars
4.00 stars	Fleet Foxes - Crack-Up	3.00 stars
2.50 stars	Foals - Total Life Forever	3.50 stars
4.00 stars	Fontaines D.C. - Dogrel	3.50 stars
3.50 stars	Fuck Buttons - Tarot Sport	4.00 stars
3.50 stars	Fugazi - Repeater	3.50 stars
3.50 stars	Future - Monster	4.00 stars
4.00 stars	Alex G - Beach Music	3.00 stars
3.00 stars	Girl Band - Holding Hands With Jamie	3.50 stars
3.50 stars	Girlpool - Before the World Was Big	3.00 stars
3.50 stars	Girls - Album	3.50 stars
4.00 stars	Philip Glass - Koyaanisqatsi	3.50 stars
3.00 stars	Grimes - Visions	3.50 stars
3.50 stars	Grouper - Dragging a Dead Deer Up a Hill	3.50 stars
3.00 stars	Harlem - Hippies	3.00 stars
3.00 stars	Helena Hauff - Discreet Desires	3.50 stars
3.00 stars	Anna von Hausswolff - The Miraculous	3.00 stars
3.50 stars	Anna von Hausswolff - Dead Magic	4.00 stars
4.00 stars	Tim Hecker - Harmony in Ultraviolet	3.00 stars
3.50 stars	Tim Hecker - Virgins	4.00 stars
