rental	Album	glezhnjev
4.50 stars	Banque Allemande - Willst du Chinese sein musst du die ekligen Sachen essen	4.00 stars
3.00 stars	Bassholes - When My Blue Moon Turns Red Again	4.00 stars
3.00 stars	Bazooka - Bazooka	4.00 stars
4.00 stars	Black Eyes - Black Eyes	4.00 stars
3.50 stars	Black Eyes - Cough	4.00 stars
4.00 stars	Cheater Slicks - Reality Is a Grape	4.00 stars
3.50 stars	Cheveu - Cheveu	3.50 stars
4.00 stars	Clockcleaner - Babylon Rules	4.00 stars
3.50 stars	Constant Mongrel - Everything Goes Wrong	4.00 stars
3.50 stars	Deaf Wish - Deaf Wish	4.50 stars
3.50 stars	Deaf Wish - Mercy	4.50 stars
4.00 stars	Earth - The Bees Made Honey in the Lion's Skull	3.50 stars
4.00 stars	Eddy Current Suppression Ring - Primary Colours	5.00 stars
3.00 stars	Fad Gadget - Fireside Favourites	4.00 stars
3.50 stars	Ben Frost - By the Throat	3.50 stars
3.50 stars	Fugazi - Repeater	4.50 stars
4.00 stars	Gang of Four - Entertainment!	4.00 stars
4.00 stars	Gordons - The Gordons	4.00 stars
3.50 stars	The High Confessions - Turning Lead Into Gold With the High Confessions	2.50 stars
3.50 stars	Jackie-O Motherfucker - Fig. 5	3.00 stars
4.00 stars	KARP - Self Titled LP	4.00 stars
4.00 stars	Love - Forever Changes	5.00 stars
4.50 stars	Low Life - Dogging	5.00 stars
4.00 stars	The Mantles - The Mantles	3.50 stars
3.50 stars	mclusky - The Difference Between Me and You Is That I'm Not on Fire	4.00 stars
4.00 stars	Metallica - Ride the Lightning	4.00 stars
4.00 stars	Milk Music - Beyond Living	4.00 stars
4.00 stars	Morphine - Cure for Pain	4.50 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	4.00 stars
4.00 stars	Dr. John, The Night Tripper - Gris-Gris	4.00 stars
4.00 stars	The Velvet Underground - The Velvet Underground	4.00 stars
3.00 stars	The Stooges - The Stooges	4.00 stars
3.00 stars	Frank Zappa - Hot Rats	4.00 stars
3.00 stars	Black Sabbath - Master of Reality	4.00 stars
4.50 stars	Can - Ege Bamyasi	4.50 stars
4.00 stars	Iggy and The Stooges - Raw Power	4.50 stars
3.50 stars	Can - Future Days	4.00 stars
3.50 stars	Velvet Underground - 1969 Velvet Underground Live With Lou Reed	4.50 stars
4.00 stars	Television - Marquee Moon	4.00 stars
4.00 stars	Talking Heads - More Songs About Buildings and Food	4.00 stars
3.50 stars	Contortions - Buy	3.50 stars
4.00 stars	The Gun Club - Fire of Love	4.50 stars
3.50 stars	Sonic-Youth - Confusion Is Sex	3.50 stars
3.50 stars	Violent Femmes - Violent Femmes	4.00 stars
3.00 stars	Big Black - Racer-X	4.00 stars
3.50 stars	Sonic-Youth - Bad Moon Rising	3.50 stars
4.00 stars	The Fall - This Nation's Saving Grace	4.00 stars
4.00 stars	Big Black - Atomizer	4.00 stars
3.50 stars	Sonic Youth - EVOL	4.00 stars
4.50 stars	Dinosaur - You're Living All Over Me	4.00 stars
3.50 stars	Big Black - Songs About Fucking	4.00 stars
4.50 stars	Joy Division - Substance 1977-1980	4.00 stars
4.00 stars	Sonic Youth - Daydream Nation	4.50 stars
3.50 stars	My Bloody Valentine - Isn't Anything	4.00 stars
4.50 stars	Minor Threat - Complete Discography	5.00 stars
4.50 stars	Pixies - Doolittle	5.00 stars
3.50 stars	The Cure - Disintegration	4.00 stars
3.50 stars	The Gories - I Know You Fine, But How You Doin'	4.00 stars
3.00 stars	Nick Cave & The Bad Seeds - The Good Son	3.50 stars
3.50 stars	Sonic Youth - Goo	4.50 stars
5.00 stars	Slint - Spiderland	5.00 stars
3.50 stars	The Ex + Tom Cora - Scrabbling at the Lock	4.50 stars
3.50 stars	Nirvana - Nevermind	4.50 stars
3.50 stars	Tar - Jackson	3.50 stars
