rental	Album	granty0
3.00 stars	American Football - American Football	4.00 stars
4.00 stars	The Beatles - Abbey Road	4.50 stars
4.00 stars	Bibio - Ambivalence Avenue	4.50 stars
4.00 stars	Black Eyes - Black Eyes	4.00 stars
3.50 stars	Black Eyes - Cough	4.00 stars
4.00 stars	black midi - Schlagenheim	4.00 stars
3.50 stars	David Bowie - Station to Station	4.50 stars
3.50 stars	David Bowie - "Heroes"	4.50 stars
3.50 stars	Brockhampton - Iridescence	3.50 stars
3.00 stars	Tim Buckley - Goodbye and Hello	4.00 stars
4.00 stars	Can - Soundtracks	3.50 stars
3.50 stars	Carbonas - Carbonas	4.00 stars
3.00 stars	The Cars - The Cars	3.50 stars
3.00 stars	Clarence Clarity - Think: Peace	4.00 stars
4.00 stars	Clockcleaner - Babylon Rules	4.00 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.50 stars
3.50 stars	Cocteau Twins - Head Over Heels	4.00 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	5.00 stars
3.50 stars	The Damned - Damned Damned Damned	4.00 stars
3.50 stars	Daughters - Daughters	4.00 stars
3.50 stars	Death Grips - Government Plates	4.50 stars
3.50 stars	Death Grips - Niggas on the Moon: The Powers That B Disc 1	4.00 stars
3.50 stars	Death Grips - Jenny Death: The Powers That B Disc 2	4.50 stars
3.50 stars	Deerhoof - Breakup Song	4.50 stars
4.00 stars	Descendents - Milo Goes to College	4.00 stars
3.50 stars	Destruction Unit - Deep Trip	3.50 stars
3.50 stars	Distorted Pony - Punishment Room	3.00 stars
3.50 stars	The Dodos - Visiter	4.50 stars
3.50 stars	The Doors - The Doors	3.50 stars
3.50 stars	Nick Drake - Five Leaves Left	4.00 stars
3.50 stars	Dum Dum Girls - I Will Be	4.00 stars
4.00 stars	Eddy Current Suppression Ring - Primary Colours	4.00 stars
3.50 stars	Flipper - Album: Generic Flipper	4.00 stars
4.00 stars	Gang of Four - Entertainment!	5.00 stars
3.00 stars	Girl Band - Holding Hands With Jamie	4.00 stars
3.00 stars	Godspeed You Black Emperor! - Slow Riot for New Zerø Kanada E.P.	4.00 stars
4.00 stars	Guerilla Toss - Flood Dosed	4.00 stars
4.50 stars	Hella - Hold Your Horse Is	4.50 stars
4.00 stars	Holograms - Holograms	4.00 stars
3.00 stars	HOMESHAKE - In the Shower	4.00 stars
3.00 stars	Hoodoo Gurus - Stoneage Romeos	4.00 stars
3.50 stars	Hype Williams - Find Out What Happens When People Stop Being Polite, and Start Gettin' Reel	4.00 stars
3.50 stars	Index - The Index [aka "The Black Album"]	4.50 stars
3.50 stars	Joy Division - Closer	4.50 stars
3.50 stars	Steve Lacy - Steve Lacy's Demo	4.50 stars
4.00 stars	Kendrick Lamar - DAMN.	4.50 stars
3.00 stars	LCD Soundsystem - This Is Happening	4.00 stars
4.00 stars	Makthaverskan - Makthaverskan	4.00 stars
4.00 stars	Makthaverskan - Makthaverskan II	4.00 stars
4.00 stars	Metallica - Ride the Lightning	4.00 stars
4.50 stars	Metronomy - Nights Out	4.00 stars
3.50 stars	Minutemen - Buzz or Howl Under the Influence of Heat	4.50 stars
4.00 stars	Modest Mouse - This Is a Long Drive for Someone With Nothing to Think About	5.00 stars
3.00 stars	|M|O|O|N| - MOON EP	4.00 stars
3.00 stars	Mr. Bungle - Mr. Bungle	4.00 stars
3.00 stars	The Ronettes - Presenting The Fabulous Ronettes Featuring Veronica	3.50 stars
3.50 stars	Albert Ayler Trio - Spiritual Unity	4.00 stars
3.50 stars	The Sonics - Here Are The Sonics!!!	3.50 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	4.50 stars
3.50 stars	The Beatles - Sgt. Pepper's Lonely Hearts Club Band	4.50 stars
3.00 stars	Captain Beefheart and His Magic Band - Safe as Milk	4.00 stars
4.00 stars	The Zombies - Odessey and Oracle	4.00 stars
3.50 stars	Os Mutantes - Os Mutantes	4.00 stars
3.50 stars	The Millennium - Begin	4.50 stars
4.00 stars	The Velvet Underground - The Velvet Underground	4.50 stars
3.50 stars	Pharoah Sanders - Karma	4.50 stars
4.00 stars	The Can - Monster Movie	3.50 stars
3.00 stars	The Stooges - The Stooges	4.00 stars
3.00 stars	Frank Zappa - Hot Rats	4.00 stars
3.50 stars	The Stooges - Fun House	4.00 stars
3.00 stars	Amon Düül II - Yeti	3.50 stars
4.00 stars	Can - Tago Mago	3.00 stars
4.00 stars	David Bowie - Hunky Dory	4.00 stars
4.00 stars	Fela & The Africa 70 - Roforofo Fight	4.00 stars
4.00 stars	David Bowie - The Rise and Fall of Ziggy Stardust and the Spiders From Mars	4.50 stars
3.50 stars	Steely Dan - Can't Buy a Thrill	4.50 stars
3.50 stars	Lou Reed - Transformer	4.00 stars
4.00 stars	Iggy and The Stooges - Raw Power	4.50 stars
3.50 stars	David Bowie - Aladdin Sane	4.00 stars
4.00 stars	Steely Dan - Countdown to Ecstasy	4.00 stars
