rental	Album	ineedmoremusic
3.50 stars	Adolescents - Adolescents	3.50 stars
3.00 stars	American Football - American Football	4.00 stars
4.00 stars	The Beach Boys - Pet Sounds	3.50 stars
4.00 stars	Beat Happening - You Turn Me On	3.50 stars
4.00 stars	The Beatles - Abbey Road	4.00 stars
4.00 stars	Chastity Belt - No Regerts	4.50 stars
4.00 stars	Chastity Belt - Time to Go Home	4.00 stars
4.00 stars	Cloud Nothings - Life Without Sound	4.50 stars
3.50 stars	Cocteau Twins - Head Over Heels	4.00 stars
4.50 stars	Coil - Horse Rotorvator	4.50 stars
4.00 stars	Crass - Penis Envy	4.00 stars
3.50 stars	Death Grips - Government Plates	3.50 stars
4.00 stars	Lana Del Rey - Norman Fucking Rockwell!	3.50 stars
4.00 stars	Descendents - Milo Goes to College	4.50 stars
3.50 stars	Dirty Three - Ocean Songs	4.50 stars
3.50 stars	The Doors - The Doors	4.50 stars
3.50 stars	The Drones - Feelin Kinda Free	4.50 stars
4.00 stars	Dum Dum Girls - Only in Dreams	4.00 stars
4.00 stars	Fleet Foxes - Crack-Up	5.00 stars
4.00 stars	Alex G - Beach Music	4.00 stars
4.00 stars	Gang of Four - Entertainment!	4.50 stars
3.50 stars	Girlpool - Before the World Was Big	4.00 stars
3.00 stars	Grimes - Visions	3.50 stars
4.00 stars	Aldous Harding - Aldous Harding	4.00 stars
3.50 stars	Hüsker Dü - Everything Falls Apart	3.50 stars
4.00 stars	Hüsker Dü - New Day Rising	4.50 stars
3.00 stars	Kero Kero Bonito - Bonito Generation	4.00 stars
4.00 stars	Kendrick Lamar - DAMN.	4.00 stars
3.00 stars	LCD Soundsystem - This Is Happening	3.00 stars
4.00 stars	Metallica - Ride the Lightning	4.50 stars
4.50 stars	Milk Music - Mystic 100's	4.00 stars
4.00 stars	Modest Mouse - This Is a Long Drive for Someone With Nothing to Think About	4.00 stars
4.00 stars	Morphine - Cure for Pain	4.50 stars
4.00 stars	Mingus - The Black Saint and the Sinner Lady	5.00 stars
4.00 stars	John Coltrane - A Love Supreme	4.50 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	5.00 stars
3.50 stars	The Kinks - Something Else by The Kinks	4.50 stars
4.00 stars	The Kinks - The Kinks Are the Village Green Preservation Society	4.00 stars
2.50 stars	Led Zeppelin - Led Zeppelin	3.50 stars
4.00 stars	The Velvet Underground - The Velvet Underground	4.50 stars
4.00 stars	David Bowie - Hunky Dory	4.50 stars
4.00 stars	David Bowie - The Rise and Fall of Ziggy Stardust and the Spiders From Mars	4.50 stars
3.50 stars	David Bowie - Aladdin Sane	4.50 stars
4.00 stars	Television - Marquee Moon	5.00 stars
3.50 stars	The Clash - The Clash	4.50 stars
4.00 stars	Talking Heads - Talking Heads: 77	4.00 stars
4.00 stars	Suicide - Suicide	3.50 stars
4.50 stars	Wire - Pink Flag	4.50 stars
4.00 stars	Talking Heads - More Songs About Buildings and Food	4.50 stars
4.00 stars	Wire - Chairs Missing	4.00 stars
4.00 stars	Public Image Ltd - Public Image	5.00 stars
4.00 stars	Crass - Stations of the Crass	4.00 stars
4.50 stars	The Slits - Cut	3.50 stars
3.00 stars	Circle Jerks - Group Sex	3.50 stars
4.00 stars	Television Personalities - ...And Don't the Kids Just Love It	4.00 stars
3.50 stars	The Cure - Faith	4.50 stars
3.50 stars	Oingo Boingo - Only a Lad	4.00 stars
4.50 stars	Mission of Burma - Signals, Calls, and Marches	5.00 stars
3.00 stars	The Replacements - Sorry Ma, Forgot to Take Out the Trash	4.00 stars
3.50 stars	Misfits - Walk Among Us	4.50 stars
3.50 stars	Sonic-Youth - Confusion Is Sex	3.50 stars
4.00 stars	The Smiths - The Smiths	4.00 stars
