rental	Album	jmi666
3.50 stars	Adolescents - Adolescents	4.50 stars
3.50 stars	Agent Orange - Living in Darkness	4.00 stars
3.50 stars	Anasazi - Nasty Witch Rock	3.50 stars
4.00 stars	Antena - Camino del sol	3.00 stars
3.50 stars	Avengers - Avengers	4.50 stars
3.50 stars	Bark Psychosis - Hex	4.00 stars
3.50 stars	Bauhaus - In the Flat Field	4.00 stars
3.50 stars	Blank Dogs - Diana (The Herald)	3.50 stars
3.50 stars	Blank Dogs - On Two Sides	4.00 stars
3.00 stars	Blank Dogs - Under and Under	4.00 stars
3.00 stars	Camberwell Now - All's Well	4.00 stars
3.50 stars	Cemetery - Demo	4.00 stars
3.50 stars	A Certain Ratio - To Each...	3.50 stars
3.00 stars	The Church - Starfish	4.00 stars
3.50 stars	Cocteau Twins - Head Over Heels	4.00 stars
4.00 stars	Coil - Musick to Play in the Dark	4.00 stars
3.00 stars	Crawling Chaos - The Gas Chair	4.00 stars
3.00 stars	Cult Ritual - Cult Ritual	2.50 stars
3.50 stars	Cuntz - Aloha	3.00 stars
3.50 stars	The Damned - Damned Damned Damned	4.50 stars
4.00 stars	Descendents - Milo Goes to College	4.50 stars
3.50 stars	Dinosaur Jr. - Beyond	3.00 stars
3.50 stars	DNA - DNA on DNA	3.50 stars
3.00 stars	Dreamdecay - Yú	3.50 stars
3.50 stars	Dum Dum Girls - I Will Be	2.50 stars
4.00 stars	The Durutti Column - LC	4.00 stars
3.50 stars	Econochrist - Trained to Serve	4.00 stars
4.00 stars	The Fall - Slates	4.00 stars
3.50 stars	Flipper - Album: Generic Flipper	4.00 stars
3.50 stars	Fugazi - Repeater	3.50 stars
4.00 stars	Gang of Four - Entertainment!	4.00 stars
4.00 stars	Gordons - The Gordons	4.00 stars
3.50 stars	The Hair & Skin Trading Company - Over Valence	4.50 stars
3.00 stars	Anna von Hausswolff - The Miraculous	4.00 stars
3.50 stars	Hüsker Dü - Everything Falls Apart	4.00 stars
4.00 stars	Hüsker Dü - New Day Rising	5.00 stars
4.50 stars	Institute - Demo	3.50 stars
4.00 stars	Institute - Giddy Boys 7"	3.00 stars
4.50 stars	Institute - Salt EP	3.50 stars
3.00 stars	Jesu - Jesu	4.00 stars
4.00 stars	Love - Forever Changes	4.50 stars
4.50 stars	Low Life - Dogging	3.50 stars
4.00 stars	Makthaverskan - Makthaverskan II	3.00 stars
3.00 stars	Mayyors - Deads EP	2.50 stars
3.50 stars	The Mekons - The Quality of Mercy Is Not Strnen	3.50 stars
3.50 stars	The Men - Immaculada	4.00 stars
4.00 stars	Metallica - Ride the Lightning	4.50 stars
4.00 stars	Milk Music - Beyond Living	4.00 stars
4.00 stars	Milk Music - Cruise Your Illusion	3.00 stars
3.50 stars	The Sonics - Here Are The Sonics!!!	4.00 stars
3.00 stars	Love - Da Capo	3.50 stars
3.00 stars	The Byrds - Younger Than Yesterday	4.00 stars
4.00 stars	Townes Van Zandt - Townes Van Zandt	4.00 stars
4.00 stars	Can - Tago Mago	4.00 stars
3.00 stars	Big Star - #1 Record	4.00 stars
4.50 stars	Can - Ege Bamyasi	3.50 stars
3.50 stars	Eno - Here Come the Warm Jets	3.50 stars
3.50 stars	Eno - Taking Tiger Mountain (By Strategy)	3.50 stars
3.50 stars	Chrome - Alien Soundtracks	4.00 stars
4.00 stars	Television - Marquee Moon	4.00 stars
4.00 stars	Ramones - Rocket to Russia	4.50 stars
4.50 stars	Wire - Pink Flag	5.00 stars
4.00 stars	Wire - Chairs Missing	4.50 stars
3.50 stars	Blondie - Parallel Lines	3.50 stars
4.00 stars	Public Image Ltd - Public Image	4.50 stars
4.00 stars	Chrome - Half Machine Lip Moves	4.50 stars
3.50 stars	Stiff Little Fingers - Inflammable Material	4.50 stars
3.50 stars	Contortions - Buy	3.00 stars
4.00 stars	The Pop Group - Y	3.50 stars
4.50 stars	The Slits - Cut	3.50 stars
4.00 stars	Wire - 154	4.00 stars
4.00 stars	The Damned - Machine Gun Etiquette	5.00 stars
4.00 stars	PiL - Metal Box	4.50 stars
3.50 stars	Young Marble Giants - Colossal Youth	4.00 stars
3.50 stars	The Feelies - Crazy Rhythms	4.50 stars
4.00 stars	The Cramps - Songs the Lord Taught Us	3.50 stars
4.00 stars	X - Los Angeles	4.00 stars
3.50 stars	Dead Kennedys - Fresh Fruit for Rotting Vegetables	4.00 stars
4.00 stars	Television Personalities - ...And Don't the Kids Just Love It	4.50 stars
3.50 stars	The Cure - Faith	4.50 stars
4.50 stars	Mission of Burma - Signals, Calls, and Marches	4.50 stars
3.50 stars	Section 25 - Always Now	4.00 stars
3.00 stars	The Replacements - Sorry Ma, Forgot to Take Out the Trash	3.00 stars
4.00 stars	The Gun Club - Fire of Love	3.50 stars
4.00 stars	This Heat - Deceit	4.50 stars
3.50 stars	Misfits - Walk Among Us	4.50 stars
4.00 stars	Discharge - Hear Nothing See Nothing Say Nothing	4.00 stars
3.50 stars	Savage Republic - Tragic Figures	3.50 stars
4.00 stars	The Gun Club - Miami	3.50 stars
4.50 stars	Mission of Burma - Vs.	4.50 stars
