rental	Album	josenyc
3.00 stars	American Football - American Football	3.00 stars
4.00 stars	Animal Collective - Fall Be Kind	4.50 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	4.00 stars
4.00 stars	Arcade Fire - Funeral	5.00 stars
3.00 stars	Armand Hammer - Paraffin	3.50 stars
3.50 stars	Angelo Badalamenti - Twin Peaks: Limited Event Series Soundtrack	4.50 stars
3.50 stars	Bark Psychosis - Hex	4.50 stars
4.00 stars	William Basinski - The Disintegration Loops	3.50 stars
3.50 stars	Bauhaus - In the Flat Field	4.50 stars
4.00 stars	The Beach Boys - Pet Sounds	4.50 stars
4.00 stars	Beat Happening - You Turn Me On	3.50 stars
4.00 stars	Belle & Sebastian - Dear Catastrophe Waitress	4.00 stars
3.00 stars	James Blake - Assume Form	2.50 stars
3.50 stars	Boards of Canada - Geogaddi	3.50 stars
3.50 stars	Boris - flood	4.00 stars
3.50 stars	David Bowie - Station to Station	4.50 stars
3.50 stars	David Bowie - "Heroes"	4.50 stars
3.00 stars	Brockhampton - Iridescence	3.00 stars
4.00 stars	David Thomas Broughton - The Complete Guide to Insufficiency	4.00 stars
4.00 stars	Tim Buckley - Starsailor	4.00 stars
3.50 stars	Kate Bush - Hounds of Love	4.50 stars
3.00 stars	Cabaret Voltaire - Red Mecca	4.00 stars
3.50 stars	Chuck Person - Chuck Person's Eccojams Vol. 1	3.50 stars
3.00 stars	Clarence Clarity - Think: Peace	2.50 stars
4.00 stars	Cloud Nothings - Attack on Memory	3.50 stars
3.50 stars	Cocteau Twins - Head Over Heels	4.00 stars
3.50 stars	Cocteau Twins - Heaven or Las Vegas	3.50 stars
4.00 stars	Coil - Horse Rotorvator	4.00 stars
3.50 stars	Coil - Musick to Play in the Dark	4.00 stars
4.00 stars	Comus - First Utterance	4.50 stars
3.00 stars	Converge - The Dusk in Us	3.50 stars
3.50 stars	Cul de Sac - Crashes to Light, Minutes to Its Fall	4.00 stars
3.50 stars	Richard Dawson - The Magic Bridge	3.50 stars
4.00 stars	Richard Dawson - 2020	4.00 stars
3.50 stars	Dead Kennedys - Fresh Fruit for Rotting Vegetables	4.50 stars
3.50 stars	Death Grips - No Love Deep Web	3.50 stars
3.50 stars	Death Grips - Government Plates	3.50 stars
3.50 stars	Death Grips - Niggas on the Moon: The Powers That B Disc 1	3.50 stars
4.00 stars	Death Grips - Jenny Death: The Powers That B Disc 2	4.50 stars
4.00 stars	Lana Del Rey - Norman Fucking Rockwell!	4.50 stars
4.00 stars	Descendents - Milo Goes to College	3.50 stars
3.50 stars	Dirty Three - Ocean Songs	3.00 stars
3.50 stars	DNA - DNA on DNA	4.00 stars
3.50 stars	The Doors - The Doors	4.00 stars
3.50 stars	Nick Drake - Five Leaves Left	4.00 stars
4.00 stars	The Durutti Column - LC	3.50 stars
3.00 stars	Fad Gadget - Fireside Favourites	4.00 stars
3.50 stars	John Fahey - Volume 5: The Transfiguration of Blind Joe Death	4.00 stars
