rental	Album	josesanzgc
3.50 stars	Allah-Las - Allah Las	4.00 stars
3.00 stars	Armand Hammer - Paraffin	4.00 stars
4.00 stars	The Beach Boys - Pet Sounds	4.00 stars
4.00 stars	black midi - Schlagenheim	4.00 stars
4.00 stars	Art Blakey and The Jazz Messengers - Art Blakey and The Jazz Messengers [Moanin']	5.00 stars
3.50 stars	David Bowie - Station to Station	4.50 stars
3.50 stars	David Bowie - "Heroes"	4.50 stars
3.50 stars	Brockhampton - Iridescence	3.50 stars
3.00 stars	Nick Cave & The Bad Seeds - Skeleton Tree	3.50 stars
4.00 stars	Cloud Nothings - Attack on Memory	3.50 stars
4.00 stars	Cloud Nothings - Life Without Sound	3.50 stars
3.50 stars	Constant Mongrel - Living in Excellence	3.50 stars
3.50 stars	Crystal Stilts - In Love With Oblivion	4.00 stars
3.50 stars	Deerhunter - Fading Frontier	3.00 stars
4.00 stars	The Fall - Slates	4.00 stars
4.00 stars	Fleet Foxes - Crack-Up	4.00 stars
4.00 stars	The Fresh & Onlys - Play It Strange	4.00 stars
3.50 stars	Fugazi - Repeater	4.50 stars
4.00 stars	Gang of Four - Entertainment!	4.00 stars
3.00 stars	Girl Band - Holding Hands With Jamie	3.00 stars
4.00 stars	The Go-Betweens - Liberty Belle and the Black Diamond Express	4.00 stars
3.00 stars	Golden Pelicans - Disciples of Blood	3.50 stars
3.50 stars	Anna von Hausswolff - Dead Magic	4.00 stars
4.00 stars	James Holden & the Animal Spirits - The Animal Spirits	4.00 stars
4.00 stars	Holograms - Holograms	3.50 stars
3.50 stars	Hot Snakes - Jericho Sirens	4.00 stars
3.50 stars	Hüsker Dü - Everything Falls Apart	3.50 stars
4.00 stars	Hüsker Dü - New Day Rising	5.00 stars
4.50 stars	Institute - Subordination	3.50 stars
3.50 stars	Litku Klemetti - Juna Kainuuseen	3.00 stars
4.00 stars	Kendrick Lamar - DAMN.	4.00 stars
4.00 stars	Love - Forever Changes	5.00 stars
3.50 stars	Low - Things We Lost in the Fire	4.50 stars
3.50 stars	Meat Wave - The Incessant	3.00 stars
3.50 stars	The Men - Immaculada	3.50 stars
4.00 stars	MGMT - Little Dark Age	3.50 stars
3.50 stars	Tony Molina - Kill the Lights	3.00 stars
4.00 stars	Morphine - Cure for Pain	4.50 stars
3.50 stars	John Coltrane - My Favorite Things	4.50 stars
4.00 stars	Mingus - The Black Saint and the Sinner Lady	5.00 stars
4.00 stars	John Coltrane - A Love Supreme	5.00 stars
3.50 stars	Bob Dylan - Bringing It All Back Home	4.50 stars
3.50 stars	Bob Dylan - Highway 61 Revisited	4.50 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	5.00 stars
3.50 stars	The Beatles - Sgt. Pepper's Lonely Hearts Club Band	4.50 stars
4.00 stars	The Velvet Underground - The Velvet Underground	4.50 stars
3.50 stars	Miles Davis - In a Silent Way	4.50 stars
3.50 stars	The Who - Who's Next	4.50 stars
4.00 stars	Can - Tago Mago	4.50 stars
4.00 stars	David Bowie - Hunky Dory	4.50 stars
3.50 stars	Pharoah Sanders - Black Unity	4.00 stars
4.00 stars	David Bowie - The Rise and Fall of Ziggy Stardust and the Spiders From Mars	5.00 stars
3.50 stars	Lou Reed - Transformer	4.50 stars
4.00 stars	Iggy and The Stooges - Raw Power	4.50 stars
3.50 stars	David Bowie - Aladdin Sane	4.00 stars
4.00 stars	David Bowie - Low	4.50 stars
4.00 stars	Television - Marquee Moon	5.00 stars
3.50 stars	The Clash - The Clash	4.50 stars
4.00 stars	Ramones - Rocket to Russia	4.50 stars
4.50 stars	Wire - Pink Flag	5.00 stars
3.00 stars	Magazine - Real Life	4.00 stars
4.00 stars	Wire - Chairs Missing	5.00 stars
4.00 stars	Black Flag - Nervous Breakdown	4.00 stars
3.50 stars	Stiff Little Fingers - Inflammable Material	4.00 stars
3.50 stars	Joy Division - Unknown Pleasures	4.50 stars
4.00 stars	Wire - 154	4.50 stars
3.50 stars	The Feelies - Crazy Rhythms	4.50 stars
3.50 stars	Dead Kennedys - Fresh Fruit for Rotting Vegetables	4.00 stars
4.50 stars	Mission of Burma - Signals, Calls, and Marches	4.50 stars
4.50 stars	Mission of Burma - Vs.	4.50 stars
3.00 stars	New Order - Power, Corruption & Lies	4.00 stars
4.00 stars	The Smiths - The Smiths	4.00 stars
3.50 stars	Prince and The Revolution - Purple Rain	4.00 stars
4.00 stars	Hüsker Dü - Zen Arcade	4.50 stars
4.00 stars	The Replacements - Let It Be	4.50 stars
3.50 stars	The Smiths - Meat Is Murder	4.50 stars
4.00 stars	The Fall - This Nation's Saving Grace	4.50 stars
3.50 stars	Sonic Youth - EVOL	4.00 stars
