rental	Album	lawk_
3.00 stars	American Football - American Football	4.00 stars
3.50 stars	Bark Psychosis - Hex	3.50 stars
4.00 stars	Beat Happening - You Turn Me On	3.50 stars
3.50 stars	Death Grips - Niggas on the Moon: The Powers That B Disc 1	4.00 stars
3.50 stars	DNA - DNA on DNA	4.50 stars
4.00 stars	The Fall - Perverted by Language	3.50 stars
3.50 stars	Flipper - Album: Generic Flipper	4.00 stars
3.50 stars	Freak Heat Waves - Bonnie's State of Mind	4.50 stars
3.50 stars	Fugazi - Repeater	3.00 stars
4.00 stars	Gang of Four - Entertainment!	4.50 stars
3.00 stars	Girl Band - Holding Hands With Jamie	4.00 stars
3.00 stars	The Hecks - The Hecks	2.50 stars
4.50 stars	Hella - Hold Your Horse Is	3.50 stars
3.50 stars	Hellier Ulysses - Ulysses Hellier	3.50 stars
3.50 stars	Joy Division - Closer	4.50 stars
3.50 stars	The Microphones - The Glow Pt. 2	4.00 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	3.50 stars
4.00 stars	Captain Beefheart & His Magic Band - Trout Mask Replica	4.50 stars
3.50 stars	Faust - Faust	4.50 stars
4.00 stars	Can - Tago Mago	4.00 stars
4.50 stars	Can - Ege Bamyasi	4.00 stars
3.50 stars	Eno - Another Green World	4.00 stars
4.00 stars	Television - Marquee Moon	4.50 stars
4.00 stars	Suicide - Suicide	4.00 stars
4.50 stars	Wire - Pink Flag	4.00 stars
4.00 stars	Wire - Chairs Missing	4.00 stars
3.50 stars	Pere Ubu - Dub Housing	4.50 stars
4.00 stars	The Pop Group - Y	3.50 stars
3.50 stars	Joy Division - Unknown Pleasures	3.50 stars
4.50 stars	The Slits - Cut	3.50 stars
4.00 stars	PiL - Metal Box	4.50 stars
4.00 stars	X - Los Angeles	3.00 stars
3.50 stars	Gang of Four - Solid Gold	4.50 stars
4.00 stars	This Heat - Deceit	5.00 stars
4.00 stars	Glenn Branca - The Ascension	5.00 stars
4.50 stars	The Fall - Hex Enduction Hour	3.50 stars
3.50 stars	Sonic-Youth - Confusion Is Sex	4.00 stars
3.00 stars	Big Black - Racer-X	4.00 stars
3.50 stars	Sonic-Youth - Bad Moon Rising	3.50 stars
4.00 stars	Big Black - Atomizer	4.00 stars
3.50 stars	Sonic Youth - EVOL	3.00 stars
3.50 stars	Mars - 78	3.50 stars
3.50 stars	Big Black - Songs About Fucking	4.50 stars
3.50 stars	Pixies - Surfer Rosa	4.50 stars
4.00 stars	Sonic Youth - Daydream Nation	4.00 stars
3.50 stars	My Bloody Valentine - Isn't Anything	3.00 stars
4.50 stars	Pixies - Doolittle	4.50 stars
