rental	Album	mandroid
3.50 stars	Adolescents - Adolescents	4.50 stars
4.00 stars	Animal Collective - Fall Be Kind	4.00 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	4.00 stars
3.50 stars	Ausmuteants - Amusements	4.00 stars
3.50 stars	Ausmuteants - Order of Operation	4.00 stars
4.00 stars	Banque Allemande - Eins, Zwei	4.00 stars
4.50 stars	Banque Allemande - Willst du Chinese sein musst du die ekligen Sachen essen	4.00 stars
3.50 stars	Bare Wires - Seeking Love	4.00 stars
3.50 stars	Bark Psychosis - Hex	4.50 stars
3.50 stars	Bauhaus - In the Flat Field	4.50 stars
4.00 stars	The Beach Boys - Pet Sounds	4.50 stars
4.00 stars	Beat Happening - You Turn Me On	4.50 stars
3.50 stars	Big Blood - Space Gallery Jan. 27, 2007 / Sahara Club Jan. 28, 2007	4.50 stars
3.50 stars	Big Blood - Dark Country Magic	4.50 stars
3.50 stars	Blasted Canyons - Blasted Canyons	4.00 stars
3.50 stars	Дин Блант - Каменный остров (Stone Island)	4.00 stars
3.50 stars	Bongwater - Double Bummer	4.00 stars
3.50 stars	David Bowie - Station to Station	4.50 stars
3.50 stars	David Bowie - "Heroes"	3.50 stars
4.00 stars	Tim Buckley - Starsailor	5.00 stars
4.00 stars	Burial - Street Halo	4.00 stars
3.50 stars	Kate Bush - Hounds of Love	4.50 stars
3.00 stars	Cabbage - Nihilistic Glamour Shots	4.00 stars
4.00 stars	Can - Soundtracks	4.50 stars
3.50 stars	Carbonas - Carbonas	4.00 stars
4.00 stars	Chastity Belt - No Regerts	4.00 stars
4.00 stars	Chastity Belt - Time to Go Home	4.00 stars
4.00 stars	Cheater Slicks - Reality Is a Grape	4.00 stars
4.00 stars	Clockcleaner - Babylon Rules	4.00 stars
3.50 stars	Julian Cope - World Shut Your Mouth	4.50 stars
4.00 stars	Country Teasers - Satan Is Real Again or Feeling Good About Bad Thoughts	4.50 stars
4.00 stars	Crass - Penis Envy	4.50 stars
3.00 stars	Crocodiles - Sleep Forever	4.00 stars
3.50 stars	The Damned - Damned Damned Damned	4.50 stars
3.50 stars	Daughters - Daughters	3.50 stars
3.50 stars	Death Grips - Government Plates	4.00 stars
3.50 stars	Deerhunter - Fading Frontier	3.00 stars
3.50 stars	Destruction Unit - Deep Trip	4.50 stars
4.00 stars	Destruction Unit - Negative Feedback Resistor	4.50 stars
4.00 stars	DJ Screw - Bigtyme Vol II: All Screwed Up	4.50 stars
3.50 stars	DNA - DNA on DNA	4.00 stars
3.50 stars	The Dodos - Visiter	4.00 stars
3.50 stars	Nick Drake - Five Leaves Left	4.50 stars
3.50 stars	The Drones - Wait Long by the River and the Bodies of Your Enemies Will Float By	4.50 stars
3.50 stars	Dum Dum Girls - I Will Be	4.00 stars
4.00 stars	The Durutti Column - LC	4.50 stars
4.00 stars	Eddy Current Suppression Ring - Primary Colours	4.50 stars
3.50 stars	The Fall - Live at the Witch Trials	4.50 stars
4.00 stars	The Fall - Slates	4.50 stars
4.00 stars	The Fall - Perverted by Language	4.50 stars
