rental	Album	marshmallowc
4.00 stars	Bibio - Ambivalence Avenue	4.50 stars
3.50 stars	Big Zit - Electric Zit Vol. 1	4.00 stars
4.50 stars	Black Baron - Abject Skin	4.00 stars
4.00 stars	Blazing Eye - Ways to Die	4.00 stars
4.00 stars	Blotter - Under Armour '77	4.50 stars
3.50 stars	Booji Boys - Booji Boys	4.00 stars
4.00 stars	Tim Buckley - Starsailor	4.50 stars
4.00 stars	Chastity Belt - Time to Go Home	4.00 stars
3.50 stars	Cul de Sac - ECIM	3.50 stars
3.50 stars	Death Grips - Jenny Death: The Powers That B Disc 2	4.50 stars
3.50 stars	Deerhunter - Fading Frontier	4.00 stars
3.50 stars	D.L.I.M.C. - October Cassingle	4.50 stars
4.00 stars	D.L.I.M.C. - November Cassingle	5.00 stars
3.50 stars	The Drones - Feelin Kinda Free	4.50 stars
4.00 stars	Ducktails - The Flower Lane	3.00 stars
3.50 stars	EXEK - Biased Advice	4.00 stars
4.00 stars	Fleet Foxes - Crack-Up	4.50 stars
3.50 stars	The Gerogerigegege - 燃えない灰 (Moenai Hai)	4.50 stars
3.50 stars	Heat Dust - Heat Dust	4.00 stars
4.50 stars	Hella - Hold Your Horse Is	4.00 stars
3.50 stars	Hoops - Hoops	4.00 stars
4.00 stars	Ivy - A Cat's Cause, No Dogs Problem	4.50 stars
3.00 stars	Kero Kero Bonito - Bonito Generation	3.50 stars
3.50 stars	Litku Klemetti - Juna Kainuuseen	4.00 stars
3.00 stars	LAM - LAM	4.00 stars
4.00 stars	Kendrick Lamar - DAMN.	4.50 stars
3.50 stars	Curtis Mayfield - Superfly	4.50 stars
4.00 stars	Milk Music - Beyond Living	4.00 stars
4.50 stars	Milk Music - Mystic 100's	4.00 stars
4.00 stars	The Kinks - The Kinks Are the Village Green Preservation Society	5.00 stars
3.50 stars	The Pretty Things - S.F. Sorrow	4.00 stars
4.00 stars	The Gun Club - Fire of Love	5.00 stars
4.00 stars	Glenn Branca - The Ascension	4.50 stars
3.50 stars	XTC - Skylarking	4.00 stars
3.50 stars	Dinosaur Jr - Bug	4.50 stars
4.50 stars	Pixies - Doolittle	3.50 stars
5.00 stars	Slint - Spiderland	4.00 stars
5.00 stars	Pavement - Slanted and Enchanted	5.00 stars
4.50 stars	Pavement - Crooked Rain, Crooked Rain	4.00 stars
3.50 stars	Bedhead - WhatFunLifeWas	4.00 stars
3.50 stars	Modest Mouse - The Lonesome Crowded West	4.50 stars
3.50 stars	Duster - Stratosphere	4.50 stars
3.00 stars	Mercury Rev - Deserter's Songs	4.00 stars
3.50 stars	The Flaming Lips - The Soft Bulletin	4.50 stars
4.00 stars	The Magnetic Fields - 69 Love Songs	4.00 stars
3.50 stars	The Dismemberment Plan - Emergency & I	4.00 stars
3.00 stars	Lambchop - Nixon	4.00 stars
4.00 stars	Modest Mouse - The Moon & Antarctica	4.00 stars
4.00 stars	Unwound - Leaves Turn Inside You	4.00 stars
3.50 stars	Jay Munly - Jimmy Carter Syndrome	4.50 stars
4.00 stars	The Books - Thought for Food	4.00 stars
4.00 stars	of Montreal - Satanic Panic in the Attic	3.50 stars
4.00 stars	Sufjan Stevens - Illinois	4.00 stars
