rental	Album	meatierwhore
3.50 stars	Adolescents - Adolescents	4.00 stars
3.50 stars	Agent Orange - Living in Darkness	4.00 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	4.00 stars
3.50 stars	Ausmuteants - Order of Operation	3.00 stars
4.00 stars	Banque Allemande - Eins, Zwei	4.00 stars
3.00 stars	Bare Wires - Seeking Love	4.00 stars
3.00 stars	Bassholes - When My Blue Moon Turns Red Again	4.00 stars
3.00 stars	Bazooka - Bazooka	3.50 stars
3.50 stars	The Beatles - Abbey Road	3.50 stars
3.50 stars	Big Blood - Dark Country Magic	3.00 stars
3.00 stars	Bitch Prefect - Big Time	2.50 stars
3.50 stars	Blank Dogs - Diana (The Herald)	3.50 stars
3.00 stars	Blank Dogs - On Two Sides	3.50 stars
3.00 stars	Blank Dogs - Under and Under	4.00 stars
3.50 stars	Boards of Canada - Geogaddi	3.50 stars
3.50 stars	Boards of Canada - The Campfire Headphase	3.50 stars
3.50 stars	Boris - flood	4.00 stars
3.50 stars	David Bowie - "Heroes"	4.00 stars
4.00 stars	Butthole Surfers - Rembrandt Pussyhorse	4.00 stars
3.50 stars	Butthole Surfers - Locust Abortion Technician	4.00 stars
4.00 stars	Can - Soundtracks	4.00 stars
3.50 stars	Carbonas - Carbonas	3.50 stars
3.50 stars	The Celibate Rifles - The Turgid Miasma of Existence	3.50 stars
4.00 stars	Cheater Slicks - Reality Is a Grape	4.00 stars
3.50 stars	Cheveu - Cheveu	4.50 stars
3.50 stars	The Chickens - Chicken Shit	4.00 stars
3.00 stars	Children's Hospital - Alone Together	4.00 stars
4.00 stars	Clockcleaner - Babylon Rules	3.50 stars
4.00 stars	Cloud Nothings - Attack on Memory	3.00 stars
3.50 stars	Coil - Musick to Play in the Dark	3.50 stars
4.00 stars	Lloyd Cole and The Commotions - Rattlesnakes	3.00 stars
5.00 stars	Ornette Coleman - The Shape of Jazz to Come	5.00 stars
4.00 stars	Comus - First Utterance	3.00 stars
4.00 stars	Constant Mongrel - Everything Goes Wrong	3.00 stars
3.50 stars	Crystal Stilts - In Love With Oblivion	3.50 stars
4.00 stars	Cul de Sac - ECIM	3.50 stars
3.50 stars	Cul de Sac - Crashes to Light, Minutes to Its Fall	3.50 stars
4.00 stars	Richard Dawson - 2020	3.50 stars
3.50 stars	The Dead Texan - The Dead Texan	4.50 stars
4.00 stars	Deerhunter - Cryptograms	4.00 stars
4.00 stars	Destruction Unit - Deep Trip	3.00 stars
4.00 stars	Destruction Unit - Negative Feedback Resistor	4.00 stars
3.50 stars	Dinosaur Jr. - Beyond	4.00 stars
3.50 stars	Dirty Three - Ocean Songs	3.00 stars
3.50 stars	Disappears - Pre Language	3.00 stars
3.50 stars	DNA - DNA on DNA	3.50 stars
3.50 stars	Nick Drake - Five Leaves Left	4.00 stars
4.50 stars	The Drones - Wait Long by the River and the Bodies of Your Enemies Will Float By	4.00 stars
4.00 stars	The Drones - Gala Mill	3.00 stars
4.00 stars	Ducktails - The Flower Lane	3.00 stars
3.00 stars	Dum Dum Girls - I Will Be	3.00 stars
4.00 stars	Dum Dum Girls - Only in Dreams	3.50 stars
4.00 stars	Earth - The Bees Made Honey in the Lion's Skull	3.50 stars
4.00 stars	Eddy Current Suppression Ring - Primary Colours	4.50 stars
3.00 stars	Dylan Ettinger - New Age Outlaws	3.00 stars
3.00 stars	Fad Gadget - Fireside Favourites	3.50 stars
3.50 stars	John Fahey - Fare Forward Voyagers (Soldier's Choice)	4.50 stars
3.50 stars	feedtime - Feedtime	4.00 stars
3.50 stars	Flipper - Album: Generic Flipper	4.00 stars
3.50 stars	The Fresh & Onlys - Play It Strange	3.50 stars
3.50 stars	Fuck Buttons - Tarot Sport	3.50 stars
3.00 stars	Fucked Up - The Chemistry of Common Life	3.50 stars
4.00 stars	Gang of Four - Entertainment!	4.00 stars
3.00 stars	Gentleman Jesse and His Men - Leaving Atlanta	3.50 stars
3.00 stars	Golden Pelicans - Disciples of Blood	4.00 stars
4.00 stars	The Gooch Palms - Novo's	4.00 stars
3.50 stars	The Gooch Palms - Introverted Extroverts	4.00 stars
4.00 stars	Guided by Voices - Alien Lanes	3.00 stars
3.00 stars	Harlem - Hippies	3.50 stars
4.00 stars	Tim Hecker - Harmony in Ultraviolet	4.00 stars
4.50 stars	Hella - Hold Your Horse Is	4.00 stars
4.00 stars	Holograms - Holograms	3.00 stars
3.00 stars	Hoodoo Gurus - Stoneage Romeos	4.00 stars
3.50 stars	Jon Hopkins - Immunity	3.00 stars
3.50 stars	Rowland S. Howard - Teenage Snuff Film	4.50 stars
3.00 stars	The Human League - Reproduction	3.50 stars
4.00 stars	Hüsker Dü - New Day Rising	4.00 stars
4.00 stars	Idle Times - Idle Times	3.50 stars
3.50 stars	K-Holes - Dismania	3.00 stars
3.00 stars	Ed Kuepper - Honey Steel's Gold	4.00 stars
3.00 stars	LCD Soundsystem - This Is Happening	3.00 stars
4.00 stars	Love - Forever Changes	3.00 stars
4.50 stars	Low Life - Dogging	3.50 stars
2.50 stars	Magma - Mekanïk Destruktïw Kommandöh	3.00 stars
3.50 stars	Male Gaze - Gale Maze	3.50 stars
4.00 stars	The Mantles - The Mantles	3.50 stars
3.00 stars	The Mantles - Long Enough to Leave	3.50 stars
3.50 stars	Mclusky - The Difference Between Me and You Is That I'm Not on Fire	3.50 stars
3.00 stars	Dan Melchior - Assemblage Blues	3.00 stars
3.50 stars	The Men - Immaculada	3.50 stars
3.00 stars	Charlie Mingus - Blues & Roots	4.00 stars
