rental	Album	mohorte
3.50 stars	Adolescents - Adolescents	4.00 stars
3.50 stars	Allah-Las - Allah Las	3.00 stars
3.50 stars	Bastarda - Promitat eterno	4.00 stars
4.00 stars	Beat Happening - You Turn Me On	3.50 stars
4.00 stars	The Beatles - Abbey Road	4.00 stars
3.50 stars	The Beths - Future Me Hates Me	2.50 stars
3.00 stars	Bitch Prefect - Big Time	3.00 stars
2.50 stars	Blood Axis - The Gospel of Inhumanity	2.50 stars
3.50 stars	Booji Boys - Booji Boys	2.50 stars
3.50 stars	David Bowie - Station to Station	4.00 stars
3.50 stars	David Bowie - "Heroes"	4.00 stars
3.00 stars	The Cars - The Cars	3.00 stars
3.00 stars	The Church - Starfish	3.50 stars
3.00 stars	Clearance - "Rapid Rewards"	2.50 stars
4.00 stars	Cloud Nothings - Attack on Memory	3.50 stars
4.00 stars	Cloud Nothings - Life Without Sound	3.50 stars
4.00 stars	Lloyd Cole and The Commotions - Rattlesnakes	3.50 stars
3.00 stars	Crocodiles - Sleep Forever	3.50 stars
3.50 stars	Crystal Stilts - In Love With Oblivion	4.00 stars
3.50 stars	The Damned - Damned Damned Damned	3.50 stars
3.50 stars	Death Grips - Government Plates	3.50 stars
3.50 stars	Death Grips - Niggas on the Moon: The Powers That B Disc 1	3.50 stars
3.50 stars	Deerhoof - Breakup Song	3.00 stars
3.50 stars	Deerhunter - Fading Frontier	3.00 stars
4.00 stars	Descendents - Milo Goes to College	3.00 stars
3.50 stars	Destruction Unit - Deep Trip	3.50 stars
4.00 stars	Destruction Unit - Negative Feedback Resistor	3.50 stars
3.50 stars	Disappears - Pre Language	3.00 stars
3.50 stars	The Dodos - Visiter	3.50 stars
3.50 stars	Nick Drake - Five Leaves Left	4.00 stars
3.00 stars	Dreamdecay - Yú	3.50 stars
3.50 stars	The Drones - Wait Long by the River and the Bodies of Your Enemies Will Float By	3.50 stars
3.50 stars	The Drones - Feelin Kinda Free	3.00 stars
4.00 stars	The Durutti Column - LC	4.00 stars
3.50 stars	Eagulls - Ullages	3.00 stars
4.00 stars	Earth - The Bees Made Honey in the Lion's Skull	3.00 stars
3.50 stars	The Field Mice - Snowball	4.50 stars
4.00 stars	Fleet Foxes - Crack-Up	4.00 stars
2.50 stars	Foals - Total Life Forever	3.50 stars
4.00 stars	Fontaines D.C. - Dogrel	3.00 stars
4.00 stars	The Fresh & Onlys - Play It Strange	3.50 stars
3.50 stars	Fuck Buttons - Tarot Sport	3.00 stars
3.50 stars	Fugazi - Repeater	4.00 stars
4.00 stars	Gang of Four - Entertainment!	4.50 stars
3.00 stars	Girl Band - Holding Hands With Jamie	4.00 stars
3.50 stars	Girls - Album	3.00 stars
3.50 stars	Girls Names - The New Life	3.00 stars
4.00 stars	The Go-Betweens - Liberty Belle and the Black Diamond Express	4.00 stars
3.50 stars	Hala Strana - Fielding	3.50 stars
3.50 stars	Anna von Hausswolff - Dead Magic	4.00 stars
3.00 stars	Have a Nice Life - The Unnatural World	4.00 stars
3.50 stars	Tim Hecker - Virgins	4.00 stars
4.00 stars	James Holden & the Animal Spirits - The Animal Spirits	4.00 stars
4.00 stars	Holograms - Holograms	3.50 stars
4.00 stars	Hop Along - Bark Your Head Off, Dog	3.00 stars
3.50 stars	Jon Hopkins - Immunity	4.00 stars
3.50 stars	Hot Snakes - Jericho Sirens	3.50 stars
4.50 stars	Institute - Subordination	3.50 stars
4.50 stars	Institute - Readjusting the Locks	3.50 stars
3.00 stars	Jesu - Jesu	4.00 stars
3.50 stars	Litku Klemetti - Juna Kainuuseen	3.00 stars
3.00 stars	LCD Soundsystem - This Is Happening	3.00 stars
4.00 stars	Love - Forever Changes	5.00 stars
3.50 stars	The Mantles - Long Enough to Leave	3.00 stars
3.00 stars	MGMT - MGMT	3.50 stars
3.50 stars	Tony Molina - Kill the Lights	3.50 stars
3.00 stars	Morrissey - Viva Hate	3.50 stars
3.50 stars	Bob Dylan - Bringing It All Back Home	4.00 stars
3.50 stars	Bob Dylan - Highway 61 Revisited	4.50 stars
3.50 stars	Bob Dylan - Blonde on Blonde	4.50 stars
3.00 stars	The Byrds - Younger Than Yesterday	3.50 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	4.00 stars
3.50 stars	The Beatles - Sgt. Pepper's Lonely Hearts Club Band	4.00 stars
