rental	Album	myfriedme
3.50 stars	Adolescents - Adolescents	4.00 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	4.50 stars
4.00 stars	William Basinski - The Disintegration Loops	5.00 stars
3.50 stars	William Basinski - The Disintegration Loops III	4.50 stars
4.00 stars	Beat Happening - You Turn Me On	4.00 stars
4.00 stars	The Books - The Lemon of Pink	5.00 stars
3.50 stars	Boris - flood	4.00 stars
4.00 stars	Burial - Street Halo	4.50 stars
3.50 stars	Frantz Casseus - Haitian Dances	4.00 stars
3.50 stars	Chuck Person - Chuck Person's Eccojams Vol. 1	3.50 stars
4.50 stars	Cindy Lee - What's Tonight to Eternity	4.50 stars
4.00 stars	Cloud Nothings - Attack on Memory	5.00 stars
3.00 stars	Cult Ritual - Cult Ritual	4.00 stars
3.50 stars	Miles Davis - Get Up With It	4.50 stars
3.50 stars	Death Grips - No Love Deep Web	4.50 stars
3.50 stars	Death Grips - Government Plates	3.00 stars
4.00 stars	Deerhunter - Fluorescent Grey	4.50 stars
4.00 stars	Deerhunter - Cryptograms	5.00 stars
3.50 stars	Deerhunter - Fading Frontier	3.00 stars
4.00 stars	Lana Del Rey - Norman Fucking Rockwell!	4.50 stars
3.50 stars	DJ Screw - Bigtyme Vol II: All Screwed Up	4.00 stars
3.50 stars	Fuck Buttons - Tarot Sport	4.00 stars
4.00 stars	Alex G - Beach Music	4.00 stars
3.50 stars	Girlpool - Before the World Was Big	3.50 stars
3.00 stars	Grimes - Visions	2.50 stars
3.50 stars	Tim Hecker - Virgins	4.50 stars
3.50 stars	Hellier Ulysses - Ulysses Hellier	4.00 stars
3.50 stars	Jon Hopkins - Immunity	4.50 stars
4.00 stars	Ata Kak - Obaa Sima	4.50 stars
4.00 stars	Kendrick Lamar - To Pimp a Butterfly	4.00 stars
4.00 stars	Kendrick Lamar - DAMN.	4.00 stars
3.00 stars	LCD Soundsystem - This Is Happening	4.00 stars
4.00 stars	Makthaverskan - Makthaverskan II	4.50 stars
3.50 stars	Male Bonding - Nothing Hurts	4.50 stars
3.50 stars	Mall Grab - Sun Ra EP	4.00 stars
4.00 stars	Mobb Deep - The Infamous	4.50 stars
4.00 stars	Modest Mouse - This Is a Long Drive for Someone With Nothing to Think About	5.00 stars
4.00 stars	Mingus - The Black Saint and the Sinner Lady	4.00 stars
4.00 stars	John Coltrane - A Love Supreme	4.50 stars
4.50 stars	Jackson C. Frank - Jackson C. Frank	4.00 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	5.00 stars
3.50 stars	Van Morrison - Astral Weeks	4.00 stars
4.00 stars	The Velvet Underground - The Velvet Underground	4.50 stars
3.50 stars	Pharoah Sanders - Karma	4.00 stars
3.50 stars	Miles Davis - In a Silent Way	4.50 stars
3.50 stars	Popol Vuh - Hosianna Mantra	4.00 stars
4.00 stars	Nick Drake - Pink Moon	5.00 stars
4.00 stars	Eno - Another Green World	4.50 stars
3.00 stars	Patti Smith - Horses	4.00 stars
3.50 stars	The Modern Lovers - The Modern Lovers	4.00 stars
4.50 stars	Robbie Basho - Visions of the Country	4.50 stars
3.50 stars	Brian Eno - Ambient 1: Music for Airports	4.50 stars
4.00 stars	Black Flag - Nervous Breakdown	4.00 stars
3.50 stars	Contortions - Buy	4.00 stars
4.00 stars	Joy Division - Unknown Pleasures	5.00 stars
4.00 stars	Mission of Burma - Signals, Calls, and Marches	4.50 stars
4.00 stars	This Heat - Deceit	4.50 stars
3.50 stars	The Faith / Void - The Faith / Void	4.50 stars
3.50 stars	Violent Femmes - Violent Femmes	4.00 stars
3.00 stars	New Order - Power, Corruption & Lies	4.00 stars
3.50 stars	Manuel Göttsching - E2-E4	4.00 stars
4.50 stars	The Replacements - Let It Be	4.50 stars
4.50 stars	Dinosaur - You're Living All Over Me	4.00 stars
4.00 stars	Galaxie 500 - Today	5.00 stars
4.00 stars	Sonic Youth - Daydream Nation	4.50 stars
4.00 stars	Galaxie 500 - On Fire	5.00 stars
4.50 stars	Slint - Spiderland	5.00 stars
3.50 stars	A Tribe Called Quest - The Low End Theory	4.00 stars
4.00 stars	Talk Talk - Laughing Stock	4.00 stars
5.00 stars	Pavement - Slanted and Enchanted	4.50 stars
3.50 stars	Red House Painters - Down Colorful Hill	4.50 stars
3.50 stars	Swirlies - Blonder Tongue Audio Baton	4.00 stars
3.50 stars	Slowdive - Souvlaki	4.50 stars
4.50 stars	Yo La Tengo - Painful	5.00 stars
3.00 stars	Eric's Trip - Love Tara	4.00 stars
3.50 stars	Wu-Tang Clan - Enter the Wu-Tang (36 Chambers)	4.50 stars
4.50 stars	Pavement - Crooked Rain, Crooked Rain	5.00 stars
3.00 stars	Drive Like Jehu - Yank Crime	4.00 stars
4.50 stars	Guided by Voices - Bee Thousand	5.00 stars
3.50 stars	Portishead - Dummy	4.50 stars
4.00 stars	Oval - 94 Diskont	4.50 stars
4.00 stars	Tortoise - Millions Now Living Will Never Die	4.50 stars
3.50 stars	Stereolab - Emperor Tomato Ketchup	4.00 stars
4.00 stars	Aphex Twin - Richard D. James Album	4.00 stars
3.50 stars	DJ Shadow - Endtroducing.....	4.50 stars
3.50 stars	Built to Spill - Perfect From Now On	4.50 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	5.00 stars
3.50 stars	Unwound - Challenge for a Civilized Society	4.50 stars
3.50 stars	GAS - Zauberberg	4.00 stars
4.00 stars	Tortoise - TNT	4.50 stars
4.00 stars	Triple Six Mafia - Underground Vol. 1: 1991-1994	4.50 stars
4.00 stars	Loren MazzaCane Connors - Airs	5.00 stars
4.00 stars	Jim O'Rourke - Halfway to a Threeway	5.00 stars
4.00 stars	Yo La Tengo - And Then Nothing Turned Itself Inside-Out	5.00 stars
4.00 stars	Modest Mouse - The Moon & Antarctica	5.00 stars
3.50 stars	Jan Jelinek - Loop-finding-jazz-records	4.50 stars
5.00 stars	Life Without Buildings - Any Other City	5.00 stars
4.50 stars	Joy Division - Les Bains Douches 18 December 1979	4.00 stars
3.50 stars	múm - Yesterday Was Dramatic - Today Is OK	3.50 stars
4.00 stars	Unwound - Leaves Turn Inside You	5.00 stars
4.00 stars	Indian Summer - Science 1994	5.00 stars
4.50 stars	Wilco - Yankee Hotel Foxtrot	4.50 stars
4.00 stars	Broken Social Scene - You Forgot It in People	4.50 stars
3.50 stars	Yeah Yeah Yeahs - Fever to Tell	4.50 stars
4.50 stars	Madvillain - Madvillainy	5.00 stars
3.50 stars	Animal Collective - Sung Tongs	3.00 stars
4.00 stars	Animal Collective - Feels	4.00 stars
5.00 stars	J Dilla - Donuts	5.00 stars
3.50 stars	Panda Bear - Person Pitch	4.00 stars
4.00 stars	Animal Collective - Strawberry Jam	4.00 stars
4.00 stars	Radiohead - In Rainbows	4.00 stars
4.00 stars	Burial - Untrue	4.50 stars
4.00 stars	Have a Nice Life - Deathconsciousness	4.50 stars
3.50 stars	Fuck Buttons - Street Horrrsing	4.50 stars
3.50 stars	Beach House - Devotion	4.00 stars
4.00 stars	Portishead - Third	5.00 stars
4.50 stars	Deerhunter - Microcastle / Weird Era Continued	5.00 stars
5.00 stars	Animal Collective - Merriweather Post Pavilion	4.50 stars
4.00 stars	Thee Oh Sees - Help	4.00 stars
3.50 stars	Tyler, the Creator - Bastard	4.00 stars
3.00 stars	Vampire Weekend - Contra	3.50 stars
4.50 stars	Beach House - Teen Dream	4.50 stars
4.00 stars	Ariel Pink's Haunted Graffiti - Before Today	4.50 stars
4.50 stars	Deerhunter - Halcyon Digest	5.00 stars
5.00 stars	Women - Public Strain	5.00 stars
4.00 stars	Iceage - New Brigade	5.00 stars
4.00 stars	Death Grips - Exmilitary	4.00 stars
4.50 stars	The Men - Leave Home	4.50 stars
4.50 stars	Unknown Mortal Orchestra - Unknown Mortal Orchestra	4.00 stars
3.50 stars	SBTRKT - SBTRKT	4.00 stars
4.00 stars	John Maus - We Must Become the Pitiless Censors of Ourselves	4.00 stars
4.00 stars	Danny Brown - XXX	5.00 stars
4.00 stars	Thee Oh Sees - Carrion Crawler / The Dream EP	4.50 stars
4.00 stars	The Men - Open Your Heart	5.00 stars
3.50 stars	Death Grips - The Money Store	4.50 stars
4.00 stars	Beach House - Bloom	4.50 stars
3.50 stars	Frank Ocean - channel ORANGE	3.00 stars
5.00 stars	Parquet Courts - Light Up Gold	4.00 stars
4.00 stars	Grizzly Bear - Shields	4.00 stars
4.00 stars	Tame Impala - Lonerism	4.00 stars
3.00 stars	METZ - METZ	3.00 stars
4.00 stars	Mac DeMarco - 2	4.00 stars
4.00 stars	Kendrick Lamar - good kid, m.A.A.d city	4.50 stars
3.50 stars	My Bloody Valentine - m b v	3.50 stars
4.50 stars	Iceage - You're Nothing	4.50 stars
3.50 stars	DJ Rashad - Rollin'	4.00 stars
3.00 stars	James Blake - Overgrown	3.00 stars
4.50 stars	Deerhunter - Monomania	4.50 stars
3.50 stars	Vampire Weekend - Modern Vampires of the City	4.50 stars
3.50 stars	Deafheaven - Sunbather	3.50 stars
4.00 stars	Huerco S. - Colonial Patterns	4.00 stars
4.00 stars	Oneohtrix Point Never - R Plus Seven	5.00 stars
3.50 stars	Darkside - Psychic	4.00 stars
3.00 stars	Guerilla Toss - Gay Disco	4.00 stars
4.00 stars	Freddie Gibbs & Madlib - Piñata	4.50 stars
3.50 stars	Cloud Nothings - Here and Nowhere Else	3.50 stars
4.00 stars	Mac DeMarco - Salad Days	4.00 stars
4.00 stars	Ought - More Than Any Other Day	4.50 stars
3.50 stars	Parquet Courts - Sunbathing Animal	4.00 stars
4.00 stars	Alex G - DSU	5.00 stars
4.00 stars	Parkay Quarts - Content Nausea	5.00 stars
3.50 stars	Twerps - Range Anxiety	4.00 stars
4.00 stars	Levon Vincent - Levon Vincent	4.50 stars
4.00 stars	Earl Sweatshirt - I Don't Like Shit, I Don't Go Outside	4.00 stars
3.50 stars	Courtney Barnett - Sometimes I Sit and Think, and Sometimes I Just Sit	3.50 stars
4.00 stars	Lower Dens - Escape From Evil	4.00 stars
4.00 stars	Corridor - Le voyage éternel	4.00 stars
4.50 stars	Beach House - Depression Cherry	4.50 stars
3.50 stars	Oneohtrix Point Never - Garden of Delete	4.00 stars
4.50 stars	Cindy Lee - Act of Tenderness	3.50 stars
4.00 stars	David Bowie - ★ [Blackstar]	4.50 stars
4.00 stars	Hellier Ulysses - Prime Example	3.00 stars
3.50 stars	Leon Vynehall - Rojus (Designed to Dance)	4.00 stars
3.50 stars	Death Grips - Bottomless Pit	4.50 stars
3.00 stars	Jessy Lanza - Oh No	3.50 stars
4.00 stars	Car Seat Headrest - Teens of Denial	5.00 stars
3.50 stars	Huerco S. - For Those of You Who Have Never (And Also Those Who Have)	4.00 stars
4.00 stars	Angel Olsen - MY WOMAN	5.00 stars
4.00 stars	Danny Brown - Atrocity Exhibition	4.50 stars
4.50 stars	Weyes Blood - Front Row Seat to Earth	4.00 stars
3.50 stars	Carla dal Forno - You Know What It's Like	4.00 stars
3.50 stars	A Tribe Called Quest - We got it from Here… Thank You 4 Your service	4.50 stars
3.50 stars	Mac DeMarco - This Old Dog	4.50 stars
3.50 stars	Milo - Who Told You to Think​?​?​!​!​?​!​?​!​?​!	4.00 stars
3.50 stars	Bibio - Phantom Brickworks	4.00 stars
3.50 stars	DJ Healer - Nothing 2 Loose	4.00 stars
3.00 stars	Chris Reimer - Hello People	3.50 stars
3.50 stars	Iceage - Beyondless	3.50 stars
4.50 stars	Parquet Courts - Wide Awaaaaake!	4.50 stars
4.00 stars	Pusha T - DAYTONA	4.00 stars
3.50 stars	Yves Tumor - Safe in the Hands of Love	4.00 stars
3.50 stars	Low - Double Negative	4.00 stars
3.50 stars	Eli Keszler - Stadium	3.50 stars
4.50 stars	Earl Sweatshirt - Some Rap Songs	4.50 stars
3.50 stars	Deerhunter - Why Hasn't Everything Already Disappeared?	4.00 stars
3.00 stars	Pom Poko - Birthday	3.50 stars
4.00 stars	Little Simz - Grey Area	4.00 stars
3.50 stars	Uranium Club - The Cosmo Cleaners	4.00 stars
3.50 stars	Fennesz - Agora	4.00 stars
4.00 stars	Weyes Blood - Titanic Rising	5.00 stars
3.00 stars	Vampire Weekend - Father of the Bride	3.50 stars
3.50 stars	Big Thief - U.F.O.F.	4.50 stars
3.00 stars	Bill Callahan - Shepherd in a Sheepskin Vest	4.00 stars
4.00 stars	black midi - Schlagenheim	4.00 stars
4.00 stars	Freddie Gibbs & Madlib - Bandana	4.50 stars
4.00 stars	Purple Mountains - Purple Mountains	4.50 stars
4.00 stars	Danny Brown - uknowhatimsayin¿	3.50 stars
4.00 stars	Big Thief - Two Hands	4.50 stars
4.00 stars	Liturgy - H.A.Q.Q.	4.50 stars
4.00 stars	Duster - Duster	4.50 stars
4.00 stars	My Bloody Valentine - Loveless	5.00 stars
4.00 stars	Neutral Milk Hotel - In the Aeroplane Over the Sea	3.50 stars
3.50 stars	Nivhek - After Its Own Death / Walking in a Spiral Towards the House	4.00 stars
3.50 stars	No Age - Losing Feeling	4.50 stars
3.00 stars	No Age - Snares Like a Haircut	4.00 stars
3.50 stars	Áine O'Dwyer - Music for Church Cleaners Vol. I and II	4.50 stars
3.50 stars	Obnox - Louder Space	3.50 stars
3.50 stars	Angel Olsen - Half Way Home	4.00 stars
4.00 stars	Angel Olsen - Burn Your Fire for No Witness	4.50 stars
4.00 stars	Oneohtrix Point Never - Replica	5.00 stars
5.00 stars	Parquet Courts - Human Performance	4.50 stars
3.50 stars	Perfect Pussy - I Have Lost All Desire for Feeling	4.50 stars
4.00 stars	Ariel Pink - Pom Pom	4.50 stars
4.00 stars	Ariel Pink - Dedicated to Bobby Jameson	4.00 stars
3.50 stars	Posse - Horse Blanket	4.50 stars
3.50 stars	Jessica Pratt - On Your Own Love Again	3.00 stars
4.00 stars	Viet Cong - Cassette	4.50 stars
4.00 stars	Viet Cong - Viet Cong	4.50 stars
4.50 stars	Protomartyr - Under Color of Official Right	4.00 stars
4.00 stars	Protomartyr - The Agent Intellect	4.00 stars
3.50 stars	Jay Reatard - Blood Visions	4.50 stars
4.00 stars	Royal Headache - Royal Headache	4.00 stars
4.50 stars	Sheer Mag - Sheer Mag	4.50 stars
4.00 stars	Sufjan Stevens - Carrie & Lowell	4.00 stars
4.00 stars	Supreme Dicks - The Emotional Plague	3.50 stars
4.00 stars	Talk Talk - Spirit of Eden	4.00 stars
4.00 stars	Uranium Club - All of Them Naturals	5.00 stars
4.00 stars	U.S. Maple - Long Hair in Three Stages	3.50 stars
4.00 stars	Chad VanGaalen - Diaper Island	3.50 stars
3.50 stars	Various Artists - Mono no aware	4.00 stars
4.50 stars	The Velvet Underground - White Light / White Heat	4.50 stars
3.50 stars	Wolves in the Throne Room - Two Hunters	4.00 stars
4.50 stars	Women - Women	4.50 stars
4.50 stars	Women - Service Animal / Grey Skies	4.50 stars
4.00 stars	Neil Young - After the Gold Rush	4.50 stars
rental and myfriedme disagree: (69)
rental	Album	myfriedme
3.00 stars	American Football - American Football	5.00 stars
3.50 stars	Girls - Album	5.00 stars
3.50 stars	Grouper - Dragging a Dead Deer Up a Hill	5.00 stars
3.50 stars	Joy Division - Closer	5.00 stars
3.00 stars	Kali Malone - The Sacrificial Code	4.50 stars
3.50 stars	The Microphones - The Glow Pt. 2	5.00 stars
3.00 stars	Joni Mitchell - Blue	4.50 stars
3.50 stars	Miles Davis - Kind of Blue	5.00 stars
3.50 stars	John Coltrane - My Favorite Things	5.00 stars
3.50 stars	Leonard Cohen - Songs of Leonard Cohen	5.00 stars
3.50 stars	Neil Young - On the Beach	5.00 stars
3.00 stars	Nuno Canavarro - Plux Quba	4.50 stars
3.00 stars	The Nation of Ulysses - Plays Pretty for Baby	4.50 stars
3.00 stars	The Pharcyde - Bizarre Ride II the Pharcyde	4.50 stars
3.50 stars	Low - I Could Live in Hope	5.00 stars
3.50 stars	Unwound - New Plastic Ideas	5.00 stars
3.50 stars	Nas - Illmatic	5.00 stars
3.50 stars	Weezer - Weezer [Blue Album]	5.00 stars
3.00 stars	Elliott Smith - Either / Or	4.50 stars
3.50 stars	Modest Mouse - The Lonesome Crowded West	5.00 stars
3.50 stars	Gastr del Sol - Camoufleur	5.00 stars
3.50 stars	Duster - Stratosphere	5.00 stars
3.00 stars	Smog - Knock Knock	4.50 stars
3.00 stars	Built to Spill - Keep It Like a Secret	4.50 stars
3.50 stars	The Dismemberment Plan - Emergency & I	5.00 stars
3.50 stars	Modest Mouse - Building Nothing Out of Something	5.00 stars
3.00 stars	Clinic - Internal Wrangler	4.50 stars
3.50 stars	Jim O'Rourke - Insignificance	5.00 stars
3.00 stars	Tim Hecker - Haunt Me, Haunt Me Do It Again	4.50 stars
3.50 stars	...And You Will Know Us by the Trail of Dead - Source Tags & Codes	5.00 stars
3.00 stars	Sonic Youth - Murray Street	4.50 stars
3.50 stars	Interpol - Turn On the Bright Lights	5.00 stars
3.50 stars	The Microphones - Mount Eerie	5.00 stars
3.00 stars	Sleep - Dopesmoker	4.50 stars
3.50 stars	Rocky Dennis - Maple Leaves	5.00 stars
2.50 stars	Bloc Party - Silent Alarm	4.00 stars
3.50 stars	Jens Lekman - Night Falls Over Kortedala	5.00 stars
3.00 stars	DJ Sprinkles - Midtown 120 Blues	5.00 stars
3.50 stars	Mount Eerie with Julie Doiron & Fred Squire - Lost Wisdom	5.00 stars
3.50 stars	Japandroids - Post-Nothing	5.00 stars
3.00 stars	Four Tet - There Is Love in You	5.00 stars
3.00 stars	Emeralds - Does It Look Like I'm Here?	4.50 stars
3.00 stars	Oneohtrix Point Never - Returnal	4.50 stars
3.50 stars	Twin Shadow - Forget	5.00 stars
3.50 stars	Kanye West - My Beautiful Dark Twisted Fantasy	5.00 stars
3.50 stars	Destroyer - Kaputt	5.00 stars
3.50 stars	Yuck - Yuck	5.00 stars
3.00 stars	Shabazz Palaces - Black Up	5.00 stars
3.50 stars	Real Estate - Days	5.00 stars
3.00 stars	Lil B - God's Father	4.50 stars
3.00 stars	Lower - Walk on Heads	5.00 stars
3.00 stars	Japandroids - Celebration Rock	4.50 stars
3.50 stars	Alex G - Trick	5.00 stars
3.00 stars	Dirty Beaches - Drifters / Love Is the Devil	4.50 stars
3.00 stars	Kanye West - Yeezus	4.50 stars
3.50 stars	The Avalanches - Wildflower	5.00 stars
3.00 stars	Mount Eerie - A Crow Looked at Me	5.00 stars
3.00 stars	Kids See Ghosts - Kids See Ghosts	4.50 stars
2.50 stars	The Pains of Being Pure at Heart - The Pains of Being Pure at Heart	4.50 stars
3.50 stars	Jai Paul - Leak 04-13 (Bait Ones)	5.00 stars
3.00 stars	Posse - Soft Opening	5.00 stars
3.50 stars	Steve Reich - Music for 18 Musicians	5.00 stars
3.00 stars	Royal Headache - High	4.50 stars
3.00 stars	Skee Mask - Compro	4.50 stars
2.50 stars	Sun Kil Moon - Benji	5.00 stars
3.00 stars	TV on the Radio - Return to Cookie Mountain	4.50 stars
3.50 stars	Uranium Club - The Minneapolis Uranium Club Band Performs Human Exploration	5.00 stars
3.00 stars	Weekend - Sports	4.50 stars
2.50 stars	Youth Lagoon - The Year of Hibernation	4.00 stars
