rental	Album	nervousb
3.50 stars	Abe Vigoda - Reviver	3.50 stars
3.50 stars	Adolescents - Adolescents	4.50 stars
3.00 stars	American Football - American Football	4.00 stars
3.50 stars	Amyl and The Sniffers - Amyl and The Sniffers	3.00 stars
4.00 stars	Animal Collective - Fall Be Kind	4.00 stars
3.00 stars	Armand Hammer - Paraffin	3.00 stars
3.50 stars	Ausmuteants - Amusements	3.50 stars
3.50 stars	Ausmuteants - Order of Operation	3.50 stars
3.50 stars	Bark Psychosis - Hex	4.00 stars
3.50 stars	Bauhaus - In the Flat Field	3.50 stars
4.00 stars	The Beach Boys - Pet Sounds	4.50 stars
4.00 stars	Beat Happening - You Turn Me On	5.00 stars
4.00 stars	Belle & Sebastian - Dear Catastrophe Waitress	3.50 stars
4.00 stars	Black Eyes - Black Eyes	4.00 stars
3.50 stars	Black Eyes - Cough	4.00 stars
4.00 stars	black midi - Schlagenheim	3.50 stars
3.00 stars	James Blake - Assume Form	2.50 stars
3.50 stars	Boards of Canada - The Campfire Headphase	3.50 stars
4.00 stars	The Books - The Lemon of Pink	4.00 stars
3.50 stars	David Bowie - Station to Station	4.00 stars
3.50 stars	David Bowie - "Heroes"	4.00 stars
3.50 stars	Kate Bush - Hounds of Love	4.00 stars
4.00 stars	Butthole Surfers - Rembrandt Pussyhorse	4.00 stars
3.00 stars	Cabaret Voltaire - Red Mecca	4.00 stars
4.00 stars	Can - Soundtracks	3.50 stars
4.50 stars	The Cannanes - A Love Affair With Nature	4.50 stars
3.50 stars	The Cannanes - Caveat Emptor	4.00 stars
3.00 stars	Nick Cave & The Bad Seeds - Skeleton Tree	3.50 stars
3.50 stars	Chain and the Gang - Best of Crime Rock	3.50 stars
4.00 stars	Chain and the Gang - Experimental Music	3.50 stars
4.00 stars	Chastity Belt - Time to Go Home	3.00 stars
4.00 stars	Chastity Belt - I Used to Spend So Much Time Alone	3.50 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.00 stars
4.00 stars	Cloud Nothings - Life Without Sound	3.00 stars
4.50 stars	Coil - Horse Rotorvator	4.00 stars
3.50 stars	Constant Mongrel - Living in Excellence	4.00 stars
4.00 stars	Country Teasers - Satan Is Real Again or Feeling Good About Bad Thoughts	4.00 stars
4.50 stars	Crack Cloud - Crack Cloud	4.00 stars
3.50 stars	Cul de Sac - ECIM	3.50 stars
3.50 stars	Daughters - Daughters	3.50 stars
3.50 stars	Deerhoof - Breakup Song	4.00 stars
3.50 stars	Deerhunter - Rainwater Cassette Exchange	3.50 stars
3.50 stars	Deerhunter - Fading Frontier	3.50 stars
4.00 stars	Lana Del Rey - Norman Fucking Rockwell!	3.50 stars
4.00 stars	Descendents - Milo Goes to College	5.00 stars
4.00 stars	The Dicks - The Dicks Hate the Police / Lifetime Problems / All Night Fever	4.50 stars
3.50 stars	Dinosaur Jr. - Beyond	4.00 stars
3.50 stars	DNA - DNA on DNA	4.00 stars
3.50 stars	The Dodos - Visiter	3.00 stars
3.50 stars	Nick Drake - Five Leaves Left	4.00 stars
4.00 stars	Ducktails - The Flower Lane	4.00 stars
3.50 stars	Ducktails - Jersey Devil	2.50 stars
3.50 stars	Duds - Of a Nature or Degree	3.50 stars
3.50 stars	Dum Dum Girls - I Will Be	3.00 stars
3.50 stars	Eagulls - Ullages	3.00 stars
3.50 stars	Essential Logic - Beat Rhythm News	3.50 stars
3.50 stars	The Ex - Dizzy Spells	3.50 stars
3.50 stars	EXEK - Biased Advice	3.00 stars
4.50 stars	EXEK - Ahead of Two Thoughts	3.50 stars
3.50 stars	EXEK - Some Beautiful Species Left	3.50 stars
3.00 stars	Fad Gadget - Fireside Favourites	4.00 stars
3.50 stars	The Fall - Live at the Witch Trials	4.00 stars
4.00 stars	The Fall - Slates	4.00 stars
4.00 stars	The Fall - Perverted by Language	4.50 stars
3.50 stars	Flipper - Album: Generic Flipper	4.50 stars
3.50 stars	Fuck Buttons - Tarot Sport	4.00 stars
4.00 stars	Gang of Four - Entertainment!	5.00 stars
3.50 stars	Girlpool - Before the World Was Big	3.50 stars
3.50 stars	Girls - Album	4.00 stars
3.50 stars	The Go-Betweens - Spring Hill Fair	3.50 stars
4.00 stars	The Go-Betweens - Liberty Belle and the Black Diamond Express	4.00 stars
3.50 stars	Go-Betweens - Tallulah	3.50 stars
4.50 stars	The Go-Betweens - 16 Lovers Lane	4.50 stars
3.00 stars	Grimes - Visions	3.50 stars
3.50 stars	Grouper - Dragging a Dead Deer Up a Hill	3.00 stars
4.00 stars	Guided by Voices - Alien Lanes	5.00 stars
3.00 stars	Harlem - Hippies	3.00 stars
4.00 stars	Holograms - Holograms	3.00 stars
3.50 stars	Hot Snakes - Jericho Sirens	3.00 stars
2.50 stars	Household - Items	3.50 stars
4.00 stars	Hüsker Dü - New Day Rising	5.00 stars
3.50 stars	Impalers - Cellar Dweller	3.50 stars
4.50 stars	Institute - Subordination	3.50 stars
4.50 stars	Institute - Readjusting the Locks	3.50 stars
4.00 stars	Kendrick Lamar - DAMN.	3.50 stars
2.50 stars	Landowner - Blatant	3.50 stars
3.00 stars	LCD Soundsystem - This Is Happening	4.00 stars
4.00 stars	Les Savy Fav - Inches	4.00 stars
3.00 stars	Lolina - The Smoke	3.50 stars
3.50 stars	The Lounge Lizards - The Lounge Lizards	3.50 stars
4.00 stars	Love - Forever Changes	4.00 stars
3.50 stars	Low - Things We Lost in the Fire	4.00 stars
3.50 stars	Lower Dens - The Competition	3.50 stars
4.50 stars	Low Life - Dogging	3.50 stars
3.00 stars	Lumpy and The Dumpers - Those Pickled Fuckers	4.00 stars
3.50 stars	Male Bonding - Nothing Hurts	3.50 stars
4.00 stars	The Mantles - The Mantles	3.00 stars
4.00 stars	John Maus - A Collection of Rarities and Previously Unreleased Material	3.50 stars
4.00 stars	John Maus - Addendum	3.00 stars
3.50 stars	The Mekons - The Quality of Mercy Is Not Strnen	3.50 stars
3.50 stars	Menomena - Friend and Foe	3.00 stars
4.00 stars	MGMT - Little Dark Age	3.00 stars
3.50 stars	The Microphones - The Glow Pt. 2	4.50 stars
4.00 stars	Milk Music - Beyond Living	4.00 stars
4.00 stars	Milk Music - Cruise Your Illusion	3.50 stars
4.50 stars	Milk Music - Mystic 100's	4.00 stars
3.50 stars	Minutemen - Buzz or Howl Under the Influence of Heat	4.50 stars
4.50 stars	Moondog - Moondog	4.00 stars
3.00 stars	Morrissey - Viva Hate	3.50 stars
3.50 stars	The Sonics - Here Are The Sonics!!!	4.00 stars
3.50 stars	Bob Dylan - Highway 61 Revisited	4.00 stars
3.50 stars	Bob Dylan - Blonde on Blonde	4.00 stars
3.00 stars	The Byrds - Younger Than Yesterday	3.50 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	5.00 stars
3.00 stars	Captain Beefheart and His Magic Band - Safe as Milk	4.00 stars
3.50 stars	Leonard Cohen - Songs of Leonard Cohen	4.00 stars
3.00 stars	The Peter Brötzmann Octet - Machine Gun	4.00 stars
4.00 stars	The Zombies - Odessey and Oracle	3.50 stars
3.50 stars	Os Mutantes - Os Mutantes	4.00 stars
4.00 stars	The Kinks - The Kinks Are the Village Green Preservation Society	4.00 stars
3.50 stars	Van Morrison - Astral Weeks	4.00 stars
4.00 stars	The Velvet Underground - The Velvet Underground	5.00 stars
4.00 stars	Captain Beefheart & His Magic Band - Trout Mask Replica	4.00 stars
4.00 stars	The Can - Monster Movie	4.00 stars
3.00 stars	The Stooges - The Stooges	4.00 stars
4.50 stars	Scott Engel - Scott 4	3.50 stars
4.00 stars	Mayo Thompson - Corky's Debt to His Father	4.00 stars
3.50 stars	Syd Barrett - The Madcap Laughs	4.00 stars
3.00 stars	Amon Düül II - Yeti	4.00 stars
3.50 stars	Captain Beefheart & The Magic Band - Lick My Decals Off, Baby	4.00 stars
3.50 stars	Faust - Faust	4.00 stars
3.50 stars	The Who - Who's Next	4.00 stars
4.00 stars	David Bowie - Hunky Dory	4.00 stars
4.00 stars	Nick Drake - Pink Moon	4.50 stars
3.00 stars	Big Star - #1 Record	4.00 stars
4.00 stars	David Bowie - The Rise and Fall of Ziggy Stardust and the Spiders From Mars	4.00 stars
4.50 stars	Can - Ege Bamyasi	5.00 stars
3.50 stars	Lou Reed - Transformer	4.00 stars
4.00 stars	Iggy and The Stooges - Raw Power	4.00 stars
3.50 stars	Eno - Here Come the Warm Jets	4.00 stars
3.50 stars	Sparks - Kimono My House	4.00 stars
3.50 stars	Eno - Taking Tiger Mountain (By Strategy)	4.50 stars
3.50 stars	Eno - Another Green World	4.50 stars
4.00 stars	R. Stevie Moore - Phonography	4.00 stars
3.50 stars	Chrome - Alien Soundtracks	4.00 stars
4.00 stars	David Bowie - Low	4.50 stars
4.00 stars	Television - Marquee Moon	5.00 stars
3.50 stars	Iggy Pop - The Idiot	4.00 stars
3.50 stars	The Clash - The Clash	4.00 stars
4.00 stars	Talking Heads - Talking Heads: 77	4.00 stars
4.00 stars	Suicide - Suicide	4.50 stars
4.50 stars	Wire - Pink Flag	5.00 stars
3.50 stars	Rosa Yemen - Rosa Yemen	3.50 stars
3.50 stars	Kraftwerk - Die Mensch-Maschine	4.00 stars
3.00 stars	Magazine - Real Life	4.00 stars
4.00 stars	Talking Heads - More Songs About Buildings and Food	5.00 stars
4.00 stars	Wire - Chairs Missing	4.50 stars
4.00 stars	Devo - Q: Are We Not Men? A: We Are Devo!	5.00 stars
3.50 stars	Blondie - Parallel Lines	4.00 stars
3.50 stars	Pere Ubu - Dub Housing	4.00 stars
3.50 stars	Lizzy Mercier Descloux - Press Color	3.50 stars
4.00 stars	Chrome - Half Machine Lip Moves	4.00 stars
3.50 stars	Stiff Little Fingers - Inflammable Material	3.50 stars
3.50 stars	Contortions - Buy	4.00 stars
4.00 stars	The Pop Group - Y	4.00 stars
3.50 stars	Joy Division - Unknown Pleasures	4.00 stars
4.00 stars	Crass - Stations of the Crass	3.50 stars
3.50 stars	Talking Heads - Fear of Music	4.00 stars
4.50 stars	The Slits - Cut	4.50 stars
4.00 stars	Wire - 154	4.00 stars
4.00 stars	The Damned - Machine Gun Etiquette	3.50 stars
4.00 stars	PiL - Metal Box	5.00 stars
