rental	Album	polograms
4.00 stars	Animal Collective - Fall Be Kind	4.00 stars
3.50 stars	The Beatles - Abbey Road	4.50 stars
3.00 stars	James Blake - Assume Form	4.00 stars
3.00 stars	Brockhampton - Iridescence	3.50 stars
4.50 stars	Cindy Lee - What's Tonight to Eternity	4.00 stars
3.50 stars	Deerhoof - Breakup Song	3.00 stars
4.00 stars	Deerhunter - Cryptograms	3.50 stars
4.00 stars	Deerhunter - Fluorescent Grey	3.50 stars
3.50 stars	Deerhunter - Rainwater Cassette Exchange	4.00 stars
3.50 stars	Deerhunter - Fading Frontier	4.00 stars
4.00 stars	Fleet Foxes - Crack-Up	4.50 stars
3.50 stars	Gang Gang Dance - God's Money	3.50 stars
3.00 stars	Grimes - Visions	4.00 stars
3.50 stars	Grouper - Dragging a Dead Deer Up a Hill	4.00 stars
4.00 stars	Kendrick Lamar - To Pimp a Butterfly	3.50 stars
4.00 stars	Kendrick Lamar - DAMN.	4.50 stars
4.00 stars	Modest Mouse - This Is a Long Drive for Someone With Nothing to Think About	4.00 stars
4.00 stars	The Beatles - Revolver	5.00 stars
3.50 stars	The Beatles - Sgt. Pepper's Lonely Hearts Club Band	4.50 stars
4.00 stars	The Beatles - The Beatles [White Album]	4.50 stars
4.00 stars	The Smiths - The Smiths	4.00 stars
3.50 stars	Felt - Forever Breathes the Lonely Word	4.00 stars
3.00 stars	Beck - Odelay	4.00 stars
3.00 stars	Björk - Homogenic	3.00 stars
3.50 stars	Modest Mouse - The Lonesome Crowded West	4.00 stars
3.50 stars	Modest Mouse - Building Nothing Out of Something	4.50 stars
4.00 stars	Modest Mouse - The Moon & Antarctica	4.00 stars
3.50 stars	Avey Tare and Panda Bear - Spirit They're Gone Spirit They've Vanished	3.50 stars
3.50 stars	múm - Yesterday Was Dramatic - Today Is OK	4.50 stars
3.00 stars	Björk - Vespertine	3.50 stars
3.50 stars	Deerhoof - Apple O'	3.50 stars
4.00 stars	Sufjan Stevens - Illinois	4.50 stars
4.50 stars	Deerhoof - The Runners Four	4.00 stars
4.00 stars	Animal Collective - Feels	5.00 stars
4.00 stars	John Maus - Songs	3.00 stars
3.50 stars	Deerhoof - Friend Opportunity	4.00 stars
4.00 stars	The National - Boxer	4.50 stars
4.00 stars	Animal Collective - Strawberry Jam	5.00 stars
