rental	Album	poopiedeloopie
3.00 stars	American Football - American Football	3.50 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	4.00 stars
3.50 stars	Bauhaus - In the Flat Field	3.00 stars
4.00 stars	The Beatles - Abbey Road	3.00 stars
3.50 stars	Boards of Canada - The Campfire Headphase	4.50 stars
3.00 stars	Boredoms - Super æ	3.50 stars
4.00 stars	Butthole Surfers - Rembrandt Pussyhorse	3.00 stars
4.00 stars	Butthole Surfers - Locust Abortion Technician	5.00 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.00 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	3.00 stars
3.50 stars	Ornette Coleman - Change of the Century	3.00 stars
3.50 stars	The Damned - Damned Damned Damned	3.00 stars
3.50 stars	Death Grips - Government Plates	3.50 stars
3.50 stars	Death Grips - Niggas on the Moon: The Powers That B Disc 1	4.50 stars
3.50 stars	Death Grips - Jenny Death: The Powers That B Disc 2	3.00 stars
4.00 stars	Descendents - Milo Goes to College	4.00 stars
3.50 stars	Dinosaur Jr. - Beyond	2.50 stars
4.00 stars	DJ Rozwell - None of This Is Real	4.00 stars
4.00 stars	DJ Screw - Bigtyme Vol II: All Screwed Up	3.00 stars
3.50 stars	The Doors - The Doors	3.00 stars
3.00 stars	Th Faith Healers - Lido	2.00 stars
3.50 stars	The Fall - Live at the Witch Trials	2.50 stars
3.50 stars	Flipper - Album: Generic Flipper	3.50 stars
3.00 stars	Fucked Up - The Chemistry of Common Life	2.00 stars
3.50 stars	Fugazi - Repeater	3.50 stars
4.00 stars	Gang of Four - Entertainment!	3.00 stars
4.00 stars	Philip Glass - Glassworks	4.00 stars
3.00 stars	Godspeed You Black Emperor! - Slow Riot for New Zerø Kanada E.P.	3.00 stars
4.00 stars	Gordons - The Gordons	3.00 stars
3.00 stars	Grimes - Visions	3.50 stars
4.00 stars	Guided by Voices - Alien Lanes	3.50 stars
3.00 stars	Have a Nice Life - The Unnatural World	4.00 stars
3.50 stars	Jon Hopkins - Immunity	3.00 stars
4.00 stars	Hüsker Dü - New Day Rising	3.50 stars
3.50 stars	Joy Division - Closer	4.00 stars
3.00 stars	LCD Soundsystem - This Is Happening	3.00 stars
4.00 stars	Machinedrum - Room(s)	3.50 stars
3.50 stars	The Microphones - The Glow Pt. 2	3.50 stars
3.00 stars	Charlie Mingus - Blues & Roots	3.50 stars
3.50 stars	Minutemen - Buzz or Howl Under the Influence of Heat	4.00 stars
3.50 stars	Mobb Deep - The Infamous	3.00 stars
4.00 stars	Modest Mouse - This Is a Long Drive for Someone With Nothing to Think About	3.00 stars
4.50 stars	Moondog - Moondog	4.00 stars
4.00 stars	Mingus - The Black Saint and the Sinner Lady	3.00 stars
3.50 stars	The Sonics - Here Are The Sonics!!!	3.00 stars
3.50 stars	Bob Dylan - Bringing It All Back Home	3.50 stars
3.50 stars	Bob Dylan - Highway 61 Revisited	3.50 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	4.00 stars
3.00 stars	The Jimi Hendrix Experience - Are You Experienced	3.00 stars
3.50 stars	The Beatles - Sgt. Pepper's Lonely Hearts Club Band	3.50 stars
3.00 stars	Captain Beefheart and His Magic Band - Safe as Milk	2.00 stars
3.50 stars	Leonard Cohen - Songs of Leonard Cohen	3.00 stars
2.50 stars	Led Zeppelin - Led Zeppelin	2.00 stars
4.00 stars	The Velvet Underground - The Velvet Underground	4.00 stars
4.00 stars	Captain Beefheart & His Magic Band - Trout Mask Replica	3.50 stars
3.00 stars	The Stooges - The Stooges	2.00 stars
3.00 stars	Frank Zappa - Hot Rats	2.00 stars
4.00 stars	Exuma - Exuma	3.00 stars
3.00 stars	Amon Düül II - Yeti	3.50 stars
3.50 stars	Faust - Faust	4.50 stars
3.00 stars	Black Sabbath - Master of Reality	4.00 stars
3.50 stars	The Who - Who's Next	2.50 stars
4.00 stars	Can - Tago Mago	4.00 stars
4.00 stars	Nick Drake - Pink Moon	4.50 stars
4.00 stars	David Bowie - The Rise and Fall of Ziggy Stardust and the Spiders From Mars	3.00 stars
4.00 stars	Iggy and The Stooges - Raw Power	4.50 stars
3.00 stars	Patti Smith - Horses	2.50 stars
4.00 stars	David Bowie - Low	3.00 stars
4.00 stars	Television - Marquee Moon	3.00 stars
3.50 stars	Kraftwerk - Trans Europa Express	3.00 stars
4.00 stars	Talking Heads - Talking Heads: 77	3.00 stars
4.00 stars	Suicide - Suicide	3.00 stars
4.50 stars	Wire - Pink Flag	4.50 stars
3.50 stars	Brian Eno - Ambient 1: Music for Airports	2.50 stars
3.50 stars	Kraftwerk - Die Mensch-Maschine	3.50 stars
3.00 stars	Magazine - Real Life	3.50 stars
4.00 stars	Talking Heads - More Songs About Buildings and Food	3.00 stars
4.00 stars	Wire - Chairs Missing	4.00 stars
4.00 stars	Devo - Q: Are We Not Men? A: We Are Devo!	4.00 stars
3.50 stars	Pere Ubu - Dub Housing	2.50 stars
4.00 stars	Public Image Ltd - Public Image	3.00 stars
3.50 stars	Stiff Little Fingers - Inflammable Material	3.50 stars
3.50 stars	Joy Division - Unknown Pleasures	4.00 stars
3.50 stars	The Feelies - Crazy Rhythms	4.50 stars
4.00 stars	X - Los Angeles	3.50 stars
3.00 stars	Circle Jerks - Group Sex	4.00 stars
3.00 stars	Kraftwerk - Computerwelt	3.00 stars
4.50 stars	Mission of Burma - Signals, Calls, and Marches	3.50 stars
3.00 stars	The Replacements - Sorry Ma, Forgot to Take Out the Trash	4.00 stars
4.00 stars	The Gun Club - Fire of Love	5.00 stars
4.00 stars	Glenn Branca - The Ascension	3.50 stars
4.50 stars	The Fall - Hex Enduction Hour	4.00 stars
4.00 stars	The Gun Club - Miami	3.00 stars
4.50 stars	Mission of Burma - Vs.	4.50 stars
3.50 stars	Minutemen - What Makes a Man Start Fires?	3.50 stars
5.00 stars	Wipers - Over the Edge	4.00 stars
3.50 stars	Violent Femmes - Violent Femmes	4.50 stars
3.00 stars	New Order - Power, Corruption & Lies	3.50 stars
3.50 stars	Butthole Surfers - Butthole Surfers	3.50 stars
3.50 stars	Butthole Surfers - Psychic...Powerless...Another Man's Sac	4.00 stars
4.00 stars	Black Flag - My War	3.00 stars
4.50 stars	Meat Puppets - Meat Puppets II	4.00 stars
4.00 stars	Hüsker Dü - Zen Arcade	5.00 stars
4.00 stars	The Replacements - Let It Be	4.00 stars
5.00 stars	Minutemen - Double Nickels on the Dime	5.00 stars
3.50 stars	The Smiths - Meat Is Murder	3.50 stars
4.00 stars	The Fall - This Nation's Saving Grace	5.00 stars
3.50 stars	The Jesus and Mary Chain - Psychocandy	3.50 stars
4.00 stars	Big Black - Atomizer	4.50 stars
3.50 stars	Sonic Youth - EVOL	3.00 stars
3.50 stars	The Fall - Bend Sinister	2.50 stars
3.00 stars	Patife Band - Corredor polonês	3.50 stars
4.50 stars	Dinosaur - You're Living All Over Me	5.00 stars
3.50 stars	Big Black - Songs About Fucking	4.50 stars
3.50 stars	Red Temple Spirits - Dancing to Restore an Eclipsed Moon	2.50 stars
4.50 stars	Joy Division - Substance 1977-1980	4.00 stars
3.50 stars	Cocteau Twins - Blue Bell Knoll	4.00 stars
4.00 stars	Sonic Youth - Daydream Nation	5.00 stars
3.50 stars	Dinosaur Jr - Bug	3.00 stars
3.50 stars	Mudhoney - Superfuzz Bigmuff	4.00 stars
3.50 stars	My Bloody Valentine - Isn't Anything	4.00 stars
4.50 stars	Minor Threat - Complete Discography	5.00 stars
4.50 stars	Pixies - Doolittle	4.50 stars
4.00 stars	NoMeansNo - Wrong	5.00 stars
3.50 stars	Sonic Youth - Goo	4.00 stars
3.50 stars	Ride - Nowhere	3.50 stars
4.00 stars	The Jesus Lizard - Goat	4.50 stars
3.50 stars	The Ex + Tom Cora - Scrabbling at the Lock	2.50 stars
3.50 stars	Nirvana - Nevermind	4.00 stars
3.50 stars	A Tribe Called Quest - The Low End Theory	4.50 stars
4.00 stars	Scratch Acid - The Greatest Gift	4.00 stars
3.00 stars	Superchunk - No Pocky for Kitty	3.00 stars
5.00 stars	Pavement - Slanted and Enchanted	4.50 stars
3.00 stars	The Nation of Ulysses - Plays Pretty for Baby	3.00 stars
4.00 stars	The Jesus Lizard - Liar	4.50 stars
3.00 stars	Rage Against the Machine - Rage Against the Machine	3.50 stars
3.50 stars	Man or Astro-Man? - Is It...	4.50 stars
3.50 stars	Swirlies - Blonder Tongue Audio Baton	3.50 stars
3.50 stars	Slowdive - Souvlaki	3.50 stars
3.00 stars	Fugazi - In on the Kill Taker	2.00 stars
4.00 stars	Unwound - Fake Train	4.00 stars
3.00 stars	Smashing Pumpkins - Siamese Dream	4.00 stars
4.50 stars	Yo La Tengo - Painful	3.50 stars
4.00 stars	Wu-Tang Clan - Enter the Wu-Tang (36 Chambers)	5.00 stars
4.00 stars	Ata Kak - Obaa Sima	4.00 stars
4.50 stars	Pavement - Crooked Rain, Crooked Rain	4.00 stars
3.50 stars	Unwound - New Plastic Ideas	4.00 stars
3.50 stars	Nas - Illmatic	4.00 stars
3.50 stars	Weezer - Weezer [Blue Album]	4.50 stars
5.00 stars	Guided by Voices - Bee Thousand	5.00 stars
3.50 stars	Portishead - Dummy	2.50 stars
4.00 stars	Sebadoh - Bakesale	3.50 stars
4.00 stars	Shellac - At Action Park	3.50 stars
4.00 stars	Prolapse - Pointless Walks to Dismal Places	3.00 stars
4.00 stars	The Embarrassment - Heyday: 1979-1983	4.00 stars
3.00 stars	Supergrass - I Should Coco	3.00 stars
3.50 stars	Fugazi - Red Medicine	2.50 stars
3.50 stars	Sonic Youth - Washing Machine	3.00 stars
3.50 stars	Swirlies - They Spent Their Wild Youthful Days in the Glittering World of the Salons	4.00 stars
4.00 stars	Tortoise - Millions Now Living Will Never Die	3.00 stars
3.00 stars	Burzum - Filosofem	4.00 stars
3.50 stars	Stereolab - Emperor Tomato Ketchup	3.00 stars
4.00 stars	Brainiac - Hissing Prigs in Static Couture	4.00 stars
3.50 stars	Unwound - Repetition	3.00 stars
3.00 stars	Beck - Odelay	2.00 stars
4.00 stars	Weezer - Pinkerton	4.50 stars
3.50 stars	Swans - Soundtracks for the Blind	4.00 stars
4.00 stars	Aphex Twin - Richard D. James Album	5.00 stars
4.00 stars	Belle and Sebastian - If You're Feeling Sinister	4.00 stars
3.50 stars	DJ Shadow - Endtroducing.....	4.00 stars
4.00 stars	Laddio Bolocko - Strange Warmings of Laddio Bolocko	3.00 stars
3.50 stars	Pavement - Brighten the Corners	3.00 stars
3.00 stars	Elliott Smith - Either / Or	3.00 stars
3.50 stars	Brainiac - Electro-Shock for President	3.00 stars
3.00 stars	Sleater-Kinney - Dig Me Out	4.00 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	4.00 stars
3.00 stars	Squarepusher - Hard Normal Daddy	3.00 stars
3.00 stars	Spiritualized® - Ladies and Gentlemen We Are Floating in Space	3.00 stars
3.50 stars	Prodigy - The Fat of the Land	3.50 stars
3.00 stars	Björk - Homogenic	3.50 stars
3.00 stars	Swans - Swans Are Dead	3.50 stars
3.00 stars	AIR - Moon Safari	3.50 stars
3.50 stars	Duster - Stratosphere	3.50 stars
3.50 stars	Tortoise - TNT	3.00 stars
4.00 stars	Don Caballero - What Burns Never Returns	3.50 stars
3.00 stars	Built to Spill - Keep It Like a Secret	2.50 stars
3.50 stars	Add N to (X) - Avant Hard	3.50 stars
4.00 stars	The Magnetic Fields - 69 Love Songs	3.00 stars
3.50 stars	Yo La Tengo - And Then Nothing Turned Itself Inside-Out	3.50 stars
3.00 stars	Eminem - The Marshall Mathers LP	2.00 stars
4.00 stars	Modest Mouse - The Moon & Antarctica	4.00 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	3.00 stars
3.50 stars	Electric Wizard - Dopethrone	4.00 stars
4.00 stars	Unwound - Leaves Turn Inside You	4.50 stars
3.00 stars	Cannibal Ox - The Cold Vein	4.00 stars
3.00 stars	Aesop Rock - Labor Days	4.00 stars
3.50 stars	Fugazi - The Argument	3.00 stars
3.50 stars	Jim O'Rourke - Insignificance	3.00 stars
4.00 stars	The Books - Thought for Food	3.50 stars
3.00 stars	Sonic Youth - Murray Street	3.00 stars
3.50 stars	Spoon - Kill the Moonlight	4.50 stars
3.50 stars	Queens of the Stone Age - Songs for the Deaf	3.50 stars
3.50 stars	The Microphones - Mount Eerie	2.50 stars
3.50 stars	Lightning Bolt - Wonderful Rainbow	4.50 stars
4.00 stars	Deerhoof - Apple O'	3.50 stars
3.00 stars	Manitoba - Up in Flames	3.50 stars
3.00 stars	Sleep - Dopesmoker	3.50 stars
3.50 stars	Boris - あくまのうた (Akuma no Uta)	3.00 stars
3.00 stars	Sweet Trip - Velocity : Design : Comfort	3.50 stars
4.00 stars	Madvillain - Madvillainy	4.50 stars
2.50 stars	Bloc Party - Silent Alarm	2.00 stars
3.50 stars	Lightning Bolt - Hypermagic Mountain	3.50 stars
4.00 stars	Boris - Pink	3.50 stars
5.00 stars	J Dilla - Donuts	5.00 stars
4.00 stars	Andrew Jackson Jihad - People Who Can Eat People Are the Luckiest People in the World	5.00 stars
4.00 stars	Animal Collective - Strawberry Jam	3.50 stars
4.00 stars	Burial - Untrue	4.00 stars
4.00 stars	Have a Nice Life - Deathconsciousness	4.50 stars
2.50 stars	Midori - あらためまして、はじめまして、ミドリです。 (Aratamemashite, hajimemashite, Midori desu.)	3.50 stars
3.50 stars	Dan Deacon - Bromst	4.00 stars
3.50 stars	Japandroids - Post-Nothing	2.50 stars
4.00 stars	The Flaming Lips - Embryonic	3.50 stars
3.50 stars	Titus Andronicus - The Monitor	2.50 stars
3.50 stars	Flying Lotus - Cosmogramma	2.50 stars
4.00 stars	Iceage - New Brigade	3.00 stars
4.00 stars	Death Grips - Exmilitary	3.00 stars
3.50 stars	Dope Body - Nupping	2.50 stars
4.00 stars	The Men - Leave Home	3.50 stars
4.00 stars	Danny Brown - XXX	3.50 stars
4.00 stars	Lil Ugly Mane - Mista Thug Isolation	3.00 stars
3.50 stars	Burial - Kindred EP	3.50 stars
4.50 stars	The Men - Open Your Heart	5.00 stars
3.50 stars	Death Grips - The Money Store	4.00 stars
3.00 stars	Japandroids - Celebration Rock	2.00 stars
4.00 stars	Death Grips - NO LOVE DEEP WEB	3.00 stars
4.00 stars	Tame Impala - Lonerism	3.00 stars
3.50 stars	METZ - METZ	2.50 stars
3.50 stars	My Bloody Valentine - m b v	4.00 stars
3.50 stars	The Men - New Moon	4.00 stars
3.50 stars	Deafheaven - Sunbather	3.00 stars
5.00 stars	Holden - The Inheritors	4.00 stars
3.00 stars	Run the Jewels - Run the Jewels	2.00 stars
3.50 stars	Machinedrum - Vapor City	3.00 stars
3.50 stars	Oneohtrix Point Never - R Plus Seven	4.00 stars
3.50 stars	Cloud Nothings - Here and Nowhere Else	4.00 stars
4.00 stars	Ought - More Than Any Other Day	3.00 stars
4.00 stars	Naomi Punk - Television Man	3.50 stars
2.50 stars	Ty Segall - Manipulator	3.00 stars
3.50 stars	Run the Jewels - Run the Jewels 2	2.50 stars
3.00 stars	２８１４ - 新しい日の誕生 (Atarashī hi no tanjō)	3.00 stars
4.00 stars	Kendrick Lamar - To Pimp a Butterfly	3.50 stars
4.00 stars	Earl Sweatshirt - I Don't Like Shit, I Don't Go Outside	3.00 stars
3.50 stars	Earl Sweatshirt - Solace	3.00 stars
3.50 stars	Lil Ugly Mane - Third Side of Tape	3.00 stars
3.50 stars	Girls Names - Arms Around a Vision	2.50 stars
3.50 stars	Kendrick Lamar - untitled unmastered.	3.00 stars
3.50 stars	Aesop Rock - The Impossible Kid	4.00 stars
3.50 stars	Death Grips - Bottomless Pit	3.50 stars
4.00 stars	A Tribe Called Quest - We got it from Here... Thank You 4 Your service	4.00 stars
3.50 stars	Bedwetter - Volume 1: Flick Your Tongue Against Your Teeth and Describe the Present.	2.50 stars
3.50 stars	Blanck Mass - World Eater	3.00 stars
4.00 stars	IDLES - Brutalism	3.50 stars
4.00 stars	Tropical Fuck Storm - A Laughing Death in Meatspace	3.00 stars
3.00 stars	Kids See Ghosts - Kids See Ghosts	2.50 stars
3.50 stars	Death Grips - Year of the Snitch	2.50 stars
3.50 stars	Denzel Curry - TA13OO	2.50 stars
3.50 stars	Uranium Club - The Cosmo Cleaners	3.50 stars
4.00 stars	The Comet Is Coming - Trust in the Lifeforce of the Deep Mystery	3.00 stars
3.00 stars	Murmuüre - Murmuüre	3.00 stars
4.00 stars	My Bloody Valentine - Loveless	5.00 stars
3.00 stars	Neutral Milk Hotel - On Avery Island	2.50 stars
4.00 stars	Neutral Milk Hotel - In the Aeroplane Over the Sea	4.00 stars
4.00 stars	Oneohtrix Point Never - Replica	3.00 stars
3.00 stars	Oranssi Pazuzu - Värähtelijä	3.00 stars
4.00 stars	Pere Ubu - The Modern Dance	3.50 stars
4.00 stars	Ariel Pink - Pom Pom	3.00 stars
3.00 stars	Pneu - Highway to Health	3.50 stars
3.00 stars	Public Enemy - It Takes a Nation of Millions to Hold Us Back	3.00 stars
3.50 stars	The Raincoats - The Raincoats	3.50 stars
4.00 stars	Ramones - Ramones	3.00 stars
3.50 stars	Jay Reatard - Blood Visions	3.00 stars
3.50 stars	Steve Reich - Music for 18 Musicians	3.00 stars
3.00 stars	Terry Riley - A Rainbow in Curved Air	3.00 stars
4.00 stars	Royal Headache - Royal Headache	3.00 stars
