rental	Album	psychovinyl
3.50 stars	Adolescents - Adolescents	4.00 stars
3.50 stars	Agent Orange - Living in Darkness	3.50 stars
4.00 stars	Antena - Camino del sol	3.50 stars
3.00 stars	Armand Hammer - Paraffin	3.00 stars
3.50 stars	Bark Psychosis - Hex	3.50 stars
3.00 stars	Baths - Cerulean	3.50 stars
3.50 stars	Bauhaus - In the Flat Field	4.50 stars
4.00 stars	Beat Happening - You Turn Me On	4.50 stars
4.00 stars	Belle & Sebastian - Dear Catastrophe Waitress	4.00 stars
4.00 stars	Black Eyes - Black Eyes	4.00 stars
4.00 stars	black midi - Schlagenheim	3.00 stars
4.00 stars	Butthole Surfers - Rembrandt Pussyhorse	4.00 stars
4.00 stars	Butthole Surfers - Locust Abortion Technician	4.00 stars
3.00 stars	Cabaret Voltaire - Red Mecca	4.00 stars
4.00 stars	Can - Soundtracks	4.00 stars
3.00 stars	Nick Cave & The Bad Seeds - Skeleton Tree	3.00 stars
3.50 stars	A Certain Ratio - To Each...	4.50 stars
3.50 stars	Chuck Person - Chuck Person's Eccojams Vol. 1	4.00 stars
3.00 stars	The Church - Starfish	4.00 stars
3.00 stars	Clarence Clarity - Think: Peace	3.00 stars
3.50 stars	Cocteau Twins - Head Over Heels	4.00 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	5.00 stars
4.50 stars	Coil - Horse Rotorvator	4.50 stars
4.00 stars	Coil - Musick to Play in the Dark	4.00 stars
4.00 stars	Lloyd Cole and The Commotions - Rattlesnakes	3.50 stars
3.00 stars	Crawling Chaos - The Gas Chair	3.50 stars
3.50 stars	The Damned - Damned Damned Damned	3.50 stars
3.50 stars	Daughters - Daughters	3.00 stars
3.50 stars	Death Grips - Government Plates	3.50 stars
3.50 stars	Death Grips - Niggas on the Moon: The Powers That B Disc 1	3.50 stars
3.50 stars	Death Grips - Jenny Death: The Powers That B Disc 2	4.00 stars
3.50 stars	Deerhunter - Fading Frontier	3.00 stars
4.00 stars	Lana Del Rey - Norman Fucking Rockwell!	3.00 stars
4.00 stars	Descendents - Milo Goes to College	4.00 stars
3.50 stars	DNA - DNA on DNA	4.00 stars
3.50 stars	Duds - Of a Nature or Degree	3.00 stars
4.00 stars	The Durutti Column - LC	4.00 stars
