rental	Album	rmedw1044
3.00 stars	The 90 Day Men - To Everybody	3.00 stars
3.00 stars	American Football - American Football	3.00 stars
4.00 stars	Animal Collective - Fall Be Kind	3.00 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	3.50 stars
3.50 stars	Ausmuteants - Order of Operation	3.50 stars
4.00 stars	William Basinski - The Disintegration Loops	3.00 stars
3.50 stars	William Basinski - The Disintegration Loops II	3.00 stars
3.50 stars	William Basinski - The Disintegration Loops III	3.00 stars
3.50 stars	William Basinski - The Disintegration Loops IV	3.00 stars
3.00 stars	Baths - Cerulean	2.50 stars
3.50 stars	Bauhaus - In the Flat Field	3.50 stars
4.00 stars	The Beach Boys - Pet Sounds	4.00 stars
4.00 stars	The Beatles - Abbey Road	3.50 stars
4.00 stars	Art Blakey and The Jazz Messengers - Art Blakey and The Jazz Messengers [Moanin']	4.00 stars
3.50 stars	Boards of Canada - The Campfire Headphase	3.00 stars
3.50 stars	Boris - flood	3.00 stars
3.50 stars	David Bowie - Station to Station	3.50 stars
3.50 stars	David Bowie - "Heroes"	3.00 stars
4.00 stars	David Thomas Broughton - The Complete Guide to Insufficiency	3.50 stars
4.00 stars	Burial - Street Halo	3.50 stars
3.50 stars	Frantz Casseus - Haitian Dances	3.50 stars
2.50 stars	Circle Takes the Square - As the Roots Undo	3.00 stars
4.00 stars	Civic - New Vietnam	3.00 stars
5.00 stars	Ornette Coleman - The Shape of Jazz to Come	4.50 stars
3.50 stars	Ornette Coleman - Change of the Century	4.00 stars
4.00 stars	Comus - First Utterance	3.50 stars
3.50 stars	Crystal Stilts - In Love With Oblivion	3.00 stars
3.00 stars	Cult Ritual - 2nd	3.50 stars
3.00 stars	Cult Ritual - Cult Ritual	3.50 stars
3.50 stars	Daughters - Daughters	3.00 stars
4.00 stars	Miles Davis - Get Up With It	3.50 stars
3.50 stars	Deaf Wish - Reality & Visions	2.50 stars
3.50 stars	Deaf Wish - Pain	3.00 stars
3.50 stars	Death Grips - Niggas on the Moon: The Powers That B Disc 1	3.00 stars
3.50 stars	Death Grips - Jenny Death: The Powers That B Disc 2	3.50 stars
3.50 stars	Deerhunter - Rainwater Cassette Exchange	3.00 stars
4.00 stars	Destruction Unit - Negative Feedback Resistor	3.50 stars
3.50 stars	DNA - DNA on DNA	3.50 stars
3.50 stars	The Doors - The Doors	3.00 stars
3.50 stars	Nick Drake - Five Leaves Left	3.50 stars
3.50 stars	The Drones - Wait Long by the River and the Bodies of Your Enemies Will Float By	4.00 stars
3.50 stars	The Drones - Feelin Kinda Free	4.00 stars
3.50 stars	Kevin Drumm - Sheer Hellish Miasma	3.50 stars
3.50 stars	Drunkdriver - Drunkdriver	3.50 stars
4.00 stars	Eddy Current Suppression Ring - Primary Colours	3.50 stars
3.50 stars	John Fahey - Volume 5: The Transfiguration of Blind Joe Death	3.50 stars
3.50 stars	The Fall - Live at the Witch Trials	3.50 stars
4.00 stars	The Fall - Perverted by Language	3.50 stars
3.00 stars	Fishmans - 98.12.28 男達の別れ (98.12.28 Otokotachi no Wakare)	3.50 stars
2.50 stars	Foals - Total Life Forever	2.50 stars
3.50 stars	Ben Frost - By the Throat	3.00 stars
3.50 stars	Fuck Buttons - Tarot Sport	3.00 stars
3.50 stars	Fugazi - Repeater	3.00 stars
3.00 stars	Function - Incubation	3.00 stars
4.00 stars	Gang of Four - Entertainment!	4.00 stars
3.00 stars	Girl Band - Holding Hands With Jamie	4.00 stars
4.00 stars	Philip Glass - Glassworks	3.00 stars
3.00 stars	Godspeed You Black Emperor! - Slow Riot for New Zerø Kanada E.P.	4.00 stars
3.00 stars	Dexter Gordon - Go	4.00 stars
3.00 stars	Grimes - Visions	2.50 stars
3.50 stars	Grouper - Dragging a Dead Deer Up a Hill	4.50 stars
4.00 stars	Harvey Milk - Courtesy and Good Will Toward Men	3.50 stars
3.50 stars	Anna von Hausswolff - Dead Magic	3.50 stars
3.00 stars	Have a Nice Life - The Unnatural World	3.00 stars
4.00 stars	Tim Hecker - Harmony in Ultraviolet	4.00 stars
3.00 stars	The Hecks - The Hecks	3.00 stars
3.00 stars	Henry Cow - In Praise of Learning	3.00 stars
3.50 stars	The High Confessions - Turning Lead Into Gold With the High Confessions	3.00 stars
3.50 stars	Jon Hopkins - Immunity	3.00 stars
4.00 stars	Hüsker Dü - New Day Rising	3.00 stars
3.50 stars	Nicolas Jaar - Don't Break My Love	3.50 stars
3.50 stars	Antônio Carlos Jobim - Wave	3.00 stars
3.50 stars	Joy Division - Closer	4.00 stars
4.00 stars	Kendrick Lamar - DAMN.	3.00 stars
4.00 stars	Graham Lambkin - Salmon Run	4.00 stars
4.00 stars	Love - Forever Changes	4.00 stars
4.00 stars	Male Gaze - Gale Maze	3.00 stars
2.50 stars	The Mars Volta - Amputechture	2.50 stars
3.50 stars	Curtis Mayfield - Superfly	4.00 stars
3.50 stars	The Men - Immaculada	4.00 stars
3.50 stars	The Microphones - The Glow Pt. 2	4.00 stars
3.00 stars	Charlie Mingus - Blues & Roots	4.00 stars
3.50 stars	Mobb Deep - The Infamous	4.00 stars
3.50 stars	Janelle Monáe - The ArchAndroid	3.00 stars
3.50 stars	Miles Davis - Kind of Blue	4.00 stars
3.50 stars	John Coltrane - My Favorite Things	4.00 stars
4.00 stars	The Ornette Coleman Double Quartet - Free Jazz	4.50 stars
4.00 stars	Mingus - The Black Saint and the Sinner Lady	5.00 stars
3.50 stars	Albert Ayler Trio - Spiritual Unity	4.50 stars
4.00 stars	John Coltrane - A Love Supreme	5.00 stars
3.50 stars	Komeda Quintet - Astigmatic	4.00 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	4.00 stars
3.00 stars	The Jimi Hendrix Experience - Are You Experienced	3.50 stars
3.50 stars	The Beatles - Sgt. Pepper's Lonely Hearts Club Band	3.50 stars
3.00 stars	Captain Beefheart and His Magic Band - Safe as Milk	3.50 stars
3.00 stars	The Peter Brötzmann Octet - Machine Gun	4.00 stars
4.00 stars	Dr. John, The Night Tripper - Gris-Gris	3.00 stars
4.00 stars	The Zombies - Odessey and Oracle	3.50 stars
3.50 stars	Os Mutantes - Os Mutantes	3.50 stars
3.50 stars	The Millennium - Begin	3.50 stars
4.00 stars	The Velvet Underground - The Velvet Underground	3.50 stars
3.50 stars	Pharoah Sanders - Karma	4.50 stars
