rental	Album	samatoha
4.00 stars	Cocteau Twins - Heaven or Las Vegas	5.00 stars
3.50 stars	The Dodos - Visiter	4.50 stars
3.50 stars	The Drones - Wait Long by the River and the Bodies of Your Enemies Will Float By	4.00 stars
4.00 stars	The Durutti Column - LC	4.50 stars
4.00 stars	The Go-Betweens - Liberty Belle and the Black Diamond Express	4.50 stars
4.50 stars	The Go-Betweens - 16 Lovers Lane	5.00 stars
4.00 stars	KARP - Self Titled LP	4.50 stars
4.00 stars	Love - Forever Changes	5.00 stars
4.00 stars	The Zombies - Odessey and Oracle	4.50 stars
4.00 stars	The Kinks - The Kinks Are the Village Green Preservation Society	4.50 stars
4.00 stars	The Can - Monster Movie	4.50 stars
3.50 stars	Lee Hazlewood - Cowboy in Sweden	4.50 stars
4.00 stars	Mayo Thompson - Corky's Debt to His Father	4.50 stars
3.50 stars	Faust - Faust	4.50 stars
4.00 stars	Can - Tago Mago	5.00 stars
4.50 stars	Can - Ege Bamyasi	5.00 stars
4.00 stars	Iggy and The Stooges - Raw Power	5.00 stars
4.00 stars	Todd Rundgren - A Wizard, A True Star	4.50 stars
4.00 stars	Steely Dan - Countdown to Ecstasy	4.50 stars
4.50 stars	Wire - Pink Flag	4.50 stars
4.00 stars	Wire - Chairs Missing	5.00 stars
4.00 stars	Wire - 154	4.50 stars
4.00 stars	Slapp Happy - Slapp Happy or Slapp Happy	4.50 stars
4.00 stars	The Gun Club - Miami	5.00 stars
5.00 stars	Wipers - Over the Edge	4.50 stars
4.00 stars	The Replacements - Let It Be	5.00 stars
4.00 stars	Galaxie 500 - Today	5.00 stars
4.00 stars	Sonic Youth - Daydream Nation	4.50 stars
3.50 stars	Ride - Nowhere	4.50 stars
4.50 stars	Les Rallizes dénudés - '77 Live	5.00 stars
4.00 stars	The Jesus Lizard - Liar	4.00 stars
4.50 stars	Yo La Tengo - Painful	5.00 stars
3.50 stars	Mainliner - Mellow Out	4.50 stars
3.50 stars	Swirlies - They Spent Their Wild Youthful Days in the Glittering World of the Salons	4.50 stars
3.50 stars	Built to Spill - Perfect From Now On	4.50 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	4.50 stars
4.00 stars	Black Tambourine - Complete Recordings	5.00 stars
3.50 stars	Yo La Tengo - And Then Nothing Turned Itself Inside-Out	4.50 stars
5.00 stars	Life Without Buildings - Any Other City	4.50 stars
4.50 stars	Ariel Pink's Haunted Graffiti - House Arrest + Lover Boy	4.50 stars
3.50 stars	Spoon - Kill the Moonlight	4.50 stars
4.00 stars	the Mountain Goats - Tallahassee	4.50 stars
4.00 stars	Ariel Pink's Haunted Graffiti - Worn Copy	4.50 stars
3.50 stars	Animal Collective - Sung Tongs	4.50 stars
4.00 stars	Animal Collective - Feels	5.00 stars
3.50 stars	Deerhoof - Friend Opportunity	4.50 stars
4.00 stars	Animal Collective - Strawberry Jam	4.50 stars
4.00 stars	Animal Collective - Merriweather Post Pavilion	4.50 stars
4.00 stars	Death - ...For the Whole World to See	4.50 stars
4.50 stars	Beach House - Teen Dream	4.50 stars
4.00 stars	Ariel Pink's Haunted Graffiti - Before Today	4.50 stars
4.00 stars	Iceage - New Brigade	4.50 stars
3.50 stars	Destroyer - Kaputt	4.00 stars
4.00 stars	The Men - Leave Home	4.50 stars
3.50 stars	Real Estate - Days	4.50 stars
4.50 stars	The Men - Open Your Heart	4.50 stars
4.00 stars	Julia Holter - Ekstasis	4.00 stars
4.00 stars	Beach House - Bloom	4.50 stars
4.00 stars	Tame Impala - Lonerism	4.50 stars
4.00 stars	Mac DeMarco - 2	4.50 stars
3.50 stars	My Bloody Valentine - m b v	4.50 stars
4.00 stars	Iceage - You're Nothing	4.50 stars
3.50 stars	The Men - New Moon	4.00 stars
4.00 stars	The Men - Tomorrow's Hits	4.50 stars
3.50 stars	Steve Gunn - Way Out Weather	4.50 stars
4.00 stars	Iceage - Plowing Into the Field of Love	5.00 stars
3.50 stars	Lightning Bolt - Fantasy Empire	4.50 stars
3.50 stars	Thee Oh Sees - Mutilator Defeated at Last	4.00 stars
4.50 stars	Beach House - Depression Cherry	4.50 stars
3.50 stars	Weyes Blood - Cardamom Times	4.00 stars
4.00 stars	David Bowie - ★ [Blackstar]	4.50 stars
4.00 stars	Frankie Cosmos - Next Thing	4.00 stars
4.00 stars	King Gizzard and the Lizard Wizard - Nonagon Infinity	5.00 stars
4.50 stars	Weyes Blood - Front Row Seat to Earth	5.00 stars
3.50 stars	Big Thief - Capacity	4.00 stars
4.50 stars	A. Savage - Thawing Dawn	4.50 stars
4.00 stars	Bed Wettin' Bad Boys - Rot	4.50 stars
3.00 stars	Haru Nemuri - 春と修羅 (Haru to Shura)	4.00 stars
4.00 stars	Beach House - 7	5.00 stars
4.50 stars	Parquet Courts - Wide Awaaaaake!	4.00 stars
3.50 stars	Snail Mail - Lush	4.00 stars
4.00 stars	Weyes Blood - Titanic Rising	5.00 stars
5.00 stars	Parquet Courts - Human Performance	5.00 stars
4.00 stars	Pere Ubu - The Modern Dance	5.00 stars
4.00 stars	Perfect Pussy - I Have Lost All Desire for Feeling	4.50 stars
4.00 stars	Ariel Pink - Pom Pom	4.50 stars
4.00 stars	Steely Dan - Aja	4.50 stars
4.00 stars	Talk Talk - Spirit of Eden	4.50 stars
4.00 stars	Thinking Fellers Union Local 282 - Strangers From the Universe	4.50 stars
4.50 stars	Total Control - Henge Beat	4.00 stars
3.50 stars	TV on the Radio - Return to Cookie Mountain	4.50 stars
3.50 stars	Scott Walker - Scott 2	4.50 stars
4.00 stars	Wand - Golem	4.00 stars
4.00 stars	Wipers - Youth of America	5.00 stars
rental and samatoha disagree: (29)
rental	Album	samatoha
3.50 stars	The Beths - Future Me Hates Me	5.00 stars
3.00 stars	Boredoms - Super æ	4.50 stars
3.00 stars	Killdozer - Twelve Point Buck	4.50 stars
2.50 stars	Morgen - Morgen	5.00 stars
3.00 stars	Amon Düül II - Yeti	4.50 stars
3.50 stars	The Who - Who's Next	5.00 stars
3.50 stars	Can - Future Days	5.00 stars
3.50 stars	Eno - Here Come the Warm Jets	5.00 stars
3.00 stars	Steely Dan - Pretzel Logic	4.50 stars
3.50 stars	Neil Young - On the Beach	5.00 stars
3.50 stars	Eno - Taking Tiger Mountain (By Strategy)	5.00 stars
3.00 stars	NEU! - NEU! '75	5.00 stars
3.50 stars	Pere Ubu - Dub Housing	5.00 stars
3.50 stars	Game Theory - Lolita Nation	5.00 stars
3.00 stars	Unrest - Imperial f.f.r.r.	5.00 stars
3.50 stars	Fugazi - The Argument	5.00 stars
3.00 stars	Grizzly Bear - Yellow House	4.50 stars
3.00 stars	Spoon - Ga Ga Ga Ga Ga	4.50 stars
2.50 stars	Ty Segall - Manipulator	5.00 stars
3.50 stars	Snail Mail - Habit	5.00 stars
3.50 stars	Girlpool - Powerplant	5.00 stars
3.50 stars	The New Pornographers - Twin Cinema	5.00 stars
3.50 stars	The Raincoats - The Raincoats	5.00 stars
3.00 stars	Catherine Ribeiro + Alpes - Paix	4.50 stars
3.50 stars	Rolling Blackouts C.F. - Hope Downs	5.00 stars
3.50 stars	Stereolab - Mars Audiac Quintet	5.00 stars
3.50 stars	Thinking Fellers Union Local 282 - Admonishing the Bishops	5.00 stars
3.00 stars	Thinking Fellers Union Local 282 - Bob Dinners and Larry Noodles Present Tubby Turdner's Celebrity Avalanche	4.50 stars
3.50 stars	Throwing Muses - Throwing Muses	5.00 stars
