rental	Album	satchmykels
3.50 stars	Ausmuteants - Amusements	4.00 stars
3.50 stars	Ausmuteants - Order of Operation	4.00 stars
4.00 stars	Banque Allemande - Eins, Zwei	4.00 stars
3.50 stars	Pinkish Black - Pinkish Black	4.50 stars
3.50 stars	Blank Dogs - On Two Sides	4.00 stars
3.50 stars	Bongwater - Double Bummer	4.00 stars
3.00 stars	Brise-Glace - When in Vanitas...	2.00 stars
4.00 stars	Butthole Surfers - Rembrandt Pussyhorse	4.00 stars
4.00 stars	Butthole Surfers - Locust Abortion Technician	4.00 stars
4.00 stars	Can - Soundtracks	4.50 stars
4.00 stars	The Cannanes - The African Man's Tomato	4.00 stars
3.50 stars	Cheveu - Cheveu	4.00 stars
4.00 stars	Lloyd Cole and The Commotions - Rattlesnakes	4.00 stars
3.50 stars	Constant Mongrel - Everything Goes Wrong	4.50 stars
4.00 stars	Crazy Spirit - Crazy Spirit	4.00 stars
3.50 stars	Cuntz - Aloha	4.00 stars
4.50 stars	Cuntz - Force the Zone	3.50 stars
3.50 stars	Deaf Wish - Reality & Visions	4.50 stars
3.50 stars	Deaf Wish - Mercy	4.00 stars
4.00 stars	Descendents - Milo Goes to College	4.00 stars
3.50 stars	Destruction Unit - Deep Trip	3.50 stars
3.50 stars	DNA - DNA on DNA	4.00 stars
4.00 stars	Eddy Current Suppression Ring - Primary Colours	4.00 stars
3.50 stars	feedtime - Feedtime	4.50 stars
3.50 stars	Flipper - Album: Generic Flipper	4.50 stars
3.50 stars	Fugazi - Repeater	4.00 stars
4.00 stars	Golden Pelicans - Oldest Ride, Longest Line	3.50 stars
3.50 stars	Rowland S. Howard - Teenage Snuff Film	4.00 stars
3.00 stars	Ed Kuepper - Honey Steel's Gold	4.00 stars
3.50 stars	Lower Plenty - Life / Thrills	3.50 stars
4.50 stars	Low Life - Dogging	4.00 stars
3.00 stars	Dan Melchior - Assemblage Blues	3.50 stars
4.00 stars	Metallica - Ride the Lightning	4.00 stars
3.50 stars	Minutemen - Buzz or Howl Under the Influence of Heat	4.00 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	5.00 stars
4.00 stars	The Velvet Underground - The Velvet Underground	4.00 stars
4.00 stars	The Can - Monster Movie	4.00 stars
3.50 stars	Faust - Faust	3.00 stars
4.00 stars	David Bowie - Hunky Dory	4.50 stars
4.00 stars	David Bowie - The Rise and Fall of Ziggy Stardust and the Spiders From Mars	4.00 stars
3.50 stars	Lou Reed - Transformer	4.50 stars
3.50 stars	Can - Future Days	3.50 stars
3.50 stars	Eno - Here Come the Warm Jets	4.50 stars
3.50 stars	Eno - Taking Tiger Mountain (By Strategy)	4.50 stars
4.00 stars	Stevie Wonder - Songs in the Key of Life	4.50 stars
3.50 stars	Chrome - Alien Soundtracks	4.50 stars
3.50 stars	Iggy Pop - The Idiot	4.00 stars
3.50 stars	The Stranglers - Stranglers IV (Rattus Norvegicus)	4.00 stars
4.00 stars	Talking Heads - Talking Heads: 77	4.00 stars
4.00 stars	Ramones - Rocket to Russia	5.00 stars
4.50 stars	Wire - Pink Flag	5.00 stars
4.00 stars	Talking Heads - More Songs About Buildings and Food	3.50 stars
4.00 stars	Wire - Chairs Missing	4.50 stars
3.50 stars	Blondie - Parallel Lines	4.00 stars
3.50 stars	Pere Ubu - Dub Housing	4.00 stars
4.00 stars	Chrome - Half Machine Lip Moves	5.00 stars
3.50 stars	Contortions - Buy	4.00 stars
4.00 stars	The Pop Group - Y	3.50 stars
4.00 stars	Crass - Stations of the Crass	3.00 stars
3.50 stars	Talking Heads - Fear of Music	4.00 stars
4.00 stars	Wire - 154	4.00 stars
4.00 stars	The Damned - Machine Gun Etiquette	3.50 stars
3.50 stars	The Feelies - Crazy Rhythms	4.00 stars
3.50 stars	The Pop Group - For How Much Longer Do We Tolerate Mass Murder?	3.50 stars
4.00 stars	X - Los Angeles	4.00 stars
3.50 stars	The Jam - Sound Affects	3.50 stars
3.00 stars	The Flesh Eaters - A Minute to Pray, a Second to Die	3.50 stars
4.00 stars	Television Personalities - ...And Don't the Kids Just Love It	3.50 stars
3.50 stars	Oingo Boingo - Only a Lad	3.50 stars
4.00 stars	This Heat - Deceit	5.00 stars
3.50 stars	Einstürzende Neubauten - Kollaps	4.00 stars
4.00 stars	Glenn Branca - The Ascension	4.50 stars
3.50 stars	Soft Cell - Non-Stop Erotic Cabaret	4.00 stars
4.00 stars	Discharge - Hear Nothing See Nothing Say Nothing	4.00 stars
3.00 stars	Death in June - The Guilty Have No Pride	3.50 stars
4.50 stars	Meat Puppets - Meat Puppets II	4.50 stars
3.00 stars	Robyn Hitchcock - I Often Dream of Trains	3.50 stars
4.00 stars	Meat Puppets - Up on the Sun	4.50 stars
4.00 stars	Big Black - Atomizer	4.50 stars
3.50 stars	Slayer - Reign in Blood	4.50 stars
3.50 stars	Hüsker Dü - Warehouse: Songs and Stories	3.50 stars
3.00 stars	Prince - Sign "☮" the Times	3.50 stars
4.50 stars	Dinosaur - You're Living All Over Me	4.00 stars
4.00 stars	The Bats - Daddy's Highway	4.50 stars
3.50 stars	The Feelies - Only Life	4.00 stars
3.50 stars	Pussy Galore - Sugarshit Sharp	4.50 stars
3.50 stars	Pixies - Surfer Rosa	4.00 stars
3.50 stars	Dinosaur Jr - Bug	4.50 stars
4.50 stars	Pixies - Doolittle	4.50 stars
3.50 stars	Godflesh - Streetcleaner	4.50 stars
4.00 stars	Sun City Girls - Torch of the Mystics	4.50 stars
3.50 stars	Sonic Youth - Goo	4.00 stars
4.00 stars	The Jesus Lizard - Goat	5.00 stars
4.50 stars	Yo La Tengo - Painful	4.50 stars
5.00 stars	Guided by Voices - Bee Thousand	4.50 stars
3.50 stars	Brainbombs - Urge to Kill	4.00 stars
3.50 stars	Country Teasers - The Empire Strikes Back	3.50 stars
3.50 stars	Frustration - Relax	4.50 stars
3.50 stars	Cheap Time - Cheap Time	3.00 stars
4.00 stars	Thee Oh Sees - Help	4.00 stars
4.00 stars	Iceage - New Brigade	4.00 stars
4.00 stars	The Men - Leave Home	4.00 stars
3.50 stars	Goat - World Music	4.00 stars
3.00 stars	Swans - The Seer	4.00 stars
3.50 stars	Constant Mongrel - Heavy Breathing	4.00 stars
4.00 stars	Cuntz - Solid Mates	4.00 stars
4.00 stars	Parkay Quarts - Tally All the Things That You Broke	3.50 stars
3.50 stars	Parquet Courts - Sunbathing Animal	4.00 stars
4.00 stars	Golden Pelicans - Golden Pelicans	4.00 stars
4.00 stars	Parkay Quarts - Content Nausea	4.00 stars
3.50 stars	Dawn of Humans - Slurping at the Cosmos Spine	3.00 stars
4.00 stars	Tyvek - Origin of What	4.00 stars
3.50 stars	Obnox - Louder Space	4.00 stars
4.00 stars	Pere Ubu - The Modern Dance	4.50 stars
4.00 stars	Pissed Jeans - King of Jeans	4.50 stars
4.00 stars	Poison Idea - Feel the Darkness	4.50 stars
3.50 stars	Protomartyr - Under Color of Official Right	3.50 stars
3.50 stars	Pylon - Gyrate	4.50 stars
4.00 stars	Ramones - Ramones	5.00 stars
3.50 stars	Jay Reatard - Blood Visions	3.50 stars
3.00 stars	Lou Reed - Berlin	4.00 stars
3.50 stars	R.E.M. - Reckoning	4.50 stars
3.50 stars	R.E.M. - Lifes Rich Pageant	4.00 stars
4.00 stars	Royal Headache - Royal Headache	4.00 stars
3.00 stars	Russell St. Bombings - Russell St. Bombings	3.50 stars
3.00 stars	Slug Guts - Playin’ In Time with the Deadbeat	3.00 stars
4.50 stars	Smith Westerns - Dye It Blonde	3.50 stars
3.00 stars	Soft Cell - The Art of Falling Apart	3.00 stars
3.50 stars	The Sonic Youth - Sister	4.50 stars
4.00 stars	The Sound - Jeopardy	4.50 stars
3.00 stars	The Specials - Specials	4.00 stars
3.00 stars	Spray Paint - Spray Paint	2.50 stars
3.50 stars	Talking Heads - Remain in Light	4.00 stars
3.50 stars	Teenage Fanclub - Grand Prix	3.50 stars
4.00 stars	This Heat - This Heat	3.50 stars
3.50 stars	Throbbing Gristle - 20 Jazz Funk Greats	3.50 stars
4.50 stars	Total Control - Henge Beat	4.00 stars
3.50 stars	True Sons of Thunder - Stop and Smell Your Face	4.00 stars
4.00 stars	The Urinals - Negative Capability... Check It Out!	4.00 stars
4.00 stars	V3 - Photograph Burns	4.00 stars
4.00 stars	Various Artists - No New York	4.00 stars
4.00 stars	The Velvet Underground - White Light / White Heat	3.50 stars
3.00 stars	The Velvet Underground - Loaded	4.00 stars
3.00 stars	The Waterboys - This Is the Sea	4.00 stars
4.50 stars	Watery Love - Decorative Feeding	4.00 stars
3.50 stars	White Lung - It's the Evil	4.00 stars
3.50 stars	Wiccans - Field II	4.00 stars
4.00 stars	Wipers - Is This Real?	5.00 stars
3.50 stars	X - Under the Big Black Sun	4.50 stars
rental and satchmykels disagree: (23)
rental	Album	satchmykels
