rental	Album	syunikiss
3.50 stars	Yapoos - ヤプーズ計画 (Yapoos Keikaku)	4.00 stars
3.50 stars	Anasazi - Nuke York	3.50 stars
3.50 stars	Anasazi - Nasty Witch Rock	3.00 stars
4.00 stars	Animal Collective - Fall Be Kind	3.50 stars
3.50 stars	Angelo Badalamenti - Twin Peaks: Limited Event Series Soundtrack	4.50 stars
3.50 stars	Pinkish Black - Pinkish Black	3.50 stars
3.50 stars	Boris - flood	3.50 stars
3.00 stars	Cabaret Voltaire - Red Mecca	3.00 stars
3.50 stars	Chuck Person - Chuck Person's Eccojams Vol. 1	3.50 stars
3.50 stars	Cocteau Twins - Head Over Heels	3.50 stars
4.00 stars	Coil - Musick to Play in the Dark	5.00 stars
4.00 stars	Crass - Penis Envy	4.50 stars
3.50 stars	The Damned - Damned Damned Damned	4.50 stars
3.50 stars	Death Grips - Government Plates	3.50 stars
3.50 stars	DNA - DNA on DNA	3.50 stars
4.00 stars	Earth - The Bees Made Honey in the Lion's Skull	3.00 stars
4.00 stars	Fleet Foxes - Crack-Up	3.50 stars
3.50 stars	Flipper - Album: Generic Flipper	4.50 stars
3.00 stars	Funeral Parade - Funeral Parade	3.00 stars
3.50 stars	The Gerogerigegege - 燃えない灰 (Moenai Hai)	4.50 stars
3.00 stars	Godspeed You Black Emperor! - Slow Riot for New Zerø Kanada E.P.	4.00 stars
3.00 stars	Grimes - Visions	3.00 stars
3.00 stars	Françoise Hardy - Françoise Hardy [La question]	3.50 stars
3.50 stars	Anna von Hausswolff - Dead Magic	4.50 stars
4.00 stars	Tim Hecker - Harmony in Ultraviolet	4.50 stars
3.50 stars	Tim Hecker - Virgins	4.50 stars
3.00 stars	Kiss the Anus of a Black Cat - An Interlude to the Outermost	3.00 stars
3.50 stars	Lost Tribe - Lost Tribe	3.50 stars
3.00 stars	Low Life - Sydney Darbs	3.00 stars
4.00 stars	MGMT - Little Dark Age	3.00 stars
3.50 stars	The Microphones - The Glow Pt. 2	4.50 stars
4.00 stars	Modest Mouse - This Is a Long Drive for Someone With Nothing to Think About	4.00 stars
3.50 stars	Miles Davis - Kind of Blue	2.50 stars
4.00 stars	The Ornette Coleman Double Quartet - Free Jazz	3.50 stars
4.00 stars	Mingus - The Black Saint and the Sinner Lady	3.50 stars
3.00 stars	Captain Beefheart and His Magic Band - Safe as Milk	3.00 stars
4.00 stars	Captain Beefheart & His Magic Band - Trout Mask Replica	3.50 stars
4.50 stars	Scott Engel - Scott 4	4.00 stars
3.50 stars	Faust - Faust	4.50 stars
3.50 stars	Eno - Here Come the Warm Jets	4.50 stars
3.50 stars	Velvet Underground - 1969 Velvet Underground Live With Lou Reed	3.50 stars
3.50 stars	Eno - Taking Tiger Mountain (By Strategy)	4.00 stars
4.00 stars	Slapp Happy / Henry Cow - Desperate Straights	3.00 stars
3.50 stars	Eno - Another Green World	2.50 stars
3.50 stars	Fleetwood Mac - Rumours	2.50 stars
4.00 stars	Suicide - Suicide	4.50 stars
4.00 stars	Devo - Q: Are We Not Men? A: We Are Devo!	3.00 stars
4.00 stars	Public Image Ltd - Public Image	3.50 stars
4.00 stars	Crass - Stations of the Crass	3.50 stars
3.50 stars	Yellow Magic Orchestra - Solid State Survivor	3.50 stars
4.00 stars	Slapp Happy - Slapp Happy or Slapp Happy	3.50 stars
3.50 stars	Yōran - Montparnasse	3.50 stars
4.00 stars	The Gun Club - Fire of Love	4.00 stars
4.00 stars	Glenn Branca - The Ascension	4.50 stars
3.50 stars	Solid Space - Space Museum	4.50 stars
3.50 stars	Felt - Crumbling the Antiseptic Beauty	3.00 stars
3.50 stars	Misfits - Walk Among Us	3.50 stars
4.00 stars	The Gun Club - Miami	4.00 stars
3.50 stars	Subhumans - The Day the Country Died	4.50 stars
3.00 stars	New Order - Power, Corruption & Lies	3.50 stars
3.50 stars	The Chameleons - Script of the Bridge	4.00 stars
3.50 stars	The Gun Club - The Las Vegas Story	3.50 stars
3.00 stars	Flipper - Gone Fishin'	3.00 stars
3.50 stars	Felt - The Strange Idols Pattern and Other Short Stories	4.00 stars
4.00 stars	Meat Puppets - Up on the Sun	3.00 stars
3.50 stars	Sonic Youth - EVOL	4.50 stars
3.50 stars	Felt - Forever Breathes the Lonely Word	4.00 stars
4.00 stars	The Chameleons - Strange Times	3.00 stars
3.50 stars	Einstürzende Neubauten - Fünf auf der nach oben offenen Richterskala	3.50 stars
4.50 stars	Dinosaur - You're Living All Over Me	4.50 stars
3.00 stars	Psychick TV - Allegory and Self	3.00 stars
3.50 stars	Red Temple Spirits - Dancing to Restore an Eclipsed Moon	3.00 stars
4.00 stars	Sonic Youth - Daydream Nation	4.50 stars
3.50 stars	Dinosaur Jr - Bug	4.00 stars
4.00 stars	Fushitsusha - 1st	3.00 stars
4.50 stars	Minor Threat - Complete Discography	4.50 stars
3.50 stars	Sonic Youth - Goo	4.50 stars
4.00 stars	Prefab Sprout - Jordan: The Comeback	3.00 stars
3.50 stars	Drive Like Jehu - Drive Like Jehu	4.50 stars
5.00 stars	Slint - Spiderland	4.00 stars
4.50 stars	Les Rallizes dénudés - '77 Live	4.00 stars
3.00 stars	Slowdive - Just for a Day	4.00 stars
3.50 stars	Nirvana - Nevermind	4.00 stars
4.00 stars	Scratch Acid - The Greatest Gift	3.50 stars
3.50 stars	God - Possession	3.50 stars
3.00 stars	The Nation of Ulysses - Plays Pretty for Baby	3.00 stars
3.50 stars	Red House Painters - Down Colorful Hill	4.00 stars
3.00 stars	Fugazi - In on the Kill Taker	3.50 stars
4.00 stars	Unwound - Fake Train	3.50 stars
4.50 stars	Pavement - Crooked Rain, Crooked Rain	5.00 stars
3.50 stars	Unwound - New Plastic Ideas	3.00 stars
4.00 stars	Shellac - At Action Park	4.00 stars
3.00 stars	Slowdive - Pygmalion	3.50 stars
3.50 stars	Death - Symbolic	4.50 stars
3.50 stars	Pavement - Wowee Zowee	3.00 stars
3.50 stars	Unwound - The Future of What	2.50 stars
4.50 stars	Three-6 Mafia - Mystic Stylez	3.50 stars
3.50 stars	Fugazi - Red Medicine	3.00 stars
3.50 stars	Sonic Youth - Washing Machine	3.50 stars
3.50 stars	Mainliner - Mellow Out	3.50 stars
3.50 stars	Księżyc - Księżyc	3.50 stars
3.50 stars	Ground-Zero - 革命京劇 Revolutionary Pekinese Opera Ver.1.28 (Kakumeikyōgeki)	4.00 stars
3.50 stars	Unwound - Repetition	3.50 stars
4.00 stars	Weezer - Pinkerton	4.00 stars
3.50 stars	Swans - Soundtracks for the Blind	4.00 stars
3.50 stars	DJ Shadow - Endtroducing.....	4.00 stars
3.50 stars	Pavement - Brighten the Corners	3.50 stars
3.50 stars	Prodigy - The Fat of the Land	3.50 stars
3.00 stars	Björk - Homogenic	4.00 stars
3.50 stars	Modest Mouse - The Lonesome Crowded West	4.50 stars
3.00 stars	Swans - Swans Are Dead	4.00 stars
3.50 stars	John Zorn - The Circle Maker	3.50 stars
3.00 stars	Gorguts - Obscura	4.00 stars
4.00 stars	Triple Six Mafia - Underground Vol. 1: 1991-1994	3.50 stars
3.50 stars	Pavement - Terror Twilight	2.50 stars
3.00 stars	The Get Up Kids - Something to Write Home About	3.50 stars
3.50 stars	Avey Tare and Panda Bear - Spirit They're Gone Spirit They've Vanished	3.50 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	4.00 stars
3.00 stars	PJ Harvey - Stories From the City, Stories From the Sea	2.50 stars
4.00 stars	Unwound - Leaves Turn Inside You	4.50 stars
3.50 stars	Foetus - Flow	3.50 stars
3.00 stars	Sparklehorse - It's a Wonderful Life	3.00 stars
4.00 stars	Converge - Jane Doe	4.50 stars
3.50 stars	Fugazi - The Argument	4.00 stars
3.00 stars	Tim Hecker - Haunt Me, Haunt Me Do It Again	3.00 stars
4.50 stars	Xiu Xiu - Knife Play	3.50 stars
3.00 stars	Sonic Youth - Murray Street	3.50 stars
3.50 stars	Queens of the Stone Age - Songs for the Deaf	4.00 stars
3.50 stars	Xiu Xiu - Chapel of the Chimes	3.50 stars
4.00 stars	Theoretical Girls - Theoretical Girls	3.50 stars
4.00 stars	the Mountain Goats - Tallahassee	4.50 stars
4.50 stars	Xiu Xiu - A Promise	3.50 stars
4.00 stars	Magnolia Electric Co. - The Magnolia Electric Co.	3.50 stars
3.50 stars	Animal Collective - Sung Tongs	4.50 stars
3.50 stars	Mastodon - Leviathan	4.50 stars
4.00 stars	Earth - Hex; or Printing in the Infernal Method	3.00 stars
4.00 stars	Animal Collective - Feels	3.50 stars
4.50 stars	Coil - The Ape of Naples	3.50 stars
3.50 stars	Xiu Xiu - The Air Force	3.00 stars
3.00 stars	Wolf Eyes - Human Animal	3.50 stars
3.50 stars	The Angelic Process - Weighing Souls With Sand	3.50 stars
3.50 stars	Viper - You'll Cowards Don't Even Smoke Crack	3.00 stars
