rental	Album	teenfromvenus
3.50 stars	Allah-Las - Allah Las	4.00 stars
3.50 stars	Amyl and The Sniffers - Amyl and The Sniffers	4.00 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	3.50 stars
3.50 stars	Avengers - Avengers	3.50 stars
3.50 stars	Bark Psychosis - Hex	3.50 stars
3.50 stars	Bauhaus - In the Flat Field	4.00 stars
4.00 stars	The Beach Boys - Pet Sounds	4.50 stars
4.00 stars	Beat Happening - You Turn Me On	3.50 stars
4.00 stars	Belle & Sebastian - Dear Catastrophe Waitress	3.50 stars
3.50 stars	The Beths - Future Me Hates Me	3.00 stars
4.00 stars	Black Eyes - Black Eyes	4.00 stars
4.00 stars	black midi - Schlagenheim	3.50 stars
4.00 stars	Art Blakey and The Jazz Messengers - Art Blakey and The Jazz Messengers [Moanin']	3.00 stars
3.50 stars	David Bowie - Station to Station	4.00 stars
3.50 stars	David Bowie - "Heroes"	4.00 stars
4.00 stars	David Thomas Broughton - The Complete Guide to Insufficiency	3.50 stars
3.50 stars	Kate Bush - Hounds of Love	3.00 stars
4.00 stars	Can - Soundtracks	3.50 stars
3.00 stars	Nick Cave & The Bad Seeds - Skeleton Tree	3.50 stars
4.00 stars	Chastity Belt - No Regerts	3.00 stars
3.50 stars	Cheveu - Cheveu	3.50 stars
3.00 stars	The Church - Starfish	3.50 stars
3.50 stars	Cocteau Twins - Head Over Heels	4.00 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	3.50 stars
3.50 stars	The Damned - Damned Damned Damned	3.00 stars
3.50 stars	Daughters - Daughters	4.00 stars
3.50 stars	Deerhunter - Rainwater Cassette Exchange	3.50 stars
3.50 stars	Deerhunter - Fading Frontier	3.00 stars
3.50 stars	Destruction Unit - Deep Trip	3.00 stars
3.50 stars	Dinosaur Jr. - Beyond	3.50 stars
3.50 stars	Disappears - Pre Language	3.00 stars
3.50 stars	The Doors - The Doors	4.00 stars
3.50 stars	Nick Drake - Five Leaves Left	4.50 stars
4.00 stars	Eddy Current Suppression Ring - Primary Colours	3.50 stars
3.50 stars	Eldritch Anisette - Eldritch Anisette	3.50 stars
3.00 stars	Fad Gadget - Fireside Favourites	2.50 stars
4.00 stars	The Fall - Perverted by Language	4.00 stars
3.50 stars	The Fall - The Real New Fall LP: Formerly Country on the Click	3.50 stars
3.50 stars	The Field Mice - Snowball	4.00 stars
2.50 stars	Foals - Total Life Forever	2.50 stars
4.00 stars	Fontaines D.C. - Dogrel	3.50 stars
3.00 stars	Fucked Up - The Chemistry of Common Life	3.00 stars
3.50 stars	Fugazi - Repeater	3.00 stars
4.00 stars	Gang of Four - Entertainment!	4.00 stars
3.00 stars	Gnod - Chapel Perilous	3.50 stars
4.00 stars	The Go-Betweens - Liberty Belle and the Black Diamond Express	3.00 stars
4.50 stars	The Go-Betweens - 16 Lovers Lane	3.50 stars
4.00 stars	Colleen Green - I Want to Grow Up	3.00 stars
3.50 stars	Grouper - Dragging a Dead Deer Up a Hill	3.00 stars
3.00 stars	Have a Nice Life - The Unnatural World	4.00 stars
3.00 stars	Heavy Lungs - Straight to CD	3.00 stars
3.00 stars	The Hecks - The Hecks	3.00 stars
4.00 stars	Holograms - Holograms	3.50 stars
3.50 stars	Hot Snakes - Jericho Sirens	2.50 stars
3.50 stars	Rowland S. Howard - Teenage Snuff Film	4.00 stars
3.00 stars	Iguana Death Cult - The First Stirrings of Hideous Insect Life	3.50 stars
3.50 stars	Joy Division - Closer	4.50 stars
3.00 stars	Kero Kero Bonito - Bonito Generation	3.50 stars
3.50 stars	The Lounge Lizards - The Lounge Lizards	3.50 stars
4.00 stars	Love - Forever Changes	3.00 stars
3.50 stars	mclusky - The Difference Between Me and You Is That I'm Not on Fire	3.50 stars
3.00 stars	MGMT - MGMT	3.00 stars
3.50 stars	The Microphones - The Glow Pt. 2	3.50 stars
3.00 stars	Joni Mitchell - Blue	3.50 stars
4.00 stars	Modest Mouse - This Is a Long Drive for Someone With Nothing to Think About	3.50 stars
3.50 stars	Miles Davis - Kind of Blue	4.00 stars
3.50 stars	Marty Robbins - Gunfighter Ballads and Trail Songs	3.50 stars
3.50 stars	John Coltrane - My Favorite Things	3.50 stars
3.00 stars	The Ronettes - Presenting The Fabulous Ronettes Featuring Veronica	3.00 stars
3.50 stars	The Sonics - Here Are The Sonics!!!	3.00 stars
3.50 stars	Bob Dylan - Bringing It All Back Home	4.00 stars
3.50 stars	Nina Simone - Pastel Blues	3.50 stars
4.50 stars	Jackson C. Frank - Jackson C. Frank	4.00 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	4.00 stars
3.50 stars	The Beatles - Sgt. Pepper's Lonely Hearts Club Band	4.00 stars
3.50 stars	Leonard Cohen - Songs of Leonard Cohen	4.00 stars
4.00 stars	Dr. John, The Night Tripper - Gris-Gris	4.00 stars
4.00 stars	The Zombies - Odessey and Oracle	4.00 stars
3.50 stars	Os Mutantes - Os Mutantes	3.50 stars
3.50 stars	Van Morrison - Astral Weeks	3.50 stars
3.50 stars	Tim Buckley - Happy Sad	4.00 stars
3.00 stars	The Stooges - The Stooges	4.00 stars
4.00 stars	Townes Van Zandt - Townes Van Zandt	3.50 stars
3.50 stars	Syd Barrett - The Madcap Laughs	3.50 stars
3.00 stars	Crosby, Stills, Nash & Young - Déjà vu	3.00 stars
3.50 stars	The Stooges - Fun House	4.50 stars
3.50 stars	Nick Drake - Bryter Layter	3.50 stars
4.00 stars	Serge Gainsbourg - Histoire de Melody Nelson	4.00 stars
3.50 stars	T. Rex - Electric Warrior	3.00 stars
4.00 stars	Can - Tago Mago	4.00 stars
4.00 stars	Nick Drake - Pink Moon	5.00 stars
4.00 stars	David Bowie - The Rise and Fall of Ziggy Stardust and the Spiders From Mars	4.00 stars
4.50 stars	Can - Ege Bamyasi	4.00 stars
4.00 stars	Iggy and The Stooges - Raw Power	4.00 stars
4.00 stars	Todd Rundgren - A Wizard, A True Star	3.50 stars
3.50 stars	David Bowie - Aladdin Sane	4.50 stars
3.50 stars	Can - Future Days	4.00 stars
3.00 stars	NEU! - NEU! '75	3.50 stars
3.50 stars	Bob Dylan - Blood on the Tracks	3.50 stars
3.00 stars	Patti Smith - Horses	4.00 stars
3.00 stars	Gary Wilson - You Think You Really Know Me	3.00 stars
3.50 stars	Chrome - Alien Soundtracks	3.00 stars
4.00 stars	David Bowie - Low	3.50 stars
4.00 stars	Television - Marquee Moon	4.00 stars
3.50 stars	Iggy Pop - The Idiot	4.00 stars
3.50 stars	The Stranglers - Stranglers IV (Rattus Norvegicus)	3.50 stars
3.50 stars	The Clash - The Clash	3.50 stars
4.00 stars	Talking Heads - Talking Heads: 77	4.00 stars
4.00 stars	Suicide - Suicide	4.00 stars
4.50 stars	Wire - Pink Flag	3.50 stars
3.50 stars	Brian Eno - Ambient 1: Music for Airports	3.50 stars
4.00 stars	Talking Heads - More Songs About Buildings and Food	3.50 stars
4.00 stars	Devo - Q: Are We Not Men? A: We Are Devo!	3.50 stars
3.50 stars	Blondie - Parallel Lines	3.00 stars
4.00 stars	Public Image Ltd - Public Image	3.50 stars
3.50 stars	Lizzy Mercier Descloux - Press Color	4.00 stars
3.50 stars	Contortions - Buy	2.50 stars
