rental	Album	thehuntingparty
3.00 stars	American Football - American Football	2.00 stars
4.00 stars	Animal Collective - Fall Be Kind	4.00 stars
4.00 stars	Antena - Camino del sol	3.50 stars
3.50 stars	Bark Psychosis - Hex	4.00 stars
4.00 stars	William Basinski - The Disintegration Loops	3.00 stars
3.50 stars	William Basinski - The Disintegration Loops II	3.00 stars
3.50 stars	William Basinski - The Disintegration Loops III	3.00 stars
3.50 stars	William Basinski - The Disintegration Loops IV	3.00 stars
4.00 stars	Beat Happening - You Turn Me On	3.50 stars
4.00 stars	The Beatles - Abbey Road	3.50 stars
4.00 stars	Belle & Sebastian - Dear Catastrophe Waitress	3.50 stars
3.50 stars	Big Blood - Space Gallery Jan. 27, 2007 / Sahara Club Jan. 28, 2007	3.00 stars
4.00 stars	Art Blakey and The Jazz Messengers - Art Blakey and The Jazz Messengers [Moanin']	3.00 stars
4.00 stars	The Books - The Lemon of Pink	3.00 stars
3.00 stars	Boredoms - Super æ	2.50 stars
3.50 stars	Boris - flood	3.00 stars
3.00 stars	Brise-Glace - When in Vanitas...	3.50 stars
3.50 stars	Kate Bush - Hounds of Love	4.00 stars
4.00 stars	Can - Soundtracks	3.00 stars
3.50 stars	The Caretaker - Persistent Repetition of Phrases	3.50 stars
3.50 stars	Cheval de Frise - Cheval de Frise	3.50 stars
2.50 stars	Circle Takes the Square - As the Roots Undo	2.00 stars
3.50 stars	Constant Mongrel - Everything Goes Wrong	3.50 stars
3.50 stars	Aaron Dilloway - Modern Jester	3.50 stars
3.50 stars	Dinosaur Jr. - Beyond	3.00 stars
3.50 stars	Eldritch Anisette - Eldritch Anisette	4.00 stars
2.50 stars	Matt Elliott - Drinking Songs	2.50 stars
3.50 stars	John Fahey - Fare Forward Voyagers (Soldier's Choice)	2.50 stars
3.00 stars	Th Faith Healers - Lido	3.50 stars
3.50 stars	feedtime - Feedtime	3.50 stars
3.50 stars	James Ferraro - Clear	2.50 stars
3.50 stars	The Field Mice - Snowball	2.50 stars
3.50 stars	Flipper - Album: Generic Flipper	3.50 stars
3.50 stars	Ben Frost - By the Throat	2.50 stars
3.50 stars	Fugazi - Repeater	2.50 stars
3.00 stars	Godspeed You Black Emperor! - Slow Riot for New Zerø Kanada E.P.	2.50 stars
4.00 stars	Gordons - The Gordons	3.00 stars
3.00 stars	Grimes - Visions	3.00 stars
3.50 stars	Hala Strana - Fielding	3.00 stars
4.00 stars	Harvey Milk - Courtesy and Good Will Toward Men	4.00 stars
3.00 stars	Have a Nice Life - The Unnatural World	3.50 stars
4.00 stars	Tim Hecker - Harmony in Ultraviolet	3.00 stars
3.50 stars	Tim Hecker - Virgins	3.00 stars
3.50 stars	Rowland S. Howard - Teenage Snuff Film	3.50 stars
3.50 stars	Hype Williams - Find Out What Happens When People Stop Being Polite, and Start Gettin' Reel	3.50 stars
3.50 stars	Jackie-O Motherfucker - Fig. 5	3.50 stars
3.00 stars	Jesu - Jesu	3.00 stars
4.00 stars	Graham Lambkin - Salmon Run	4.50 stars
3.00 stars	LCD Soundsystem - This Is Happening	3.00 stars
3.00 stars	Jason Lescalleet - The Pilgrim	3.00 stars
4.00 stars	Love - Forever Changes	3.00 stars
3.50 stars	Low - Things We Lost in the Fire	3.00 stars
3.50 stars	Macha - See It Another Way	3.50 stars
2.50 stars	Magma - Mekanïk Destruktïw Kommandöh	2.00 stars
3.50 stars	Loren MazzaCane Connors - Long Nights	3.50 stars
3.00 stars	Melvins - Eggnog	4.00 stars
3.50 stars	The Microphones - The Glow Pt. 2	3.50 stars
3.50 stars	Miles Davis - Kind of Blue	3.50 stars
4.00 stars	Sandy Bull - Fantasias for Guitar and Banjo	4.00 stars
4.00 stars	Mingus - The Black Saint and the Sinner Lady	4.00 stars
3.50 stars	Albert Ayler Trio - Spiritual Unity	3.00 stars
4.00 stars	John Coltrane - A Love Supreme	4.00 stars
3.50 stars	The Sonics - Here Are The Sonics!!!	3.00 stars
4.50 stars	Jackson C. Frank - Jackson C. Frank	3.50 stars
3.50 stars	Bob Dylan - Blonde on Blonde	2.50 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	4.50 stars
3.50 stars	Leonard Cohen - Songs of Leonard Cohen	3.50 stars
4.00 stars	The Zombies - Odessey and Oracle	3.00 stars
3.50 stars	Technical Space Composer's Crew - Canaxis 5	4.50 stars
4.00 stars	The Velvet Underground - The Velvet Underground	4.00 stars
3.50 stars	Pharoah Sanders - Karma	4.00 stars
4.00 stars	The Can - Monster Movie	4.00 stars
4.00 stars	Townes Van Zandt - Townes Van Zandt	3.00 stars
3.00 stars	Frank Zappa - Hot Rats	2.50 stars
4.00 stars	Exuma - Exuma	3.00 stars
3.50 stars	The Stooges - Fun House	4.00 stars
3.50 stars	Faust - Faust	3.50 stars
3.00 stars	Marvin Gaye - What's Going On	3.00 stars
3.00 stars	Black Sabbath - Master of Reality	4.00 stars
4.00 stars	Can - Tago Mago	4.00 stars
3.50 stars	Popol Vuh - Hosianna Mantra	3.50 stars
4.50 stars	Can - Ege Bamyasi	4.00 stars
3.50 stars	Lou Reed - Transformer	4.00 stars
3.50 stars	Can - Future Days	4.00 stars
3.50 stars	Sparks - Kimono My House	4.00 stars
3.50 stars	Eno - Taking Tiger Mountain (By Strategy)	3.00 stars
3.00 stars	NEU! - NEU! '75	2.00 stars
3.50 stars	Eno - Another Green World	3.50 stars
3.00 stars	Patti Smith - Horses	2.00 stars
4.00 stars	Television - Marquee Moon	4.00 stars
4.00 stars	Talking Heads - Talking Heads: 77	3.00 stars
4.50 stars	Wire - Pink Flag	3.50 stars
4.00 stars	Robbie Basho - Visions of the Country	3.50 stars
3.50 stars	Brian Eno - Ambient 1: Music for Airports	3.00 stars
4.00 stars	Wire - Chairs Missing	3.50 stars
3.50 stars	Lizzy Mercier Descloux - Press Color	3.50 stars
4.00 stars	Chrome - Half Machine Lip Moves	3.50 stars
3.50 stars	Joy Division - Unknown Pleasures	2.50 stars
3.50 stars	Talking Heads - Fear of Music	3.50 stars
4.00 stars	Wire - 154	3.50 stars
3.50 stars	Germs - (GI)	2.50 stars
4.00 stars	X - Los Angeles	3.00 stars
3.50 stars	Dead Kennedys - Fresh Fruit for Rotting Vegetables	2.50 stars
3.50 stars	Yōran - Montparnasse	4.00 stars
4.00 stars	This Heat - Deceit	4.50 stars
4.00 stars	Glenn Branca - The Ascension	4.50 stars
3.50 stars	Solid Space - Space Museum	2.50 stars
3.50 stars	Cleaners From Venus - Midnight Cleaners	3.00 stars
3.00 stars	New Order - Power, Corruption & Lies	3.00 stars
3.50 stars	The The - Soul Mining	3.00 stars
3.50 stars	Saccharine Trust - Surviving You, Always	4.00 stars
4.00 stars	Hüsker Dü - Zen Arcade	4.00 stars
3.00 stars	Pale Cocoon - 繭 (Mayu)	3.00 stars
3.50 stars	Sonic-Youth - Bad Moon Rising	3.50 stars
4.00 stars	Prefab Sprout - Steve McQueen	3.50 stars
3.50 stars	The Jesus and Mary Chain - Psychocandy	3.50 stars
4.00 stars	Big Black - Atomizer	3.00 stars
3.50 stars	Sonic Youth - EVOL	4.50 stars
4.50 stars	Dinosaur - You're Living All Over Me	3.50 stars
3.50 stars	Big Black - Songs About Fucking	3.00 stars
4.00 stars	The Bats - Daddy's Highway	3.00 stars
3.00 stars	Nuno Canavarro - Plux Quba	4.00 stars
4.00 stars	Galaxie 500 - Today	4.50 stars
3.50 stars	Pixies - Surfer Rosa	3.00 stars
4.00 stars	Sonic Youth - Daydream Nation	4.50 stars
3.50 stars	Dinosaur Jr - Bug	3.00 stars
3.50 stars	My Bloody Valentine - Isn't Anything	3.00 stars
4.00 stars	Fushitsusha - 1st	3.00 stars
3.50 stars	The Cure - Disintegration	2.50 stars
3.50 stars	Bastro - Diablo Guapo	3.50 stars
3.50 stars	The Dead C - Trapdoor Fucking Exit	3.50 stars
4.00 stars	Sun City Girls - Torch of the Mystics	3.00 stars
3.50 stars	Sonic Youth - Goo	4.00 stars
3.50 stars	Ride - Nowhere	2.50 stars
5.00 stars	Slint - Spiderland	4.00 stars
4.50 stars	Les Rallizes dénudés - '77 Live	5.00 stars
4.00 stars	Scratch Acid - The Greatest Gift	3.00 stars
4.00 stars	Talk Talk - Laughing Stock	4.50 stars
4.00 stars	Dadamah - This Is Not a Dream	3.00 stars
3.00 stars	Unrest - Imperial f.f.r.r.	4.00 stars
3.50 stars	London Sinfonietta / David Zinman / Dawn Upshaw - Symphony No. 3	4.00 stars
3.50 stars	Polvo - Cor-Crane Secret	3.50 stars
4.50 stars	Moss Icon - Lyburnum Wits End Liberation Fly	3.50 stars
3.50 stars	Swirlies - Blonder Tongue Audio Baton	4.00 stars
3.50 stars	Slowdive - Souvlaki	3.00 stars
4.00 stars	Unwound - Fake Train	4.50 stars
4.50 stars	Yo La Tengo - Painful	4.00 stars
3.00 stars	Tindersticks - Tindersticks	3.50 stars
3.00 stars	Autechre - Incunabula	3.00 stars
4.00 stars	Disco Inferno - D. I. Go Pop	4.50 stars
3.50 stars	Unwound - New Plastic Ideas	4.50 stars
3.50 stars	Bedhead - WhatFunLifeWas	4.50 stars
