rental	Album	tmonk11
3.50 stars	Adolescents - Adolescents	4.50 stars
3.50 stars	Ausmuteants - Amusements	4.50 stars
4.00 stars	William Basinski - The Disintegration Loops	5.00 stars
3.50 stars	William Basinski - The Disintegration Loops II	4.50 stars
3.50 stars	William Basinski - The Disintegration Loops III	4.50 stars
3.50 stars	William Basinski - The Disintegration Loops IV	4.50 stars
3.50 stars	Bauhaus - In the Flat Field	4.50 stars
4.00 stars	The Beach Boys - Pet Sounds	4.50 stars
4.00 stars	Beat Happening - Jamboree	4.50 stars
3.50 stars	Boards of Canada - Geogaddi	4.50 stars
4.00 stars	The Books - The Lemon of Pink	4.50 stars
3.50 stars	Boris - flood	4.50 stars
3.50 stars	David Bowie - Station to Station	4.50 stars
3.50 stars	David Bowie - "Heroes"	4.50 stars
4.00 stars	David Thomas Broughton - The Complete Guide to Insufficiency	4.50 stars
4.00 stars	Can - Soundtracks	5.00 stars
4.50 stars	The Cannanes - A Love Affair With Nature	4.50 stars
4.00 stars	Cheater Slicks - Reality Is a Grape	4.50 stars
4.50 stars	Civic - New Vietnam	4.50 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.50 stars
3.50 stars	Cocteau Twins - Head Over Heels	4.50 stars
3.50 stars	Cocteau Twins - Heaven or Las Vegas	4.50 stars
4.00 stars	Coil - Horse Rotorvator	5.00 stars
5.00 stars	Ornette Coleman - The Shape of Jazz to Come	5.00 stars
4.00 stars	Comus - First Utterance	4.50 stars
4.50 stars	The Coneheads - Selected Ringtones Tape 3	4.50 stars
3.50 stars	Miles Davis - Get Up With It	4.50 stars
3.50 stars	Dead Kennedys - Fresh Fruit for Rotting Vegetables	4.50 stars
4.00 stars	Deerhunter - Cryptograms	4.50 stars
4.00 stars	Deerhunter - Fluorescent Grey	4.50 stars
3.50 stars	Deerhunter - Rainwater Cassette Exchange	4.50 stars
4.00 stars	Lana Del Rey - Norman Fucking Rockwell!	4.50 stars
4.00 stars	Descendents - Milo Goes to College	4.50 stars
4.00 stars	Destruction Unit - Deep Trip	4.50 stars
3.50 stars	Dirty Three - Ocean Songs	4.50 stars
3.50 stars	Dry Cleaning - Boundary Road Snacks and Drinks	4.50 stars
