rental	Album	tummler_
3.00 stars	Cult Ritual - Cult Ritual	4.00 stars
3.50 stars	Heat Dust - Heat Dust	3.50 stars
4.00 stars	PiL - Metal Box	4.00 stars
3.50 stars	GAS - Königsforst	3.50 stars
4.00 stars	Vladislav Delay - Multila	4.00 stars
4.50 stars	Graham Lambkin - Amateur Doubles	4.00 stars
4.00 stars	Iceage - New Brigade	4.50 stars
4.00 stars	Huerco S. - Colonial Patterns	4.00 stars
3.50 stars	Powell - Club Music	3.00 stars
4.00 stars	Tears - 33	3.50 stars
4.00 stars	Earl Sweatshirt - I Don't Like Shit, I Don't Go Outside	3.50 stars
3.50 stars	Pleasure Leftists - The Woods of Heaven	3.50 stars
4.50 stars	Cindy Lee - Act of Tenderness	4.00 stars
3.50 stars	Omni - Deluxe	3.50 stars
4.50 stars	Weed - Running Back	3.50 stars
rental and tummler_ disagree: (1)
rental	Album	tummler_
5.00 stars	Institute - Catharsis	3.00 stars
