rental	Album	twe1
3.50 stars	The Beths - Future Me Hates Me	4.00 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.00 stars
4.00 stars	Cloud Nothings - Life Without Sound	3.50 stars
3.50 stars	Deerhoof - Breakup Song	3.00 stars
4.00 stars	The Drones - Feelin Kinda Free	3.50 stars
4.00 stars	Ducktails - The Flower Lane	3.00 stars
3.50 stars	The Fall - Live at the Witch Trials	3.00 stars
4.00 stars	The Fall - Perverted by Language	4.00 stars
3.50 stars	The Fall - The Real New Fall LP: Formerly Country on the Click	3.50 stars
4.00 stars	Fleet Foxes - Crack-Up	4.00 stars
2.50 stars	Foals - Total Life Forever	3.00 stars
3.50 stars	Fuck Buttons - Tarot Sport	3.50 stars
3.50 stars	Jon Hopkins - Immunity	4.00 stars
4.00 stars	Kendrick Lamar - DAMN.	3.50 stars
3.00 stars	LCD Soundsystem - This Is Happening	3.00 stars
3.50 stars	Janelle Monáe - The ArchAndroid	3.50 stars
4.00 stars	Talking Heads - Talking Heads: 77	3.50 stars
4.50 stars	Wire - Pink Flag	5.00 stars
4.00 stars	Talking Heads - More Songs About Buildings and Food	3.50 stars
4.00 stars	Black Flag - Nervous Breakdown	4.50 stars
4.00 stars	Wire - 154	5.00 stars
4.00 stars	The Fall - Grotesque (After the Gramme)	4.00 stars
4.50 stars	The Fall - Hex Enduction Hour	4.50 stars
5.00 stars	Wipers - Over the Edge	5.00 stars
4.50 stars	Hüsker Dü - Zen Arcade	4.50 stars
3.50 stars	Hüsker Dü - Flip Your Wig	4.50 stars
4.00 stars	The Fall - This Nation's Saving Grace	4.00 stars
3.50 stars	The Fall - Bend Sinister	3.50 stars
3.50 stars	Godflesh - Streetcleaner	4.00 stars
3.50 stars	Panda Bear - Person Pitch	4.00 stars
4.00 stars	MGMT - Oracular Spectacular	4.00 stars
4.00 stars	Fleet Foxes - Fleet Foxes	3.50 stars
4.50 stars	Deerhunter - Microcastle / Weird Era Continued	4.00 stars
5.00 stars	Animal Collective - Merriweather Post Pavilion	4.00 stars
2.50 stars	The Antlers - Hospice	3.50 stars
3.00 stars	Vampire Weekend - Contra	4.00 stars
4.00 stars	Ariel Pink's Haunted Graffiti - Before Today	3.50 stars
4.50 stars	Deerhunter - Halcyon Digest	4.00 stars
4.00 stars	Iceage - New Brigade	3.50 stars
3.50 stars	Destroyer - Kaputt	3.50 stars
3.50 stars	Yuck - Yuck	2.50 stars
3.50 stars	Metronomy - The English Riviera	3.50 stars
3.50 stars	Fleet Foxes - Helplessness Blues	4.00 stars
3.50 stars	Real Estate - Days	2.50 stars
3.50 stars	alt-J - An Awesome Wave	3.00 stars
3.50 stars	Frank Ocean - channel ORANGE	3.00 stars
3.00 stars	Wild Nothing - Nocturne	3.00 stars
3.00 stars	Swans - The Seer	3.00 stars
4.00 stars	Grizzly Bear - Shields	3.50 stars
4.00 stars	Tame Impala - Lonerism	3.50 stars
3.00 stars	METZ - METZ	3.50 stars
4.00 stars	Kendrick Lamar - good kid, m.A.A.d city	4.00 stars
3.50 stars	My Bloody Valentine - m b v	4.00 stars
4.50 stars	Iceage - You're Nothing	3.50 stars
3.50 stars	Merchandise - Totale Nite	3.50 stars
3.00 stars	Dirty Beaches - Drifters / Love Is the Devil	3.00 stars
3.00 stars	Kanye West - Yeezus	3.50 stars
3.00 stars	Run the Jewels - Run the Jewels	3.50 stars
4.00 stars	Fuck Buttons - Slow Focus	3.00 stars
3.50 stars	Cloud Nothings - Here and Nowhere Else	4.00 stars
4.50 stars	Merchandise / Destruction Unit / Milk Music - USA '13	3.50 stars
3.50 stars	Fennesz - Bécs	3.50 stars
3.00 stars	Ben Frost - A U R O R A	3.50 stars
3.50 stars	Parquet Courts - Sunbathing Animal	2.50 stars
4.00 stars	Total Control - Typical System	4.00 stars
2.50 stars	Ty Segall - Manipulator	3.00 stars
3.00 stars	Run the Jewels - Run the Jewels 2	3.50 stars
4.00 stars	David Bowie - ★ [Blackstar]	3.50 stars
3.50 stars	Kendrick Lamar - untitled unmastered.	3.00 stars
3.50 stars	Big Ups - Before a Million Universes	3.50 stars
3.50 stars	Deakin - Sleep Cycle	3.00 stars
3.50 stars	Aesop Rock - The Impossible Kid	3.00 stars
3.50 stars	Radiohead - A Moon Shaped Pool	4.00 stars
4.00 stars	Car Seat Headrest - Teens of Denial	3.50 stars
3.50 stars	Preoccupations - Preoccupations	4.00 stars
3.00 stars	Merchandise - A Corpse Wired for Sound	3.50 stars
3.50 stars	A Tribe Called Quest - We got it from Here… Thank You 4 Your service	4.00 stars
4.00 stars	Idles - Brutalism	3.00 stars
3.50 stars	Gnod - Just Say No to the Psycho Right-Wing Capitalist Fascist Industrial Death Machine	2.50 stars
3.00 stars	Vince Staples - Big Fish Theory	3.50 stars
4.50 stars	Protomartyr - Relatives in Descent	4.00 stars
3.00 stars	Shame - Songs of Praise	3.50 stars
3.50 stars	Preoccupations - New Material	3.00 stars
4.00 stars	The Garden - Mirror Might Steal Your Charm	3.50 stars
4.00 stars	Beach House - 7	3.00 stars
4.00 stars	Denzel Curry - TA13OO	3.00 stars
3.00 stars	KEN mode - Loved	3.50 stars
3.50 stars	Idles - Joy as an Act of Resistance.	3.00 stars
3.50 stars	Low - Double Negative	3.00 stars
3.50 stars	Deerhunter - Why Hasn't Everything Already Disappeared?	2.50 stars
3.50 stars	The Caretaker - Everywhere at the End of Time - Stage 6	4.50 stars
4.00 stars	black midi - Schlagenheim	4.00 stars
3.00 stars	Oranssi Pazuzu - Värähtelijä	4.00 stars
2.50 stars	The Pains of Being Pure at Heart - The Pains of Being Pure at Heart	3.00 stars
3.50 stars	Palm - Rock Island	3.50 stars
3.50 stars	Jai Paul - Leak 04-13 (Bait Ones)	3.50 stars
4.00 stars	Viet Cong - Viet Cong	4.00 stars
3.50 stars	Residents - Meet the Residents	4.00 stars
3.00 stars	Skee Mask - Compro	3.50 stars
4.00 stars	Talking Heads - The Name of This Band Is Talking Heads	3.50 stars
3.50 stars	Teenage Fanclub - Grand Prix	4.00 stars
4.50 stars	Total Control - Henge Beat	4.00 stars
4.50 stars	Total Control - Laughing at the System	3.50 stars
4.50 stars	Wipers - Is This Real?	4.50 stars
4.00 stars	Wipers - Youth of America	3.50 stars
4.00 stars	Wipers - Land of the Lost	3.50 stars
rental and twe1 disagree: (6)
rental	Album	twe1
