rental	Album	vodsel
4.00 stars	The Beach Boys - Pet Sounds	5.00 stars
3.50 stars	Death Grips - Government Plates	3.00 stars
3.50 stars	Death Grips - Niggas on the Moon: The Powers That B Disc 1	4.00 stars
3.50 stars	Death Grips - Jenny Death: The Powers That B Disc 2	3.50 stars
3.50 stars	The Drones - Feelin Kinda Free	4.00 stars
3.00 stars	Grimes - Visions	3.50 stars
3.00 stars	Have a Nice Life - The Unnatural World	3.00 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	5.00 stars
4.00 stars	The Velvet Underground - The Velvet Underground	4.00 stars
4.00 stars	Suicide - Suicide	4.00 stars
3.50 stars	Talking Heads - Fear of Music	4.00 stars
4.00 stars	This Heat - Deceit	5.00 stars
3.50 stars	Sonic-Youth - Bad Moon Rising	4.00 stars
3.50 stars	My Bloody Valentine - Isn't Anything	4.00 stars
4.00 stars	Sun City Girls - Torch of the Mystics	4.00 stars
4.50 stars	Les Rallizes dénudés - '77 Live	4.50 stars
4.00 stars	Weezer - Pinkerton	4.50 stars
3.00 stars	Spiritualized® - Ladies and Gentlemen We Are Floating in Space	4.00 stars
3.50 stars	The Flaming Lips - The Soft Bulletin	4.50 stars
3.50 stars	Avey Tare and Panda Bear - Spirit They're Gone Spirit They've Vanished	3.50 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	4.50 stars
4.00 stars	Unwound - Leaves Turn Inside You	4.50 stars
4.00 stars	Andrew Jackson Jihad - People Who Can Eat People Are the Luckiest People in the World	3.50 stars
4.00 stars	Have a Nice Life - Deathconsciousness	5.00 stars
3.50 stars	HEALTH - Get Color	3.50 stars
4.00 stars	The Flaming Lips - Embryonic	4.50 stars
3.00 stars	OPN - Returnal	3.50 stars
5.00 stars	Women - Public Strain	4.50 stars
4.00 stars	Zach Hill - Face Tat	5.00 stars
4.00 stars	Death Grips - Exmilitary	4.00 stars
3.50 stars	Car Seat Headrest - Twin Fantasy	4.50 stars
4.00 stars	Androgynous Mind - Nightstalker	3.00 stars
3.50 stars	Death Grips - The Money Store	4.50 stars
4.00 stars	Death Grips - NO LOVE DEEP WEB	3.50 stars
3.50 stars	My Bloody Valentine - m b v	3.50 stars
4.00 stars	Iceage - You're Nothing	3.50 stars
3.00 stars	Guerilla Toss - Gay Disco	4.00 stars
4.00 stars	Ought - More Than Any Other Day	3.50 stars
3.50 stars	Ought - Once More With Feeling	3.50 stars
3.50 stars	Hop Along - Painted Shut	3.00 stars
3.50 stars	Chelsea Wolfe - Abyss	3.50 stars
4.50 stars	Cindy Lee - Malenkost	4.00 stars
4.50 stars	Cindy Lee - Act of Tenderness	4.50 stars
4.00 stars	Cindy Lee - A Message From the Aching Sky	4.00 stars
3.50 stars	Big Ups - Before a Million Universes	2.50 stars
3.50 stars	Deakin - Sleep Cycle	3.50 stars
3.50 stars	Death Grips - Bottomless Pit	4.00 stars
3.50 stars	Car Seat Headrest - Teens of Denial	3.00 stars
3.50 stars	Preoccupations - Preoccupations	3.00 stars
4.00 stars	Xiu Xiu - FORGET	3.50 stars
4.00 stars	IDLES - Brutalism	4.00 stars
4.00 stars	Protomartyr - Relatives in Descent	4.00 stars
3.50 stars	Car Seat Headrest - Twin Fantasy	3.50 stars
3.50 stars	Preoccupations - New Material	3.00 stars
4.00 stars	My Bloody Valentine - Loveless	4.50 stars
3.00 stars	Neutral Milk Hotel - On Avery Island	4.00 stars
4.00 stars	Neutral Milk Hotel - In the Aeroplane Over the Sea	5.00 stars
4.00 stars	Ought - Sun Coming Down	4.00 stars
3.50 stars	Ought - Room Inside the World	3.00 stars
4.00 stars	Viet Cong - Viet Cong	3.50 stars
3.50 stars	Protomartyr - Under Color of Official Right	3.00 stars
4.00 stars	Protomartyr - The Agent Intellect	3.50 stars
4.00 stars	Protomartyr - Consolation E.P.	3.50 stars
3.50 stars	The Sonic Youth - Sister	4.00 stars
3.50 stars	SOPHIE - Oil of Every Pearl's Un-Insides	3.00 stars
3.50 stars	Talking Heads - Remain in Light	3.50 stars
4.00 stars	The Velvet Underground - White Light / White Heat	5.00 stars
4.50 stars	Women - Women	4.00 stars
4.50 stars	Women - Service Animal / Grey Skies	5.00 stars
rental and vodsel disagree: (5)
rental	Album	vodsel
2.50 stars	The Mars Volta - Amputechture	4.00 stars
3.50 stars	The Microphones - The Glow Pt. 2	5.00 stars
3.00 stars	Fever Ray - Fever Ray	4.50 stars
3.50 stars	Clarence Clarity - NO NOW	5.00 stars
3.50 stars	Xiu Xiu - Girl With Basket of Fruit	5.00 stars
