rental	Album	volvelle
3.50 stars	Ausmuteants - Order of Operation	4.50 stars
3.50 stars	Bare Wires - Seeking Love	4.50 stars
4.00 stars	William Basinski - The Disintegration Loops	5.00 stars
3.50 stars	William Basinski - The Disintegration Loops II	4.50 stars
4.00 stars	Beat Happening - You Turn Me On	5.00 stars
4.00 stars	Belle & Sebastian - Dear Catastrophe Waitress	3.00 stars
3.50 stars	Black Panties - Dead and Gone	3.50 stars
3.50 stars	Blank Dogs - Diana (The Herald)	4.50 stars
4.00 stars	Butthole Surfers - Rembrandt Pussyhorse	4.00 stars
4.00 stars	Butthole Surfers - Locust Abortion Technician	4.50 stars
3.50 stars	Carbonas - Carbonas	4.00 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	5.00 stars
3.50 stars	Crystal Stilts - In Love With Oblivion	3.00 stars
3.50 stars	The Dodos - Visiter	4.50 stars
3.50 stars	Dum Dum Girls - I Will Be	4.50 stars
4.00 stars	Dum Dum Girls - Only in Dreams	5.00 stars
4.00 stars	Eddy Current Suppression Ring - Primary Colours	4.50 stars
3.00 stars	Dylan Ettinger - New Age Outlaws	4.00 stars
3.00 stars	Godspeed You Black Emperor! - Slow Riot for New Zerø Kanada E.P.	4.00 stars
4.00 stars	The Gooch Palms - Novo's	4.50 stars
4.00 stars	Guided by Voices - Alien Lanes	4.00 stars
3.50 stars	Rowland S. Howard - Teenage Snuff Film	3.50 stars
4.00 stars	Manateees - Sit N Spin	5.00 stars
4.00 stars	The Kinks - The Kinks Are the Village Green Preservation Society	5.00 stars
3.50 stars	The Kinks - Arthur or the Decline and Fall of the British Empire	4.00 stars
4.00 stars	Talking Heads - Talking Heads: 77	4.00 stars
4.00 stars	Suicide - Suicide	4.00 stars
3.50 stars	Kraftwerk - Die Mensch-Maschine	4.50 stars
4.00 stars	Talking Heads - More Songs About Buildings and Food	4.00 stars
4.00 stars	Devo - Q: Are We Not Men? A: We Are Devo!	4.00 stars
