rental	Album	xizura
3.50 stars	Agent Orange - Living in Darkness	3.50 stars
3.00 stars	American Football - American Football	4.00 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	4.00 stars
4.00 stars	Arcade Fire - Funeral	5.00 stars
3.00 stars	Armand Hammer - Paraffin	3.50 stars
3.00 stars	The Band - The Band	2.00 stars
3.50 stars	Bark Psychosis - Hex	4.50 stars
3.50 stars	Bauhaus - In the Flat Field	4.00 stars
4.00 stars	The Beach Boys - Pet Sounds	5.00 stars
4.00 stars	Beat Happening - You Turn Me On	4.00 stars
3.50 stars	The Beatles - Abbey Road	4.50 stars
3.50 stars	Boards of Canada - Geogaddi	3.50 stars
3.50 stars	Boris - flood	4.50 stars
3.50 stars	David Bowie - Station to Station	4.00 stars
3.50 stars	David Bowie - "Heroes"	4.50 stars
3.00 stars	Brockhampton - Iridescence	2.50 stars
3.00 stars	Tim Buckley - Goodbye and Hello	4.00 stars
4.00 stars	Tim Buckley - Starsailor	4.50 stars
3.00 stars	The Cars - The Cars	4.00 stars
3.00 stars	Nick Cave & The Bad Seeds - Skeleton Tree	4.00 stars
3.00 stars	Clarence Clarity - Think: Peace	4.00 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.00 stars
3.50 stars	Cocteau Twins - Head Over Heels	3.50 stars
3.50 stars	Cocteau Twins - Heaven or Las Vegas	4.50 stars
4.00 stars	Coil - Horse Rotorvator	4.00 stars
3.50 stars	Coil - Musick to Play in the Dark	4.00 stars
5.00 stars	Ornette Coleman - The Shape of Jazz to Come	4.50 stars
4.00 stars	Comus - First Utterance	5.00 stars
3.00 stars	Converge - The Dusk in Us	3.50 stars
4.00 stars	Crass - Penis Envy	3.50 stars
3.50 stars	Richard Dawson - The Magic Bridge	4.00 stars
4.00 stars	Richard Dawson - 2020	4.00 stars
3.50 stars	Dead Kennedys - Fresh Fruit for Rotting Vegetables	4.00 stars
3.50 stars	Death Grips - No Love Deep Web	4.00 stars
4.00 stars	Death Grips - Jenny Death: The Powers That B Disc 2	4.00 stars
3.50 stars	Deerhoof - Breakup Song	4.00 stars
4.00 stars	Deerhunter - Cryptograms	3.00 stars
4.00 stars	Lana Del Rey - Norman Fucking Rockwell!	3.50 stars
4.00 stars	Descendents - Milo Goes to College	4.00 stars
3.50 stars	Distorted Pony - Punishment Room	3.50 stars
3.50 stars	DJ Screw - Bigtyme Vol II: All Screwed Up	4.00 stars
3.50 stars	The Doors - The Doors	4.50 stars
3.50 stars	Dope Body - Natural History	3.50 stars
3.50 stars	Nick Drake - Five Leaves Left	4.50 stars
4.00 stars	The Drones - Feelin Kinda Free	4.00 stars
3.50 stars	Drunkdriver - Drunkdriver	3.50 stars
4.00 stars	The Durutti Column - LC	3.00 stars
3.00 stars	Fad Gadget - Fireside Favourites	3.00 stars
3.50 stars	John Fahey - Volume 5: The Transfiguration of Blind Joe Death	4.00 stars
3.50 stars	The Fall - Live at the Witch Trials	4.00 stars
4.00 stars	The Fall - Perverted by Language	4.00 stars
3.50 stars	FKA twigs - Magdalene	4.00 stars
4.00 stars	Fleet Foxes - Crack-Up	3.00 stars
3.50 stars	Flipper - Album: Generic Flipper	4.50 stars
3.50 stars	Fugazi - Repeater	4.50 stars
3.50 stars	Future - Monster	3.50 stars
4.00 stars	Gang of Four - Entertainment!	4.50 stars
3.00 stars	Girl Band - Holding Hands With Jamie	4.00 stars
4.00 stars	Gordons - The Gordons	4.00 stars
3.00 stars	Grimes - Visions	3.50 stars
4.00 stars	Guided by Voices - Alien Lanes	3.50 stars
3.00 stars	Anna von Hausswolff - Dead Magic	4.00 stars
4.00 stars	Tim Hecker - Harmony in Ultraviolet	4.00 stars
3.50 stars	Tim Hecker - Virgins	4.00 stars
4.00 stars	Hop Along - Bark Your Head Off, Dog	3.50 stars
3.50 stars	Jon Hopkins - Immunity	4.00 stars
3.50 stars	Joy Division - Closer	4.50 stars
3.50 stars	King Crimson - Red	4.00 stars
4.00 stars	Kendrick Lamar - To Pimp a Butterfly	4.50 stars
4.00 stars	Kendrick Lamar - DAMN.	3.00 stars
3.50 stars	The Lounge Lizards - The Lounge Lizards	3.50 stars
4.00 stars	Love - Forever Changes	4.00 stars
4.00 stars	John Maus - Addendum	3.50 stars
4.00 stars	Curtis Mayfield - Curtis	4.50 stars
3.00 stars	Curtis Mayfield - Superfly	3.50 stars
4.00 stars	Mercury Rev - Yerself Is Steam	4.00 stars
4.00 stars	MGMT - Little Dark Age	4.50 stars
3.50 stars	The Microphones - The Glow Pt. 2	4.00 stars
3.00 stars	Joni Mitchell - Blue	4.00 stars
4.00 stars	Mobb Deep - The Infamous	4.50 stars
4.00 stars	Modest Mouse - This Is a Long Drive for Someone With Nothing to Think About	3.50 stars
3.50 stars	Janelle Monáe - The ArchAndroid	4.50 stars
4.00 stars	Morphine - Cure for Pain	4.50 stars
3.00 stars	Mr. Bungle - Mr. Bungle	2.50 stars
3.50 stars	Miles Davis - Kind of Blue	4.00 stars
3.50 stars	John Coltrane - My Favorite Things	4.50 stars
4.00 stars	Mingus - The Black Saint and the Sinner Lady	4.50 stars
3.00 stars	The Ronettes - Presenting The Fabulous Ronettes Featuring Veronica	3.00 stars
4.00 stars	John Coltrane - A Love Supreme	5.00 stars
3.50 stars	Bob Dylan - Bringing It All Back Home	4.00 stars
3.50 stars	Bob Dylan - Highway 61 Revisited	4.50 stars
4.00 stars	Otis Redding - Otis Blue: Otis Redding Sings Soul	4.50 stars
4.50 stars	Jackson C. Frank - Jackson C. Frank	4.00 stars
4.00 stars	The Beatles - Revolver	3.50 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	5.00 stars
3.00 stars	The Jimi Hendrix Experience - Are You Experienced	4.00 stars
3.50 stars	The Beatles - Sgt. Pepper's Lonely Hearts Club Band	4.00 stars
3.00 stars	Captain Beefheart and His Magic Band - Safe as Milk	4.00 stars
3.50 stars	The Kinks - Something Else by The Kinks	3.50 stars
3.50 stars	Leonard Cohen - Songs of Leonard Cohen	4.50 stars
4.00 stars	The Zombies - Odessey and Oracle	5.00 stars
3.50 stars	Os Mutantes - Os Mutantes	4.00 stars
3.50 stars	The Millennium - Begin	4.50 stars
4.00 stars	The Beatles - The Beatles [White Album]	3.50 stars
4.00 stars	The Kinks - The Kinks Are the Village Green Preservation Society	3.50 stars
3.50 stars	Van Morrison - Astral Weeks	4.50 stars
3.50 stars	The Pretty Things - S.F. Sorrow	3.50 stars
4.00 stars	The Velvet Underground - The Velvet Underground	4.50 stars
3.50 stars	Tim Buckley - Happy Sad	4.50 stars
3.50 stars	Pharoah Sanders - Karma	4.50 stars
4.00 stars	Neil Young with Crazy Horse - Everybody Knows This Is Nowhere	3.00 stars
3.50 stars	Miles Davis - In a Silent Way	4.50 stars
4.00 stars	The Can - Monster Movie	4.50 stars
3.00 stars	The Stooges - The Stooges	4.00 stars
4.00 stars	Townes Van Zandt - Townes Van Zandt	4.00 stars
4.50 stars	Scott Engel - Scott 4	4.00 stars
4.00 stars	The Kinks - Arthur or the Decline and Fall of the British Empire	3.50 stars
4.00 stars	King Crimson - In the Court of the Crimson King	4.50 stars
3.00 stars	Fairport Convention - Liege & Lief	4.00 stars
3.50 stars	Syd Barrett - The Madcap Laughs	4.00 stars
3.00 stars	Simon and Garfunkel - Bridge Over Troubled Water	4.00 stars
3.50 stars	Miles Davis - Bitches Brew	3.50 stars
3.50 stars	Exuma - Exuma	4.50 stars
3.50 stars	Tim Buckley - Lorca	4.50 stars
4.00 stars	Black Sabbath - Paranoid	4.50 stars
3.00 stars	Amon Düül II - Yeti	4.00 stars
3.50 stars	Nick Drake - Bryter Layter	4.00 stars
3.50 stars	Captain Beefheart & The Magic Band - Lick My Decals Off, Baby	3.50 stars
3.50 stars	Faust - Faust	4.00 stars
3.00 stars	Marvin Gaye - What's Going On	4.00 stars
3.00 stars	Black Sabbath - Master of Reality	4.00 stars
3.00 stars	The Who - Who's Next	3.50 stars
3.50 stars	T. Rex - Electric Warrior	4.50 stars
3.50 stars	David Bowie - Hunky Dory	4.50 stars
3.50 stars	Popol Vuh - Hosianna Mantra	3.50 stars
3.50 stars	Pharoah Sanders - Black Unity	3.50 stars
