rental	Album	Bartezoo
3.50 stars	Adolescents - Adolescents	3.50 stars
3.50 stars	Agent Orange - Living in Darkness	3.00 stars
3.00 stars	American Football - American Football	4.00 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	3.50 stars
3.00 stars	Armand Hammer - Paraffin	3.50 stars
3.50 stars	Bauhaus - In the Flat Field	4.00 stars
3.00 stars	James Blake - Assume Form	2.50 stars
3.50 stars	Boards of Canada - The Campfire Headphase	3.50 stars
3.00 stars	Boredoms - Super æ	3.00 stars
3.00 stars	Botch - An Anthology of Dead Ends	4.00 stars
3.50 stars	Brockhampton - Iridescence	3.00 stars
4.00 stars	David Thomas Broughton - The Complete Guide to Insufficiency	3.50 stars
3.00 stars	Nick Cave & The Bad Seeds - Skeleton Tree	4.00 stars
2.50 stars	Circle Takes the Square - As the Roots Undo	3.50 stars
4.00 stars	Cloud Nothings - Attack on Memory	3.50 stars
4.00 stars	Cloud Nothings - Life Without Sound	3.50 stars
3.50 stars	Converge - The Dusk in Us	4.00 stars
3.50 stars	Daughters - Daughters	3.50 stars
4.00 stars	Lana Del Rey - Norman Fucking Rockwell!	4.00 stars
4.00 stars	Descendents - Milo Goes to College	4.00 stars
4.00 stars	Earth - The Bees Made Honey in the Lion's Skull	3.50 stars
2.50 stars	Matt Elliott - Drinking Songs	3.00 stars
3.50 stars	Fuck Buttons - Tarot Sport	3.00 stars
3.50 stars	Fugazi - Repeater	4.00 stars
3.00 stars	Grimes - Visions	3.00 stars
4.00 stars	Harvey Milk - Courtesy and Good Will Toward Men	3.50 stars
3.50 stars	Anna von Hausswolff - Dead Magic	3.00 stars
3.00 stars	Have a Nice Life - The Unnatural World	3.50 stars
4.00 stars	Tim Hecker - Harmony in Ultraviolet	5.00 stars
3.50 stars	Tim Hecker - Virgins	4.00 stars
3.50 stars	Hot Snakes - Jericho Sirens	3.50 stars
3.50 stars	Rowland S. Howard - Teenage Snuff Film	3.50 stars
3.50 stars	Impalers - Cellar Dweller	3.00 stars
4.00 stars	Institute - Giddy Boys 7"	3.00 stars
3.00 stars	Jesu - Jesu	3.50 stars
3.50 stars	Joy Division - Closer	4.00 stars
3.50 stars	Kylesa - Static Tensions	4.50 stars
4.00 stars	Kendrick Lamar - DAMN.	4.00 stars
3.50 stars	Meat Wave - The Incessant	2.50 stars
3.50 stars	The Microphones - The Glow Pt. 2	3.50 stars
4.00 stars	Morphine - Cure for Pain	3.50 stars
3.00 stars	Mr. Bungle - Mr. Bungle	4.00 stars
4.50 stars	The Velvet Underground & Nico - The Velvet Underground & Nico	4.00 stars
4.00 stars	Captain Beefheart & His Magic Band - Trout Mask Replica	3.50 stars
4.00 stars	Townes Van Zandt - Townes Van Zandt	4.00 stars
