rental	Album	Commander
3.50 stars	Adolescents - Adolescents	4.00 stars
3.50 stars	Agent Orange - Living in Darkness	4.00 stars
4.00 stars	Ahleuchatistas - What You Will	4.00 stars
3.00 stars	American Football - American Football	4.00 stars
3.50 stars	Amyl and The Sniffers - Amyl and The Sniffers	4.00 stars
4.00 stars	Animal Collective - Fall Be Kind	4.00 stars
4.00 stars	Antena - Camino del sol	4.00 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	4.00 stars
3.00 stars	Armand Hammer - Paraffin	3.50 stars
3.50 stars	Bare Wires - Seeking Love	4.00 stars
3.50 stars	Bark Psychosis - Hex	4.00 stars
3.50 stars	Bauhaus - In the Flat Field	4.00 stars
4.00 stars	The Beach Boys - Pet Sounds	4.50 stars
4.00 stars	The Beatles - Abbey Road	4.50 stars
3.50 stars	Chuck Berry - The Great Twenty-Eight	4.00 stars
3.50 stars	The Beths - Future Me Hates Me	4.00 stars
4.00 stars	Bib - Pop	4.00 stars
4.00 stars	Bib - Moshpit	4.00 stars
3.50 stars	Big Zit - Electric Zit Vol. 1	4.00 stars
3.50 stars	Pinkish Black - Pinkish Black	4.00 stars
4.00 stars	Black Eyes - Black Eyes	4.00 stars
3.50 stars	Black Eyes - Cough	4.00 stars
4.00 stars	black midi - Schlagenheim	4.00 stars
4.00 stars	Art Blakey and The Jazz Messengers - Art Blakey and The Jazz Messengers [Moanin']	4.00 stars
4.00 stars	The Books - The Lemon of Pink	4.00 stars
3.50 stars	Boris - flood	4.00 stars
3.50 stars	David Bowie - Station to Station	4.00 stars
3.50 stars	David Bowie - "Heroes"	4.00 stars
4.00 stars	Tim Buckley - Starsailor	4.00 stars
4.00 stars	Burial - Street Halo	4.00 stars
4.00 stars	Butthole Surfers - Rembrandt Pussyhorse	4.00 stars
4.00 stars	Butthole Surfers - Locust Abortion Technician	4.00 stars
4.00 stars	Can - Soundtracks	4.00 stars
3.50 stars	Carbonas - Carbonas	4.00 stars
3.50 stars	The Caretaker - A Stairway to the Stars	4.00 stars
3.50 stars	The Caretaker - Persistent Repetition of Phrases	4.00 stars
3.00 stars	The Cars - The Cars	4.00 stars
3.50 stars	A Certain Ratio - To Each...	4.00 stars
3.50 stars	Cheater Slicks - Walk Into the Sea	4.00 stars
4.00 stars	Cheater Slicks - Reality Is a Grape	4.00 stars
3.50 stars	Chuck Person - Chuck Person's Eccojams Vol. 1	4.00 stars
3.00 stars	Clarence Clarity - Think: Peace	4.00 stars
4.00 stars	Cloud Nothings - Attack on Memory	3.50 stars
4.50 stars	Coil - Horse Rotorvator	4.00 stars
4.00 stars	Coil - Musick to Play in the Dark	4.00 stars
5.00 stars	Ornette Coleman - The Shape of Jazz to Come	4.50 stars
3.50 stars	Ornette Coleman - Change of the Century	4.00 stars
4.00 stars	Comus - First Utterance	4.00 stars
4.00 stars	Country Teasers - Satan Is Real Again or Feeling Good About Bad Thoughts	4.00 stars
3.50 stars	Daughters - Daughters	4.00 stars
4.00 stars	Miles Davis - Get Up With It	4.50 stars
3.50 stars	Dead Luke - The Black Plague in Mono No. 3	4.00 stars
3.50 stars	Death Grips - Government Plates	4.00 stars
3.50 stars	Dengue Fever - Escape From Dragon House	4.00 stars
4.00 stars	Descendents - Milo Goes to College	4.00 stars
3.50 stars	Destruction Unit - Deep Trip	4.00 stars
4.00 stars	Destruction Unit - Negative Feedback Resistor	4.00 stars
4.00 stars	The Dicks - The Dicks Hate the Police / Lifetime Problems / All Night Fever	4.00 stars
3.50 stars	Dirty Three - Ocean Songs	4.00 stars
4.00 stars	DJ Screw - Bigtyme Vol II: All Screwed Up	4.00 stars
3.50 stars	DNA - DNA on DNA	4.00 stars
3.50 stars	The Doors - The Doors	4.50 stars
3.50 stars	Nick Drake - Five Leaves Left	4.00 stars
3.50 stars	The Drones - Wait Long by the River and the Bodies of Your Enemies Will Float By	4.00 stars
3.50 stars	Eldritch Anisette - Eldritch Anisette	4.00 stars
3.50 stars	Essential Logic - Beat Rhythm News	4.00 stars
3.50 stars	John Fahey - Volume 5: The Transfiguration of Blind Joe Death	4.00 stars
3.50 stars	John Fahey - Fare Forward Voyagers (Soldier's Choice)	4.00 stars
3.50 stars	The Fall - Live at the Witch Trials	4.00 stars
4.00 stars	The Fall - Slates	4.00 stars
4.00 stars	The Fall - Perverted by Language	4.00 stars
3.50 stars	The Fall - The Real New Fall LP: Formerly Country on the Click	4.00 stars
3.50 stars	feedtime - Feedtime	4.00 stars
3.50 stars	Flipper - Album: Generic Flipper	4.00 stars
4.00 stars	The Fresh & Onlys - Play It Strange	4.00 stars
3.50 stars	Fuck Buttons - Tarot Sport	4.00 stars
3.50 stars	Fugazi - Repeater	4.50 stars
4.00 stars	Gang of Four - Entertainment!	4.00 stars
3.00 stars	Gentleman Jesse and His Men - Leaving Atlanta	4.00 stars
3.00 stars	Girl Band - Holding Hands With Jamie	4.00 stars
4.00 stars	Philip Glass - Glassworks	4.00 stars
4.00 stars	Philip Glass - Koyaanisqatsi	4.00 stars
4.00 stars	Glenn Gould - The Goldberg Variations	4.50 stars
4.00 stars	Colleen Green - I Want to Grow Up	4.00 stars
3.50 stars	Grouper - Dragging a Dead Deer Up a Hill	4.00 stars
4.00 stars	Guerilla Toss - Flood Dosed	4.00 stars
3.50 stars	Hala Strana - Fielding	4.00 stars
3.00 stars	Françoise Hardy - Françoise Hardy [La question]	4.00 stars
3.00 stars	Harlem - Hippies	3.50 stars
3.00 stars	Jon Hassell - Fourth World Volume Two: Dream Theory in Malaya	4.00 stars
