rental	Album	Yersiniapestis
4.00 stars	X - Los Angeles	5.00 stars
3.50 stars	Blood Orange - Negro Swan	3.50 stars
3.00 stars	Sharon Van Etten - Remind Me Tomorrow	3.00 stars
4.00 stars	Stella Donnelly - Beware of the Dogs	3.00 stars
4.00 stars	Weyes Blood - Titanic Rising	4.50 stars
3.50 stars	Big Thief - U.F.O.F.	4.00 stars
rental and Yersiniapestis disagree: (3)
rental	Album	Yersiniapestis
3.50 stars	The Damned - Machine Gun Etiquette	5.00 stars
3.50 stars	Aphex Twin - Selected Ambient Works Volume II	5.00 stars
3.50 stars	The Sonic Youth - Sister	5.00 stars
