rental	Album	bellendsebastian
4.00 stars	Animal Collective - Fall Be Kind	4.00 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.00 stars
3.50 stars	FKA twigs - Magdalene	4.50 stars
4.00 stars	Modest Mouse - This Is a Long Drive for Someone With Nothing to Think About	4.00 stars
3.00 stars	Neutral Milk Hotel - On Avery Island	4.00 stars
4.00 stars	Modest Mouse - The Moon & Antarctica	4.50 stars
3.50 stars	Avey Tare and Panda Bear - Spirit They're Gone Spirit They've Vanished	4.00 stars
3.50 stars	Animal Collective - Sung Tongs	4.00 stars
2.50 stars	Bloc Party - Silent Alarm	3.50 stars
4.00 stars	Animal Collective - Feels	4.50 stars
3.50 stars	Panda Bear - Person Pitch	4.50 stars
4.00 stars	Animal Collective - Strawberry Jam	4.50 stars
4.00 stars	Radiohead - In Rainbows	5.00 stars
3.50 stars	Beach House - Devotion	3.50 stars
5.00 stars	Animal Collective - Merriweather Post Pavilion	5.00 stars
4.00 stars	Beach House - Bloom	4.00 stars
3.50 stars	alt-J - An Awesome Wave	3.50 stars
4.00 stars	Tame Impala - Lonerism	4.50 stars
3.00 stars	Kanye West - Yeezus	4.00 stars
3.50 stars	Cloud Nothings - Here and Nowhere Else	3.50 stars
4.00 stars	Earl Sweatshirt - I Don't Like Shit, I Don't Go Outside	4.00 stars
3.00 stars	Algiers - Algiers	3.50 stars
4.50 stars	Beach House - Depression Cherry	3.50 stars
3.50 stars	Radiohead - A Moon Shaped Pool	4.50 stars
3.50 stars	Algiers - The Underside of Power	4.00 stars
3.50 stars	21 Savage, Offset & Metro Boomin - Without Warning	3.50 stars
4.00 stars	Beach House - 7	4.00 stars
4.50 stars	Earl Sweatshirt - Some Rap Songs	4.50 stars
4.00 stars	100 Gecs - 1000 Gecs	3.00 stars
3.50 stars	Earl Sweatshirt - Feet of Clay	3.00 stars
4.00 stars	Neutral Milk Hotel - In the Aeroplane Over the Sea	5.00 stars
4.00 stars	Radiohead - OK Computer	5.00 stars
4.00 stars	Radiohead - Kid A	5.00 stars
rental and bellendsebastian disagree: (3)
rental	Album	bellendsebastian
3.00 stars	American Football - American Football	4.50 stars
3.50 stars	Modest Mouse - The Lonesome Crowded West	5.00 stars
3.50 stars	Kanye West - My Beautiful Dark Twisted Fantasy	5.00 stars
