rental	Album	buszuuu
3.00 stars	The 90 Day Men - To Everybody	3.50 stars
3.50 stars	Abe Vigoda - Reviver	3.00 stars
3.50 stars	Adolescents - Adolescents	4.00 stars
3.50 stars	Agent Orange - Living in Darkness	3.50 stars
4.00 stars	Ahleuchatistas - What You Will	3.50 stars
3.00 stars	Alva Noto - Transform	3.00 stars
3.00 stars	American Football - American Football	3.50 stars
3.50 stars	Anasazi - Nuke York	3.00 stars
3.50 stars	Anasazi - Nasty Witch Rock	3.00 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	3.50 stars
3.50 stars	Ausmuteants - Order of Operation	3.50 stars
3.50 stars	Bark Psychosis - Hex	3.50 stars
3.00 stars	Bassholes - When My Blue Moon Turns Red Again	3.00 stars
3.50 stars	Bauhaus - In the Flat Field	3.50 stars
4.00 stars	The Beach Boys - Pet Sounds	4.00 stars
4.00 stars	Beat Happening - You Turn Me On	4.00 stars
4.00 stars	The Beatles - Abbey Road	4.00 stars
4.00 stars	Bielizna - Taniec lekkich goryli	4.00 stars
3.50 stars	Big Blood - Space Gallery Jan. 27, 2007 / Sahara Club Jan. 28, 2007	3.50 stars
3.00 stars	Bitch Prefect - Big Time	3.00 stars
4.00 stars	Black Eyes - Black Eyes	3.50 stars
3.50 stars	Black Eyes - Cough	4.00 stars
3.50 stars	Black Panties - Dead and Gone	4.00 stars
3.50 stars	Blank Dogs - On Two Sides	3.00 stars
3.50 stars	Blasted Canyons - Blasted Canyons	2.50 stars
4.00 stars	Blotter - Demo Cassette	3.00 stars
4.00 stars	Blotter - Under Armour '77	3.50 stars
3.50 stars	Boards of Canada - Geogaddi	4.50 stars
3.00 stars	Boredoms - Super æ	3.50 stars
3.50 stars	Boris - flood	4.00 stars
3.00 stars	Botch - An Anthology of Dead Ends	4.00 stars
3.00 stars	Brise-Glace - When in Vanitas...	3.00 stars
4.00 stars	Burial - Street Halo	4.00 stars
4.00 stars	Butthole Surfers - Locust Abortion Technician	3.50 stars
3.50 stars	Cemetery - Demo	3.50 stars
4.00 stars	Cheater Slicks - Reality Is a Grape	4.00 stars
3.50 stars	Cheveu - Cheveu	4.00 stars
4.00 stars	Clockcleaner - Babylon Rules	3.50 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.00 stars
4.00 stars	Comus - First Utterance	3.50 stars
3.00 stars	The Consumers - All My Friends Are Dead	3.00 stars
4.00 stars	Country Teasers - Satan Is Real Again or Feeling Good About Bad Thoughts	3.50 stars
4.00 stars	Crazy Spirit - Crazy Spirit	3.00 stars
3.50 stars	Cul de Sac - Crashes to Light, Minutes to Its Fall	4.00 stars
3.00 stars	Cult Ritual - 2nd	3.50 stars
3.00 stars	Cult Ritual - Cult Ritual	3.50 stars
3.50 stars	Cuntz - Aloha	3.50 stars
4.50 stars	Cuntz - Force the Zone	3.50 stars
3.50 stars	Daughters - Daughters	4.50 stars
3.50 stars	Deaf Wish - Reality & Visions	3.00 stars
3.50 stars	Death Grips - Government Plates	3.00 stars
4.00 stars	Descendents - Milo Goes to College	3.50 stars
3.50 stars	Destruction Unit - Deep Trip	3.50 stars
4.00 stars	Destruction Unit - Negative Feedback Resistor	3.50 stars
3.50 stars	Dirty Three - Ocean Songs	3.50 stars
3.00 stars	Disco Inferno - Technicolour	3.00 stars
3.50 stars	Distorted Pony - Punishment Room	4.00 stars
3.50 stars	DNA - DNA on DNA	3.00 stars
3.50 stars	The Doors - The Doors	3.50 stars
3.50 stars	Dope Body - Natural History	3.50 stars
3.50 stars	The Drones - Wait Long by the River and the Bodies of Your Enemies Will Float By	3.50 stars
3.50 stars	Kevin Drumm - Sheer Hellish Miasma	3.00 stars
3.50 stars	Drunkdriver - Drunkdriver	4.50 stars
4.00 stars	Eddy Current Suppression Ring - Primary Colours	3.50 stars
3.50 stars	Eldritch Anisette - Eldritch Anisette	3.50 stars
3.50 stars	Ensemble Pearl - Ensemble Pearl	2.50 stars
3.50 stars	feedtime - Feedtime	3.50 stars
3.50 stars	The Field Mice - Snowball	4.00 stars
3.50 stars	Flipper - Album: Generic Flipper	4.00 stars
2.50 stars	Foals - Total Life Forever	3.00 stars
3.50 stars	Ben Frost - By the Throat	3.50 stars
3.50 stars	Fuck Buttons - Tarot Sport	3.50 stars
3.50 stars	Fugazi - Repeater	4.00 stars
3.00 stars	Function - Incubation	3.00 stars
4.00 stars	Gang of Four - Entertainment!	4.00 stars
3.00 stars	Gentleman Jesse and His Men - Leaving Atlanta	3.00 stars
4.00 stars	Golden Pelicans - Oldest Ride, Longest Line	3.00 stars
4.00 stars	The Gooch Palms - Novo's	3.00 stars
4.00 stars	Gordons - The Gordons	3.50 stars
3.00 stars	Grimes - Visions	3.50 stars
3.50 stars	Grouper - Dragging a Dead Deer Up a Hill	4.00 stars
4.00 stars	Guided by Voices - Alien Lanes	3.50 stars
3.50 stars	Hala Strana - Fielding	3.50 stars
4.00 stars	Harvey Milk - Courtesy and Good Will Toward Men	3.00 stars
3.00 stars	Have a Nice Life - The Unnatural World	3.50 stars
4.00 stars	Tim Hecker - Harmony in Ultraviolet	3.50 stars
3.50 stars	Tim Hecker - Virgins	3.50 stars
3.50 stars	Rowland S. Howard - Teenage Snuff Film	4.00 stars
4.00 stars	Hüsker Dü - New Day Rising	3.50 stars
4.00 stars	Institute - Giddy Boys 7"	3.00 stars
3.00 stars	Ital - Endgame	3.50 stars
3.50 stars	Jackie-O Motherfucker - Fig. 5	3.00 stars
3.50 stars	Jackman - Bad Intentions	3.50 stars
3.00 stars	Jesu - Jesu	4.00 stars
3.50 stars	Joy Division - Closer	4.00 stars
4.00 stars	KARP - Self Titled LP	4.00 stars
3.50 stars	K-Holes - Dismania	4.00 stars
3.00 stars	Killdozer - Twelve Point Buck	3.50 stars
3.00 stars	kIRk - Msza Święta w Brąswałdzie	4.00 stars
3.00 stars	Kiss the Anus of a Black Cat - An Interlude to the Outermost	4.00 stars
3.50 stars	Kuedo - Severant	3.50 stars
