rental	Album	cuneyt81
4.00 stars	Animal Collective - Fall Be Kind	4.00 stars
3.50 stars	Aphex Twin - Selected Ambient Works 85-92	4.50 stars
3.50 stars	Bark Psychosis - Hex	4.50 stars
4.00 stars	William Basinski - The Disintegration Loops	4.50 stars
3.50 stars	Bauhaus - In the Flat Field	4.50 stars
4.00 stars	The Beach Boys - Pet Sounds	5.00 stars
4.00 stars	Beat Happening - You Turn Me On	4.00 stars
4.00 stars	The Beatles - Abbey Road	5.00 stars
4.00 stars	Belle & Sebastian - Dear Catastrophe Waitress	4.00 stars
4.00 stars	Bibio - Ambivalence Avenue	4.00 stars
3.50 stars	Pinkish Black - Pinkish Black	4.00 stars
3.50 stars	Black Eyes - Cough	4.00 stars
4.00 stars	black midi - Schlagenheim	4.00 stars
4.00 stars	Art Blakey and The Jazz Messengers - Art Blakey and The Jazz Messengers [Moanin']	4.50 stars
3.50 stars	Boards of Canada - Geogaddi	4.50 stars
3.50 stars	Boards of Canada - The Campfire Headphase	3.50 stars
4.00 stars	The Books - The Lemon of Pink	4.50 stars
4.00 stars	Tim Buckley - Starsailor	4.50 stars
4.00 stars	Chastity Belt - Time to Go Home	3.50 stars
3.00 stars	The Church - Starfish	4.00 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.50 stars
4.00 stars	Cloud Nothings - Life Without Sound	4.50 stars
4.00 stars	Cocteau Twins - Heaven or Las Vegas	5.00 stars
4.50 stars	Coil - Horse Rotorvator	4.50 stars
5.00 stars	Ornette Coleman - The Shape of Jazz to Come	4.50 stars
4.00 stars	Comus - First Utterance	4.00 stars
3.50 stars	Converge - The Dusk in Us	4.50 stars
3.50 stars	The Damned - Damned Damned Damned	4.50 stars
3.50 stars	Daughters - Daughters	4.50 stars
4.00 stars	Miles Davis - Get Up With It	4.50 stars
3.50 stars	Death Grips - Government Plates	4.50 stars
3.50 stars	Deerhunter - Rainwater Cassette Exchange	4.00 stars
3.50 stars	Deerhunter - Fading Frontier	4.00 stars
3.50 stars	Destruction Unit - Deep Trip	4.00 stars
3.50 stars	Dinosaur Jr. - Beyond	4.00 stars
3.50 stars	Dirty Three - Ocean Songs	4.00 stars
3.50 stars	Nick Drake - Five Leaves Left	4.50 stars
4.00 stars	Ducktails - The Flower Lane	4.00 stars
4.00 stars	Earth - The Bees Made Honey in the Lion's Skull	4.00 stars
3.50 stars	Essential Logic - Beat Rhythm News	4.00 stars
3.50 stars	John Fahey - Volume 5: The Transfiguration of Blind Joe Death	4.50 stars
4.00 stars	The Fall - Perverted by Language	4.00 stars
3.50 stars	Flipper - Album: Generic Flipper	4.50 stars
4.00 stars	Fontaines D.C. - Dogrel	4.00 stars
3.50 stars	Ben Frost - By the Throat	4.50 stars
3.50 stars	Fuck Buttons - Tarot Sport	4.50 stars
3.50 stars	Fugazi - Repeater	4.50 stars
4.00 stars	Gang of Four - Entertainment!	5.00 stars
3.50 stars	Daughn Gibson - All Hell	4.50 stars
3.00 stars	Girl Band - Holding Hands With Jamie	4.00 stars
4.00 stars	Philip Glass - Glassworks	4.00 stars
4.00 stars	The Go-Betweens - Liberty Belle and the Black Diamond Express	4.00 stars
4.50 stars	The Go-Betweens - 16 Lovers Lane	4.50 stars
3.00 stars	Grimes - Visions	4.00 stars
3.50 stars	Grouper - Dragging a Dead Deer Up a Hill	4.00 stars
4.00 stars	Guided by Voices - Alien Lanes	4.00 stars
4.00 stars	Harvey Milk - Courtesy and Good Will Toward Men	4.50 stars
3.50 stars	Anna von Hausswolff - Dead Magic	4.50 stars
3.00 stars	Have a Nice Life - The Unnatural World	4.00 stars
4.00 stars	Tim Hecker - Harmony in Ultraviolet	4.50 stars
3.50 stars	Tim Hecker - Virgins	4.50 stars
4.00 stars	Hop Along - Bark Your Head Off, Dog	4.50 stars
3.50 stars	Hot Snakes - Jericho Sirens	4.50 stars
4.00 stars	Hüsker Dü - New Day Rising	4.50 stars
3.50 stars	Antônio Carlos Jobim - Wave	4.50 stars
3.50 stars	Kylesa - Static Tensions	4.50 stars
4.00 stars	Kendrick Lamar - DAMN.	4.50 stars
3.00 stars	Adrianne Lenker - Abysskiss	4.00 stars
4.00 stars	Les Savy Fav - Inches	4.50 stars
4.00 stars	Love - Forever Changes	5.00 stars
3.50 stars	Low - Things We Lost in the Fire	4.50 stars
3.50 stars	Lower Dens - Nootropics	4.50 stars
4.00 stars	Makthaverskan - Makthaverskan II	4.50 stars
3.50 stars	Male Bonding - Nothing Hurts	3.50 stars
3.50 stars	mclusky - The Difference Between Me and You Is That I'm Not on Fire	4.00 stars
3.50 stars	Meat Wave - The Incessant	4.50 stars
3.50 stars	Menomena - Friend and Foe	4.00 stars
3.50 stars	Lizzy Mercier Descloux - Mambo Nassau	4.00 stars
4.00 stars	Metallica - Ride the Lightning	4.50 stars
3.50 stars	The Microphones - The Glow Pt. 2	4.50 stars
4.00 stars	Milk Music - Cruise Your Illusion	4.00 stars
3.50 stars	Mobb Deep - The Infamous	4.00 stars
4.00 stars	Modest Mouse - This Is a Long Drive for Someone With Nothing to Think About	4.00 stars
3.50 stars	Tony Molina - Kill the Lights	4.00 stars
3.50 stars	Janelle Monáe - The ArchAndroid	4.50 stars
3.50 stars	Janelle Monáe - The Electric Lady	4.50 stars
3.50 stars	Marty Robbins - Gunfighter Ballads and Trail Songs	4.00 stars
3.50 stars	John Coltrane - My Favorite Things	4.50 stars
