rental	Album	do_not_eat
3.00 stars	90 Day Men - To Everybody	4.00 stars
3.50 stars	Allah-Las - Allah Las	3.50 stars
4.00 stars	Anasazi - Nasty Witch Rock	3.00 stars
4.00 stars	Animal Collective - Fall Be Kind	5.00 stars
4.00 stars	Antena - Camino del sol	4.50 stars
3.50 stars	Ausmuteants - Order of Operation	3.50 stars
4.00 stars	Vyto B - Tricentennial 2076	4.00 stars
3.50 stars	Bad Sports - Constant Stimulation	4.00 stars
4.00 stars	Banque Allemande - Willst du Chinese sein musst du die ekligen Sachen essen	3.50 stars
3.50 stars	William Basinski - The Disintegration Loops II	4.50 stars
4.00 stars	The Beach Boys - Pet Sounds	5.00 stars
4.00 stars	Beat Happening - You Turn Me On	5.00 stars
3.50 stars	The Beths - Future Me Hates Me	3.00 stars
3.00 stars	Better Person - It's Only You	3.00 stars
4.00 stars	Bibio - Ambivalence Avenue	4.00 stars
3.50 stars	Big Blood - Space Gallery Jan. 27, 2007 / Sahara Club Jan. 28, 2007	4.00 stars
4.00 stars	Black Eyes - Black Eyes	4.50 stars
3.50 stars	Black Eyes - Cough	4.00 stars
3.00 stars	James Blake - Assume Form	3.50 stars
3.00 stars	Blank Dogs - Under and Under	4.00 stars
3.50 stars	Дин Блант - Каменный остров (Stone Island)	4.00 stars
3.00 stars	BNNT - _ _	3.50 stars
3.50 stars	Boards of Canada - Geogaddi	4.50 stars
3.50 stars	David Bowie - Station to Station	4.00 stars
3.00 stars	Brise-Glace - When in Vanitas...	4.00 stars
4.00 stars	David Thomas Broughton - The Complete Guide to Insufficiency	4.00 stars
4.00 stars	Tim Buckley - Starsailor	5.00 stars
4.00 stars	Burial - Street Halo	3.50 stars
4.00 stars	Butthole Surfers - Rembrandt Pussyhorse	4.50 stars
3.50 stars	Butthole Surfers - Locust Abortion Technician	4.50 stars
3.50 stars	The Caretaker - A Stairway to the Stars	4.00 stars
3.50 stars	A Certain Ratio - To Each...	4.00 stars
4.00 stars	Cheater Slicks - Reality Is a Grape	3.50 stars
3.00 stars	The Church - Starfish	4.00 stars
4.50 stars	Cindy Lee - What's Tonight to Eternity	3.50 stars
3.00 stars	Clarence Clarity - Think: Peace	3.50 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.00 stars
3.50 stars	Coffin Pricks - Group Home Haircut	4.00 stars
4.00 stars	Lloyd Cole and The Commotions - Rattlesnakes	4.50 stars
4.00 stars	Comus - First Utterance	5.00 stars
3.50 stars	The Cool Greenhouse - Crap Cardboard Pet	3.00 stars
3.50 stars	Julian Cope - World Shut Your Mouth	4.50 stars
3.00 stars	Crocodiles - Sleep Forever	4.00 stars
3.50 stars	Crystal Stilts - In Love With Oblivion	3.50 stars
