rental	Album	jonathanme
3.00 stars	Jefre Cantu-Ledesma - On the Echoing Green	3.50 stars
4.00 stars	Cloud Nothings - Attack on Memory	4.00 stars
4.00 stars	Cloud Nothings - Life Without Sound	3.00 stars
5.00 stars	Ornette Coleman - The Shape of Jazz to Come	4.50 stars
3.50 stars	Converge - The Dusk in Us	4.00 stars
3.00 stars	Crocodiles - Sleep Forever	3.00 stars
3.50 stars	Deerhunter - Fading Frontier	4.00 stars
4.00 stars	Fleet Foxes - Crack-Up	4.00 stars
3.50 stars	Fugazi - Repeater	4.50 stars
4.00 stars	Alex G - Beach Music	4.00 stars
3.50 stars	Girlpool - Before the World Was Big	4.00 stars
4.00 stars	Colleen Green - I Want to Grow Up	3.50 stars
4.50 stars	Hella - Hold Your Horse Is	4.00 stars
4.00 stars	Hop Along - Bark Your Head Off, Dog	3.50 stars
4.00 stars	Kendrick Lamar - DAMN.	4.50 stars
4.00 stars	Love - Forever Changes	5.00 stars
4.00 stars	MGMT - Little Dark Age	3.00 stars
4.00 stars	Milk Music - Cruise Your Illusion	4.00 stars
4.50 stars	Milk Music - Mystic 100's	3.50 stars
3.50 stars	Janelle Monáe - The Electric Lady	4.00 stars
3.50 stars	Miles Davis - Kind of Blue	4.50 stars
4.00 stars	Mingus - The Black Saint and the Sinner Lady	5.00 stars
4.00 stars	The Can - Monster Movie	4.50 stars
4.00 stars	Serge Gainsbourg - Histoire de Melody Nelson	4.50 stars
3.50 stars	Stevie Wonder - Innervisions	4.50 stars
4.00 stars	David Bowie - Low	5.00 stars
3.50 stars	Talking Heads - Fear of Music	4.50 stars
3.00 stars	Polyrock - Polyrock	4.00 stars
4.50 stars	Mission of Burma - Signals, Calls, and Marches	5.00 stars
4.00 stars	This Heat - Deceit	5.00 stars
4.50 stars	The Fall - Hex Enduction Hour	5.00 stars
4.00 stars	Psychic TV - Force the Hand of Chance	4.00 stars
3.50 stars	The Chameleons - Script of the Bridge	4.50 stars
3.50 stars	XTC - Skylarking	4.50 stars
